packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,junit:junit,null,null,36,70,0.51
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,34,70,0.49
com.stratio.cassandra.lucene.schema.mapping,TextMapper,org.apache.lucene:lucene-core,null,null,5,5,1.0
com.stratio.cassandra.lucene.search.condition,AllConditionTest,junit:junit,null,null,13,17,0.76
com.stratio.cassandra.lucene.search.condition,AllConditionTest,org.apache.lucene:lucene-core,null,null,4,17,0.24
com.stratio.cassandra.lucene.search.condition,GeoDistanceCondition,org.apache.lucene:lucene-spatial,null,null,11,23,0.48
com.stratio.cassandra.lucene.search.condition,GeoDistanceCondition,org.apache.lucene:lucene-core,null,null,12,23,0.52
com.stratio.cassandra.lucene.schema.mapping,GeoShapeMapper,org.apache.lucene:lucene-core,null,null,2,15,0.13
com.stratio.cassandra.lucene.schema.mapping,GeoShapeMapper,org.apache.lucene:lucene-spatial,null,null,13,15,0.87
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,GeoShapeMapperValidTypesIndexCreationIT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,9,15,0.6
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,GeoShapeMapperValidTypesIndexCreationIT,junit:junit,null,null,6,15,0.4
com.stratio.cassandra.lucene.schema.mapping,Mapper,org.apache.lucene:lucene-core,null,null,14,14,1.0
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,com.datastax.cassandra:cassandra-driver-core,null,null,3,196,0.02
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,129,196,0.66
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,junit:junit,null,null,64,196,0.33
com.stratio.cassandra.lucene.testsAT.issues,Issue359IT,junit:junit,null,null,1,10,0.1
com.stratio.cassandra.lucene.testsAT.issues,Issue359IT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,9,10,0.9
com.stratio.cassandra.lucene.search.condition,ContainsCondition,org.apache.lucene:lucene-core,null,null,12,12,1.0
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,UUIDMapperValidTypesIndexCreationIT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,9,15,0.6
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,UUIDMapperValidTypesIndexCreationIT,junit:junit,null,null,6,15,0.4
com.stratio.cassandra.lucene.schema,SchemaBuilderTest,org.apache.lucene:lucene-analyzers-common,null,null,13,103,0.13
com.stratio.cassandra.lucene.schema,SchemaBuilderTest,junit:junit,null,null,71,103,0.69
