packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.agdistis.util,TripleIndexContext,org.apache.lucene:lucene-core,null,null,78,113,0.69
org.aksw.agdistis.util,TripleIndexContext,commons-validator:commons-validator,null,null,1,113,0.01
org.aksw.agdistis.util,TripleIndexContext,org.apache.lucene:lucene-queryparser,null,null,11,113,0.1
org.aksw.agdistis.util,TripleIndexContext,org.slf4j:slf4j-api,null,null,13,113,0.12
org.aksw.agdistis.util,TripleIndexContext,com.google.guava:guava,null,null,10,113,0.09
org.aksw.agdistis.graph,BreadthFirstSearch,net.sf.jung:jung-graph-impl,null,null,6,6,1.0
null,TripleIndexTest,org.apache.lucene:lucene-spellchecker,null,null,6,50,0.12
null,TripleIndexTest,org.slf4j:slf4j-api,null,null,25,50,0.5
null,TripleIndexTest,junit:junit,null,null,19,50,0.38
org.aksw.agdistis.util,TripleIndex,com.google.guava:guava,null,null,8,159,0.05
org.aksw.agdistis.util,TripleIndex,commons-validator:commons-validator,null,null,5,159,0.03
org.aksw.agdistis.util,TripleIndex,org.apache.lucene:lucene-queryparser,null,null,11,159,0.07
org.aksw.agdistis.util,TripleIndex,org.apache.commons:commons-lang3,null,null,4,159,0.03
org.aksw.agdistis.util,TripleIndex,org.apache.lucene:lucene-core,null,null,118,159,0.74
org.aksw.agdistis.util,TripleIndex,org.slf4j:slf4j-api,null,null,13,159,0.08
null,AGDISTISTest,junit:junit,null,null,8,8,1.0
null,PageRankTest,net.sf.jung:jung-graph-impl,null,null,3,14,0.21
null,PageRankTest,junit:junit,null,null,11,14,0.79
null,TripleIndexCreatorTest,com.google.guava:guava,null,null,2,12,0.17
null,TripleIndexCreatorTest,org.slf4j:slf4j-api,null,null,7,12,0.58
null,TripleIndexCreatorTest,junit:junit,null,null,3,12,0.25
org.aksw.agdistis.util,LiteralAnalyzer,org.apache.lucene:lucene-analyzers-common,null,null,2,13,0.15
org.aksw.agdistis.util,LiteralAnalyzer,org.apache.lucene:lucene-core,null,null,11,13,0.85
null,HitsTest,net.sf.jung:jung-graph-impl,null,null,1,2,0.5
null,HitsTest,junit:junit,null,null,1,2,0.5
org.aksw.agdistis.util,TripleIndexCreator,org.openrdf.sesame:sesame-rio-turtle,null,null,1,130,0.01
org.aksw.agdistis.util,TripleIndexCreator,org.apache.lucene:lucene-core,null,null,96,130,0.74
org.aksw.agdistis.util,TripleIndexCreator,org.slf4j:slf4j-api,null,null,29,130,0.22
org.aksw.agdistis.util,TripleIndexCreator,org.apache.lucene:lucene-analyzers-common,null,null,4,130,0.03
org.aksw.agdistis.util,TripleIndexCreatorContext,org.apache.lucene:lucene-core,null,null,150,204,0.74
org.aksw.agdistis.util,TripleIndexCreatorContext,org.slf4j:slf4j-api,null,null,49,204,0.24
org.aksw.agdistis.util,TripleIndexCreatorContext,org.openrdf.sesame:sesame-rio-turtle,null,null,1,204,0.0
org.aksw.agdistis.util,TripleIndexCreatorContext,org.apache.lucene:lucene-analyzers-common,null,null,4,204,0.02
org.aksw.agdistis.algorithm,CandidateUtil,org.slf4j:slf4j-api,null,null,51,76,0.67
org.aksw.agdistis.algorithm,CandidateUtil,net.sf.jung:jung-graph-impl,null,null,14,76,0.18
org.aksw.agdistis.algorithm,CandidateUtil,org.apache.lucene:lucene-spellchecker,null,null,11,76,0.14
org.aksw.agdistis.algorithm,NEDAlgo_HITS,org.slf4j:slf4j-api,null,null,17,29,0.59
org.aksw.agdistis.algorithm,NEDAlgo_HITS,net.sf.jung:jung-graph-impl,null,null,12,29,0.41
org.aksw.agdistis.util,NIFParser,com.googlecode.json-simple:json-simple,null,null,2,6,0.33
org.aksw.agdistis.util,NIFParser,org.slf4j:slf4j-api,null,null,4,6,0.67
org.aksw.agdistis.webapp,GetDisambiguation,org.slf4j:slf4j-api,null,null,32,58,0.55
org.aksw.agdistis.webapp,GetDisambiguation,com.googlecode.json-simple:json-simple,null,null,26,58,0.45
org.aksw.agdistis.util,Stemming,com.github.haifengl:smile-nlp,null,null,3,24,0.13
org.aksw.agdistis.util,Stemming,edu.stanford.nlp:stanford-corenlp,null,null,21,24,0.88
