packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.intuit.fuzzymatcher.component,MatchServicePerfTest,junit:junit,null,null,2,8,0.25
com.intuit.fuzzymatcher.component,MatchServicePerfTest,org.apache.commons:commons-lang3,null,null,3,8,0.38
com.intuit.fuzzymatcher.component,MatchServicePerfTest,org.slf4j:slf4j-api,null,null,3,8,0.38
com.intuit.fuzzymatcher.domain,ElementTest,junit:junit,null,null,35,35,1.0
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,junit:junit,null,null,35,35,1.0
com.intuit.fuzzymatcher.domain,Element,org.apache.commons:commons-lang3,null,null,4,4,1.0
com.intuit.fuzzymatcher.domain,Document,org.apache.commons:commons-collections4,null,null,4,6,0.67
com.intuit.fuzzymatcher.domain,Document,org.apache.commons:commons-lang3,null,null,2,6,0.33
com.intuit.fuzzymatcher.component,Dictionary,org.slf4j:slf4j-api,null,null,7,7,1.0
com.intuit.fuzzymatcher.function,TokenizerFunction,commons-codec:commons-codec,null,null,4,4,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,junit:junit,null,null,50,50,1.0
com.intuit.fuzzymatcher.util,Utils,org.apache.lucene:lucene-core,null,null,6,17,0.35
com.intuit.fuzzymatcher.util,Utils,org.apache.lucene:lucene-analyzers-common,null,null,11,17,0.65
com.intuit.fuzzymatcher.component,ElementMatch,org.apache.commons:commons-lang3,null,null,2,2,1.0
com.intuit.fuzzymatcher.component,TokenRepoTest,junit:junit,null,null,41,41,1.0
com.intuit.fuzzymatcher.component,MatchService,org.apache.commons:commons-collections4,null,null,2,2,1.0
com.intuit.fuzzymatcher.component,DocumentMatch,org.apache.commons:commons-lang3,null,null,2,2,1.0
com.intuit.fuzzymatcher.component,ElementMatchTest,junit:junit,null,null,41,41,1.0
com.intuit.fuzzymatcher.function,ScoringFunctionTest,junit:junit,null,null,18,27,0.67
com.intuit.fuzzymatcher.function,ScoringFunctionTest,org.mockito:mockito-all,null,null,9,27,0.33
com.intuit.fuzzymatcher.component,MatchServiceTest,org.slf4j:slf4j-api,null,null,5,157,0.03
com.intuit.fuzzymatcher.component,MatchServiceTest,junit:junit,null,null,117,157,0.75
com.intuit.fuzzymatcher.component,MatchServiceTest,com.opencsv:opencsv,null,null,24,157,0.15
com.intuit.fuzzymatcher.component,MatchServiceTest,org.mockito:mockito-all,null,null,11,157,0.07
com.intuit.fuzzymatcher.function,PreProcessFunction,org.apache.commons:commons-lang3,null,null,6,6,1.0
com.intuit.fuzzymatcher.domain,DocumentTest,junit:junit,null,null,27,27,1.0
