packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.perf.client,ZoiePerf,org.mortbay.jetty:jetty-util,null,null,1,254,0.0
proj.zoie.perf.client,ZoiePerf,org.apache.lucene:lucene-core,null,null,22,254,0.09
proj.zoie.perf.client,ZoiePerf,com.yammer.metrics:metrics-core,null,null,55,254,0.22
proj.zoie.perf.client,ZoiePerf,org.apache.lucene:lucene-analyzers-common,null,null,1,254,0.0
proj.zoie.perf.client,ZoiePerf,org.json:json,null,null,4,254,0.02
proj.zoie.perf.client,ZoiePerf,commons-configuration:commons-configuration,null,null,53,254,0.21
proj.zoie.perf.client,ZoiePerf,org.mortbay.jetty:jetty,null,null,32,254,0.13
proj.zoie.perf.client,ZoiePerf,com.senseidb.zoie:zoie-core,null,null,86,254,0.34
proj.zoie.api.impl.util,LongSetAccelerator,it.unimi.dsi:fastutil,null,null,43,43,1.0
proj.zoie.test,ZoieTest,org.apache.lucene:lucene-analyzers-common,null,null,2,473,0.0
proj.zoie.test,ZoieTest,org.apache.lucene:lucene-queryparser,null,null,16,473,0.03
proj.zoie.test,ZoieTest,org.apache.lucene:lucene-core,null,null,371,473,0.78
proj.zoie.test,ZoieTest,log4j:log4j,null,null,13,473,0.03
proj.zoie.test,ZoieTest,it.unimi.dsi:fastutil,null,null,22,473,0.05
proj.zoie.test,ZoieTest,junit:junit,null,null,49,473,0.1
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,log4j:log4j,null,null,19,19,1.0
proj.zoie.api.impl.util,ArrayDocIdSet,org.apache.lucene:lucene-core,null,null,5,5,1.0
proj.zoie.impl.indexing,AbstractReaderCache,org.apache.lucene:lucene-core,null,null,1,1,1.0
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,it.unimi.dsi:fastutil,null,null,1,31,0.03
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,org.apache.lucene:lucene-core,null,null,19,31,0.61
