packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.weiboad.ragnar.logpusher,Main,commons-cli:commons-cli,null,null,25,25,1.0
org.weiboad.ragnar.http,CurlThread,com.squareup.okhttp3:okhttp,null,null,33,51,0.65
org.weiboad.ragnar.http,CurlThread,com.google.code.gson:gson,null,null,18,51,0.35
org.weiboad.ragnar.server.statistics.api,APIStatisticStruct,com.google.code.gson:gson,null,null,4,4,1.0
org.weiboad.ragnar.kafka,KafkaUtil,org.apache.kafka:kafka-clients,null,null,6,6,1.0
org.weiboad.ragnar.server.controller.web,SearchPage,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,15,0.07
org.weiboad.ragnar.server.controller.web,SearchPage,org.apache.lucene:lucene-queryparser,null,null,4,15,0.27
org.weiboad.ragnar.server.controller.web,SearchPage,org.apache.lucene:lucene-core,null,null,10,15,0.67
org.weiboad.ragnar.util,Toolbox,org.jetbrains:annotations,null,null,2,24,0.08
org.weiboad.ragnar.util,Toolbox,commons-cli:commons-cli,null,null,22,24,0.92
org.weiboad.ragnar.server.search,luceneTest,org.apache.lucene:lucene-core,null,null,11,11,1.0
org.weiboad.ragnar.server.statistics.error,ErrorStatistic,com.google.code.gson:gson,null,null,60,60,1.0
org.weiboad.ragnar.server.storage,DBMergerOverrider,org.rocksdb:rocksdbjni,null,null,1,1,1.0
org.weiboad.ragnar.server.controller.ragnarlog,PutBizLog,com.google.code.gson:gson,null,null,7,7,1.0
org.weiboad.ragnar.server.search,IndexWriterShaderManager,org.apache.lucene:lucene-core,null,null,79,80,0.99
org.weiboad.ragnar.server.search,IndexWriterShaderManager,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,80,0.01
org.weiboad.ragnar.server.search,IndexSearchSharderManager,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,95,0.01
org.weiboad.ragnar.server.search,IndexSearchSharderManager,org.apache.lucene:lucene-core,null,null,94,95,0.99
org.weiboad.ragnar.server.storage,DBSharder,org.rocksdb:rocksdbjni,null,null,38,38,1.0
org.weiboad.ragnar.server.storage,DBManage,org.rocksdb:rocksdbjni,null,null,3,3,1.0
org.weiboad.ragnar.server.controller.search,Recent,org.apache.lucene:lucene-core,null,null,11,11,1.0
org.weiboad.ragnar.server.processor,BizLogProcessor,com.google.code.gson:gson,null,null,122,122,1.0
org.weiboad.ragnar.server.controller.web,APIStatisticDetailPage,org.apache.lucene:lucene-core,null,null,27,27,1.0
org.weiboad.ragnar.server.controller.ragnarlog,PutMetalog,com.google.code.gson:gson,null,null,4,4,1.0
org.weiboad.ragnar.server.controller.search,SearchField,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,22,0.05
org.weiboad.ragnar.server.controller.search,SearchField,org.apache.lucene:lucene-core,null,null,17,22,0.77
org.weiboad.ragnar.server.controller.search,SearchField,org.apache.lucene:lucene-queryparser,null,null,4,22,0.18
org.weiboad.ragnar.server.statistics.sql,SQLStatistic,com.alibaba:druid,null,null,6,6,1.0
org.weiboad.ragnar.util.concurrent,ThreadFactoryImpl,org.jetbrains:annotations,null,null,1,1,1.0
org.weiboad.ragnar.server.kafka,Consumer,org.apache.kafka:kafka-clients,null,null,43,54,0.8
org.weiboad.ragnar.server.kafka,Consumer,com.google.code.gson:gson,null,null,11,54,0.2
org.weiboad.ragnar.server.controller.web,RecentRequestPage,org.apache.lucene:lucene-core,null,null,10,10,1.0
org.weiboad.ragnar.kafka,ProviderThread,org.apache.kafka:kafka-clients,null,null,19,19,1.0
org.weiboad.ragnar.server.kafka,KafkaUtil,org.apache.kafka:kafka-clients,null,null,7,7,1.0
org.weiboad.ragnar.server.controller.web,ShowTracePage,com.google.code.gson:gson,null,null,231,252,0.92
org.weiboad.ragnar.server.controller.web,ShowTracePage,commons-lang:commons-lang,null,null,8,252,0.03
org.weiboad.ragnar.server.controller.web,ShowTracePage,org.apache.lucene:lucene-core,null,null,13,252,0.05
org.weiboad.ragnar.server.search,IndexService,org.apache.lucene:lucene-core,null,null,4,4,1.0
org.weiboad.ragnar.server.statistics.api,APIStatisticTimeSet,com.google.code.gson:gson,null,null,10,10,1.0
org.weiboad.ragnar.server.struct,MetaLog,org.apache.lucene:lucene-core,null,null,157,157,1.0
