packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.apdplat.word.lucene,ChineseWordTokenizer,org.slf4j:slf4j-api,null,null,7,24,0.29
org.apdplat.word.lucene,ChineseWordTokenizer,org.apache.lucene:lucene-core,null,null,17,24,0.71
org.apdplat.word.util,WordConfTools,org.slf4j:slf4j-api,null,null,43,43,1.0
org.apdplat.word.analysis,TextSimilarityTest,junit:junit,null,null,35,35,1.0
org.apdplat.word,WordFrequencyStatistics,org.slf4j:slf4j-api,null,null,13,13,1.0
org.apdplat.word.segmentation,WordRefiner,org.slf4j:slf4j-api,null,null,33,33,1.0
org.apdplat.word.segmentation.impl,PureEnglish,org.slf4j:slf4j-api,null,null,11,11,1.0
org.apdplat.word.analysis,SimHashPlusHammingDistanceTextSimilarity,org.slf4j:slf4j-api,null,null,29,29,1.0
org.apdplat.word.recognition,RecognitionTool,org.slf4j:slf4j-api,null,null,25,25,1.0
org.apdplat.word.recognition,PersonName,org.slf4j:slf4j-api,null,null,71,71,1.0
org.apdplat.word.segmentation,PartOfSpeech,org.slf4j:slf4j-api,null,null,13,13,1.0
org.apdplat.word.vector,Distance,org.slf4j:slf4j-api,null,null,67,67,1.0
org.apdplat.word.lucene,ChineseWordAnalyzer,org.apache.lucene:lucene-core,null,null,90,99,0.91
org.apdplat.word.lucene,ChineseWordAnalyzer,org.slf4j:slf4j-api,null,null,9,99,0.09
org.apdplat.word.solr,ChineseWordTokenizerFactory,org.slf4j:slf4j-api,null,null,17,20,0.85
org.apdplat.word.solr,ChineseWordTokenizerFactory,org.apache.lucene:lucene-core,null,null,2,20,0.1
org.apdplat.word.solr,ChineseWordTokenizerFactory,org.apache.lucene:lucene-analyzers-common,null,null,1,20,0.05
org.apdplat.word.segmentation.impl,MinimumMatchingTest,junit:junit,null,null,2,2,1.0
org.apdplat.word.util,DoubleArrayGenericTrieTest,junit:junit,null,null,20,20,1.0
org.apdplat.word.corpus,CorpusMerge,org.slf4j:slf4j-api,null,null,9,9,1.0
org.apdplat.word.analysis,SørensenDiceCoefficientTextSimilarity,org.slf4j:slf4j-api,null,null,14,14,1.0
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrieTest,junit:junit,null,null,89,89,1.0
org.apdplat.word.recognition,RecognitionToolTest,junit:junit,null,null,16,16,1.0
org.apdplat.word.analysis,HotWordTest,junit:junit,null,null,10,10,1.0
org.apdplat.word.analysis,HotWord,org.slf4j:slf4j-api,null,null,9,9,1.0
org.apdplat.word.tagging,SynonymTagging,org.slf4j:slf4j-api,null,null,51,51,1.0
org.apdplat.word.util,AutoDetector,org.slf4j:slf4j-api,null,null,71,83,0.86
org.apdplat.word.util,AutoDetector,redis.clients:jedis,null,null,12,83,0.14
org.apdplat.word.util,DirectoryWatcher,org.slf4j:slf4j-api,null,null,39,39,1.0
org.apdplat.word.tagging,PartOfSpeechTagging,org.slf4j:slf4j-api,null,null,19,19,1.0
org.apdplat.word.elasticsearch,ChineseWordNoOpTokenFilterFactory,org.apache.lucene:lucene-core,null,null,3,9,0.33
org.apdplat.word.elasticsearch,ChineseWordNoOpTokenFilterFactory,org.elasticsearch:elasticsearch,null,null,6,9,0.67
org.apdplat.word.corpus,CorpusTools,org.slf4j:slf4j-api,null,null,27,27,1.0
org.apdplat.word.util,GenericTrieTest,junit:junit,null,null,20,20,1.0
org.apdplat.word.segmentation.impl,AbstractSegmentation,org.slf4j:slf4j-api,null,null,5,5,1.0
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrie,org.slf4j:slf4j-api,null,null,29,29,1.0
org.apdplat.word.analysis,SentenceIdentify,org.slf4j:slf4j-api,null,null,9,9,1.0
org.apdplat.word.recognition,StopWord,org.slf4j:slf4j-api,null,null,15,15,1.0
org.apdplat.word.analysis,EditDistanceTextSimilarity,org.slf4j:slf4j-api,null,null,12,12,1.0
org.apdplat.word.corpus,ExtractText,org.slf4j:slf4j-api,null,null,17,17,1.0
org.apdplat.word.dictionary,DictionaryFactory,org.slf4j:slf4j-api,null,null,25,25,1.0
org.apdplat.word.util,TrieTest,org.slf4j:slf4j-api,null,null,7,7,1.0
org.apdplat.word.segmentation.impl,BidirectionalMaximumMinimumMatching,org.slf4j:slf4j-api,null,null,20,20,1.0
org.apdplat.word.corpus,Bigram,org.slf4j:slf4j-api,null,null,19,19,1.0
org.apdplat.word.segmentation.impl,MaxNgramScore,org.slf4j:slf4j-api,null,null,16,16,1.0
org.apdplat.word.corpus,Trigram,org.slf4j:slf4j-api,null,null,17,17,1.0
org.apdplat.word.segmentation.impl,BidirectionalMaximumMatching,org.slf4j:slf4j-api,null,null,12,12,1.0
org.apdplat.word.segmentation.impl,ReverseMaximumMatchingTest,junit:junit,null,null,2,2,1.0
org.apdplat.word.analysis,SimpleTextSimilarity,org.slf4j:slf4j-api,null,null,10,10,1.0
