packageName,className,apis
org.dependencytrack.integrations.defectdojo,DefectDojoClient,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.policy,SeverityPolicyEvaluatorTest,[us.springett:alpine]
org.dependencytrack.resources.v1.vo,CloneProjectRequest,[us.springett:alpine]
org.dependencytrack.tasks.scanners,BaseComponentAnalyzerTask,[us.springett:alpine]
org.dependencytrack.util,CompressUtil,[org.apache.commons:commons-compress]
org.dependencytrack.notification,NotificationRouterTest,[us.springett:alpine]
org.dependencytrack.notification.publisher,SlackPublisher,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.parser.nvd,ModelConverter,[us.springett:cpe-parser]
org.dependencytrack.model,Cpe,[us.springett:alpine]
org.dependencytrack.parser.ossindex,OssIndexParser,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1,LicenseResource,[us.springett:alpine]
org.dependencytrack.resources.v1.vo,BomSubmitRequest,[us.springett:alpine]
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine,us.springett:cvss-calculator]"
org.dependencytrack.integrations.kenna,KennaSecurityUploader,"[com.konghq:unirest-java,org.json:json,us.springett:alpine]"
org.dependencytrack.resources.v1,OidcResource,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,[us.springett:alpine]
org.dependencytrack.persistence,CweImporter,[us.springett:alpine]
org.dependencytrack.persistence.defaults,DefaultLicenseGroupImporter,"[org.json:json,us.springett:alpine]"
org.dependencytrack.policy,VersionPolicyEvaluator,[us.springett:alpine]
org.dependencytrack.model,OrganizationalEntity,[us.springett:alpine]
org.dependencytrack.model,Vulnerability,[us.springett:alpine]
org.dependencytrack.tasks,DefectDojoUploadTask,[us.springett:alpine]
org.dependencytrack.resources.v1,ServiceResource,[us.springett:alpine]
org.dependencytrack,PersistenceCapableTest,[us.springett:alpine]
org.dependencytrack.notification,NotificationSubsystemInitializer,[us.springett:alpine]
org.dependencytrack.search,ServiceComponentIndexer,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.resources.v1,PolicyViolationResource,[us.springett:alpine]
org.dependencytrack.common,UnirestFactory,[com.konghq:unirest-java]
org.dependencytrack.resources.v1,MetricsResource,[us.springett:alpine]
org.dependencytrack.tasks.repositories,NpmMetaAnalyzerTest,[com.github.package-url:packageurl-java]
org.dependencytrack.integrations.kenna,KennaDataTransformer,"[org.json:json,us.springett:alpine]"
org.dependencytrack.model,ProjectPropertyTest,[us.springett:alpine]
