packageName,className,apis
com.novetta.clavin,AllTestsSuite,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,[junit:junit]
com.novetta.clavin.util,DamerauLevenshteinTest,[junit:junit]
com.novetta.clavin.index,WhitespaceLowerCaseAnalyzer,[org.apache.lucene:lucene-core]
com.novetta.clavin,GeoParserTest,[junit:junit]
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,[junit:junit]
com.novetta.clavin.resolver,ClavinLocationResolverTest,"[junit:junit,org.slf4j:slf4j-api]"
com.novetta.clavin.extractor,ApacheExtractor,[org.apache.opennlp:opennlp-tools]
com.novetta.clavin,GeoParser,[org.slf4j:slf4j-api]
com.novetta.clavin.gazetteer.query,LuceneGazetteer,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
com.novetta.clavin.extractor,AdaptNlpExtractorTest,[junit:junit]
com.novetta.clavin.index,BinarySimilarityTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.novetta.clavin.gazetteer,BasicGeoNameTest,[junit:junit]
com.novetta.clavin.index,WhitespaceLowerCaseTokenizer,[org.apache.lucene:lucene-analyzers-common]
com.novetta.clavin.resolver,ResolvedLocationTest,[junit:junit]
com.novetta.clavin.util,ListUtilsTest,[junit:junit]
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,[org.apache.lucene:lucene-core]
com.novetta.clavin.resolver.multipart,MultiLevelMultipartLocationResolverTest,[junit:junit]
com.novetta.clavin.extractor,ApacheExtractorTest,[junit:junit]
com.novetta.clavin.index,BinarySimilarity,[org.apache.lucene:lucene-core]
com.novetta.clavin,GeoParserFactoryTest,[junit:junit]
com.novetta.clavin.extractor,AdaptNlpExtractor,"[com.fasterxml.jackson.core:jackson-databind,org.apache.httpcomponents:httpclient,org.apache.opennlp:opennlp-tools,org.slf4j:slf4j-api]"
com.novetta.clavin.util,TextUtilsTest,[junit:junit]
com.novetta.clavin.resolver,LuceneLocationResolver,"[org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
com.novetta.clavin.resolver.multipart,MatchedLocation,[org.slf4j:slf4j-api]
com.novetta.clavin.util,TextUtils,[commons-io:commons-io]
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,"[junit:junit,org.mockito:mockito-core]"
com.novetta.clavin.index,IndexDirectoryBuilder,"[commons-cli:commons-cli,commons-io:commons-io,org.apache.commons:commons-lang3,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
com.novetta.clavin.resolver.multipart,MultipartLocationResolver,[org.slf4j:slf4j-api]
com.novetta.clavin.extractor,LocationOccurrenceTest,[junit:junit]
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,"[junit:junit,org.slf4j:slf4j-api]"
com.novetta.clavin.gazetteer,BasicGeoName,[org.slf4j:slf4j-api]
