packageName,className,apis
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,TextMapper,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search.condition,AllConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,GeoDistanceCondition,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.schema.mapping,GeoShapeMapper,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,GeoShapeMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,Mapper,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.issues,Issue359IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,ContainsCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,UUIDMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema,SchemaBuilderTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.analysis,AnalyzerBuilder,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search.condition,LuceneConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,DateMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,DateRangeCondition,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.issues,Issue94IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,BooleanConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.issues,Issue18IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,DateParserTest,"[junit:junit,org.apache.cassandra:cassandra-all]"
com.stratio.cassandra.lucene.testsAT.varia,BoundStatementWithSortedKQueryIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,GeoTransformationBufferTest,"[com.vividsolutions:jts-core,junit:junit]"
com.stratio.cassandra.lucene.search,SearchBuildersTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.story,SimpleKeyDataHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,InOperatorWithSkinnyRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.sort,SortField,[org.apache.lucene:lucene-core]
