packageName,className,apis
org.aksw.palmetto,Palmetto,[org.slf4j:slf4j-api]
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculation,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,AllOne,[com.carrotsearch:hppc]
org.aksw.palmetto,PairwiseTopicComparingSegmentator,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,LogRatioCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.prob.decorator,SimpleFrequencyCachingDeterminerDecorator,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,OneSetTest,[junit:junit]
org.aksw.palmetto.weight,ConditionalProbabilityBasedWeighterTest,[junit:junit]
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,[junit:junit]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.prob,ListBasedBooleanDocumentFrequencyDeterminerTest,[junit:junit]
org.aksw.palmetto.subsets,AllAll,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,FitelsonCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.calculations.direct,AbstractProbabilityBasedCalculationTest,[junit:junit]
org.aksw.palmetto.webapp,PalmettoApplication,"[com.carrotsearch:hppc,commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,[com.carrotsearch:hppc]
org.aksw.palmetto.sum,ArithmeticMeanTest,[junit:junit]
org.aksw.palmetto.vector,DifferenceCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.window,ContextWindowFrequencyDeterminer,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,LikelihoodCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,"[com.carrotsearch:hppc,commons-io:commons-io,junit:junit,org.apache.lucene:lucene-core]"
org.aksw.palmetto.calculations.indirect,VectorCreationTest,[junit:junit]
org.aksw.palmetto.vector,RatioCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.subsets,AnyAny,[com.carrotsearch:hppc]
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,[org.apache.lucene:lucene-core]
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,[com.google.guava:guava]
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculationTest,[junit:junit]
org.aksw.palmetto.sum,QuadraticMeanTest,[junit:junit]
org.aksw.palmetto.subsets,OneOneAndSelf,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,LikelihoodCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.subsets,OneAnyTest,[junit:junit]
org.aksw.palmetto.aggregation,Median,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,[junit:junit]
org.aksw.palmetto.evaluate.correlation,SpearmanTest,[junit:junit]
org.aksw.palmetto.subsets,OneSubsequentTest,[junit:junit]
org.aksw.palmetto.calculations.direct,RatioCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighterTest,[junit:junit]
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreator,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.webapp.config,RootConfig,"[commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreator,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.subsets,AbstractSegmentatorTest,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.calculations.direct,LogJaccardCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.calculations.indirect,DiceBasedCalculationTest,[junit:junit]
