packageName,className,apis
com.intuit.fuzzymatcher.component,MatchServicePerfTest,"[junit:junit,org.apache.commons:commons-lang3,org.slf4j:slf4j-api]"
com.intuit.fuzzymatcher.domain,ElementTest,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,[junit:junit]
com.intuit.fuzzymatcher.domain,Element,[org.apache.commons:commons-lang3]
com.intuit.fuzzymatcher.domain,Document,"[org.apache.commons:commons-collections4,org.apache.commons:commons-lang3]"
com.intuit.fuzzymatcher.component,Dictionary,[org.slf4j:slf4j-api]
com.intuit.fuzzymatcher.function,TokenizerFunction,[commons-codec:commons-codec]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,[junit:junit]
com.intuit.fuzzymatcher.util,Utils,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.intuit.fuzzymatcher.component,ElementMatch,[org.apache.commons:commons-lang3]
com.intuit.fuzzymatcher.component,TokenRepoTest,[junit:junit]
com.intuit.fuzzymatcher.component,MatchService,[org.apache.commons:commons-collections4]
com.intuit.fuzzymatcher.component,DocumentMatch,[org.apache.commons:commons-lang3]
com.intuit.fuzzymatcher.component,ElementMatchTest,[junit:junit]
com.intuit.fuzzymatcher.function,ScoringFunctionTest,"[junit:junit,org.mockito:mockito-all]"
com.intuit.fuzzymatcher.component,MatchServiceTest,"[com.opencsv:opencsv,junit:junit,org.mockito:mockito-all,org.slf4j:slf4j-api]"
com.intuit.fuzzymatcher.function,PreProcessFunction,[org.apache.commons:commons-lang3]
com.intuit.fuzzymatcher.domain,DocumentTest,[junit:junit]
