packageName,className,apis
io.dashbase.clue.commands,SearchCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,PostingsCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,MatcherDocIdSetIterator,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DirectoryBuilder,[org.apache.lucene:lucene-core]
io.dashbase.clue,LuceneContext,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DefaultAnalyzerFactory,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,CustomBufferedIndexInput,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,DocValCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.client,ClueCommandService,[com.squareup.retrofit2:retrofit]
io.dashbase.clue.commands,DocSetInfoCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,ExportCommand,"[org.apache.lucene:lucene-codecs,org.apache.lucene:lucene-core]"
io.dashbase.clue.commands,DeleteUserCommitData,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,NormsCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DefaultIndexReaderFactory,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,DumpDocCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,CountCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,ReconstructCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue,ClueApplication,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,BytesRefPrinter,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,IndexReaderFactory,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,IndexTrimCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,QueryBuilder,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,BuildSampleIndex,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DefaultDirectoryBuilder,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,TermsCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,GetUserCommitDataCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,PayloadTokenizer,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,InfoCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,ExplainCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,SaveUserCommitData,[org.apache.lucene:lucene-core]
io.dashbase.clue.client,ClueCommandClient,"[com.squareup.retrofit2:converter-jackson,com.squareup.retrofit2:converter-scalars,com.squareup.retrofit2:retrofit,jline:jline]"
io.dashbase.clue.client,CmdlineHelper,"[jline:jline,org.apache.lucene:lucene-core]"
io.dashbase.clue.commands,TermVectorCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,AnalyzerFactory,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,MatchSomeDocsQuery,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,MergeCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,IntArrayDocIdSetIterator,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DefaultQueryBuilder,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
io.dashbase.clue.commands,StoredFieldCommand,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,DeleteCommand,[org.apache.lucene:lucene-core]
