packageName,className,apis
proj.zoie.perf.client,ZoiePerf,"[com.senseidb.zoie:zoie-core,com.yammer.metrics:metrics-core,commons-configuration:commons-configuration,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.json:json,org.mortbay.jetty:jetty,org.mortbay.jetty:jetty-util]"
proj.zoie.api.impl.util,LongSetAccelerator,[it.unimi.dsi:fastutil]
proj.zoie.test,ZoieTest,"[it.unimi.dsi:fastutil,junit:junit,log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,[log4j:log4j]
proj.zoie.api.impl.util,ArrayDocIdSet,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,AbstractReaderCache,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.perf.indexing,LinedFileDataProvider,"[com.senseidb.zoie:zoie-core,log4j:log4j]"
proj.zoie.impl.indexing,ReaderCacheFactory,[org.apache.lucene:lucene-core]
proj.zoie.api,ZoieMultiReader,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,IndexReaderFactory,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,IndexingThread,[log4j:log4j]
proj.zoie.api,Zoie,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,RealtimeIndexDataLoader,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.hourglass.impl,CompositeHourglassListener,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,DelegateIndexDataConsumer,[log4j:log4j]
proj.zoie.test,HourglassTest,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.perf.client,TermFileBuilder,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-core]"
proj.zoie.test.data,InRangeDataInterpreterForTests,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,IntSetAccelerator,[it.unimi.dsi:fastutil]
proj.zoie.api,DirectoryManager,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,HourglassListener,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,HourGlassScheduler,[log4j:log4j]
proj.zoie.impl.indexing,SmartReaderCache,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.store,ZoieStoreConsumer,[log4j:log4j]
proj.zoie.api.impl.util,IndexUtil,[org.apache.lucene:lucene-core]
proj.zoie.dataprovider.jms,DataEventBuilder,[com.senseidb.zoie:zoie-core]
proj.zoie.impl.indexing,StreamDataProvider,[log4j:log4j]
proj.zoie.test.data,DataInterpreterForTests,[org.apache.lucene:lucene-core]
proj.zoie.test,PerfTest,"[it.unimi.dsi:fastutil,junit:junit]"
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,DefaultRAMDiskIndexFactory,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BaseSearchIndex,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,FileIndexableInterpreter,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,DefaultReaderCache,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.pair.impl,Pair,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,ZoieSystem,"[log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,RAMLuceneIndexDataLoader,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.api,UIDDocIdSet,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.server,ZoieServer,"[log4j:log4j,org.mortbay.jetty:jetty,org.mortbay.jetty:jetty-util]"
proj.zoie.impl.indexing,NoopReaderCache,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.perf.client,SearchQueryHandler,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-core]"
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,"[com.senseidb.zoie:zoie-core,log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,[org.apache.lucene:lucene-core]
proj.zoie.perf.tools,IndexReplicator,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.hourglass.impl,Hourglass,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieStoreTestCase,"[junit:junit,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieThreadTest,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
proj.zoie.api.indexing,ZoieIndexable,[org.apache.lucene:lucene-core]
proj.zoie.api,UIDFilter,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,SimpleReaderCache,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.store,AbstractZoieStore,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,DataDoc,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,Box,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,DefaultRAMIndexFactory,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,HourglassReaderManager,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,ZoieConfig,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.api.impl,ZoieMergePolicy,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,ZoieSegmentReader,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
