packageName,className,apis
org.apdplat.word.lucene,ChineseWordTokenizer,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.apdplat.word.util,WordConfTools,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,TextSimilarityTest,[junit:junit]
org.apdplat.word,WordFrequencyStatistics,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation,WordRefiner,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,PureEnglish,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,SimHashPlusHammingDistanceTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.recognition,RecognitionTool,[org.slf4j:slf4j-api]
org.apdplat.word.recognition,PersonName,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation,PartOfSpeech,[org.slf4j:slf4j-api]
org.apdplat.word.vector,Distance,[org.slf4j:slf4j-api]
org.apdplat.word.lucene,ChineseWordAnalyzer,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.apdplat.word.solr,ChineseWordTokenizerFactory,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.apdplat.word.segmentation.impl,MinimumMatchingTest,[junit:junit]
org.apdplat.word.util,DoubleArrayGenericTrieTest,[junit:junit]
org.apdplat.word.corpus,CorpusMerge,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,SørensenDiceCoefficientTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrieTest,[junit:junit]
org.apdplat.word.recognition,RecognitionToolTest,[junit:junit]
org.apdplat.word.analysis,HotWordTest,[junit:junit]
org.apdplat.word.analysis,HotWord,[org.slf4j:slf4j-api]
org.apdplat.word.tagging,SynonymTagging,[org.slf4j:slf4j-api]
org.apdplat.word.util,AutoDetector,"[org.slf4j:slf4j-api,redis.clients:jedis]"
org.apdplat.word.util,DirectoryWatcher,[org.slf4j:slf4j-api]
org.apdplat.word.tagging,PartOfSpeechTagging,[org.slf4j:slf4j-api]
org.apdplat.word.elasticsearch,ChineseWordNoOpTokenFilterFactory,"[org.apache.lucene:lucene-core,org.elasticsearch:elasticsearch]"
org.apdplat.word.corpus,CorpusTools,[org.slf4j:slf4j-api]
org.apdplat.word.util,GenericTrieTest,[junit:junit]
org.apdplat.word.segmentation.impl,AbstractSegmentation,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrie,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,SentenceIdentify,[org.slf4j:slf4j-api]
org.apdplat.word.recognition,StopWord,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,EditDistanceTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.corpus,ExtractText,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary,DictionaryFactory,[org.slf4j:slf4j-api]
org.apdplat.word.util,TrieTest,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,BidirectionalMaximumMinimumMatching,[org.slf4j:slf4j-api]
org.apdplat.word.corpus,Bigram,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,MaxNgramScore,[org.slf4j:slf4j-api]
org.apdplat.word.corpus,Trigram,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,BidirectionalMaximumMatching,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,ReverseMaximumMatchingTest,[junit:junit]
org.apdplat.word.analysis,SimpleTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.elasticsearch,ChineseWordAnalyzerProvider,"[org.elasticsearch:elasticsearch,org.slf4j:slf4j-api]"
org.apdplat.word.recognition,Punctuation,[org.slf4j:slf4j-api]
org.apdplat.word.util,Utils,[org.slf4j:slf4j-api]
org.apdplat.word.elasticsearch,ChineseWordTokenizerFactory,"[org.apache.lucene:lucene-core,org.elasticsearch:elasticsearch,org.slf4j:slf4j-api]"
org.apdplat.word.recognition,Quantifier,[org.slf4j:slf4j-api]
org.apdplat.word.util,DoubleArrayGenericTrie,[org.slf4j:slf4j-api]
org.apdplat.word.corpus,Evaluation,[org.slf4j:slf4j-api]
org.apdplat.word.util,GenericTrie,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,JaccardTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,FullSegmentation,[org.slf4j:slf4j-api]
org.apdplat.word.elasticsearch,ChineseWordPlugin,"[org.apache.lucene:lucene-core,org.elasticsearch:elasticsearch]"
org.apdplat.word.analysis,JaroDistanceTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.recognition,PunctuationTest,[junit:junit]
org.apdplat.word.segmentation.impl,ReverseMinimumMatchingTest,[junit:junit]
org.apdplat.word.analysis,EuclideanDistanceTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,TextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.tagging,PinyinTagging,"[com.belerweb:pinyin4j,org.slf4j:slf4j-api]"
org.apdplat.word.dictionary.impl,DictionaryTrieTest,[junit:junit]
org.apdplat.word.segmentation,SegmentationFactory,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,ManhattanDistanceTextSimilarity,[org.slf4j:slf4j-api]
org.apdplat.word.tagging,AntonymTagging,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DictionaryTrie,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,MaximumMatchingTest,[junit:junit]
org.apdplat.word.segmentation.impl,BidirectionalMinimumMatching,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,MinimalWordCount,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary,DictionaryTools,[org.slf4j:slf4j-api]
org.apdplat.word.vector,Word2Vector,[org.slf4j:slf4j-api]
org.apdplat.word,WordSegmenter,[org.slf4j:slf4j-api]
org.apdplat.word.lucene,ChineseWordAnalyzerTest,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
