repositoryName,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,both
sunlet/jplugin,0,0,0
vmware/vsphere-automation-sdk-java,0,0,0
eBay/parallec,0,0,0
forcedotcom/wsc,2,3,0
reinert/JJSchema,8,12,0
hantsy/angularjs-springmvc-sample-boot,1,2,0
microsoft/CDM,28,33,2
sinnerschrader/aem-react,0,2,0
snowdrop/istio-java-api,19,16,1
iamazy/elasticsearch-sql,0,0,0
jenkinsci/java-client-api,3,0,0
swagger-api/swagger-parser,1,5,1
bkiers/Liqp,0,2,0
rickfast/consul-client,341,7,0
Wikidata/Wikidata-Toolkit,261,63,4
raphaeljolivet/java2typescript,7,6,0
gsh199449/spider,0,0,0
opendatalab-de/geojson-jackson,4,6,0
bguerout/jongo,20,15,0
Omertron/api-themoviedb,133,12,0
dma-ais/AisLib,4,4,0
decentralized-identity/universal-resolver,37,6,0
cloudera/cm_api,12,0,0
damnhandy/Handy-URI-Templates,1,6,0
kklisura/chrome-devtools-java-client,14,1,0
meraki-analytics/orianna,8,16,3
Kepler-Framework/Kepler-All,31,0,0
maxmind/GeoIP2-java,74,2,0
TinkoffCreditSystems/invest-openapi-java-sdk,2,32,1
jmeter-maven-plugin/jmeter-maven-plugin,2,2,0
aws/aws-dynamodb-encryption-java,1,9,0
hantsy/angularjs-springmvc-sample,2,0,0
graphaware/neo4j-framework,11,7,0
yinwang0/pysonar2,0,4,0
graphql-java-kickstart/graphql-java-servlet,7,11,0
yinwang0/rubysonar,0,3,0
graalvm/graalvm-demos,2,2,0
ICIJ/extract,0,9,0
jenkinsci/gerrit-trigger-plugin,0,0,0
NaveenRudra/RTTM,1,0,0
jlinn/quartz-redis-jobstore,21,10,0
jenkinsci/kubernetes-cd-plugin,0,0,0
USPTO/PatentPublicData,6,33,1
graphaware/neo4j-nlp,3,0,0
arloor/HttpProxy,3,1,0
springdoc/springdoc-openapi-demos,13,0,0
helun/Ektorp,111,43,0
dadoonet/legacy-search,1,2,0
trautonen/coveralls-maven-plugin,8,11,0
numenta/htm.java,0,0,0
spotify/dbeam,0,0,0
victools/jsonschema-generator,29,2,0
jsonld-java/jsonld-java,0,21,0
hsiafan/requests,0,0,0
sendgrid/sendgrid-java,88,2,0
dschulten/hydra-java,55,29,2
borball/weixin-sdk,180,30,1
nielsbasjes/logparser,0,0,0
StripesFramework/stripes,2,0,0
vitalidze/traccar-web,44,6,0
twilio/twilio-java,434,406,0
