repositoryName,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,both
sunlet/jplugin,0,0,0
vmware/vsphere-automation-sdk-java,0,0,0
eBay/parallec,0,0,0
forcedotcom/wsc,1,1,1
reinert/JJSchema,3,3,2
hantsy/angularjs-springmvc-sample-boot,1,2,1
microsoft/CDM,6,8,4
sinnerschrader/aem-react,0,2,0
snowdrop/istio-java-api,4,6,3
iamazy/elasticsearch-sql,0,0,0
jenkinsci/java-client-api,1,0,0
swagger-api/swagger-parser,1,2,1
bkiers/Liqp,0,2,0
rickfast/consul-client,12,2,1
Wikidata/Wikidata-Toolkit,2,4,2
raphaeljolivet/java2typescript,3,3,1
gsh199449/spider,0,0,0
opendatalab-de/geojson-jackson,1,1,0
bguerout/jongo,8,4,2
Omertron/api-themoviedb,18,2,0
dma-ais/AisLib,1,3,0
decentralized-identity/universal-resolver,2,3,2
cloudera/cm_api,1,0,0
damnhandy/Handy-URI-Templates,1,3,1
kklisura/chrome-devtools-java-client,11,1,0
meraki-analytics/orianna,8,10,7
Kepler-Framework/Kepler-All,8,0,0
maxmind/GeoIP2-java,2,1,0
TinkoffCreditSystems/invest-openapi-java-sdk,1,2,1
jmeter-maven-plugin/jmeter-maven-plugin,2,1,1
aws/aws-dynamodb-encryption-java,1,3,1
hantsy/angularjs-springmvc-sample,2,0,0
graphaware/neo4j-framework,2,2,2
yinwang0/pysonar2,0,1,0
graphql-java-kickstart/graphql-java-servlet,3,4,2
yinwang0/rubysonar,0,1,0
graalvm/graalvm-demos,2,1,0
ICIJ/extract,0,3,0
jenkinsci/gerrit-trigger-plugin,0,0,0
NaveenRudra/RTTM,1,0,0
jlinn/quartz-redis-jobstore,2,3,1
jenkinsci/kubernetes-cd-plugin,0,0,0
USPTO/PatentPublicData,1,3,1
graphaware/neo4j-nlp,1,0,0
arloor/HttpProxy,1,1,1
springdoc/springdoc-openapi-demos,3,0,0
helun/Ektorp,5,7,4
dadoonet/legacy-search,1,1,1
trautonen/coveralls-maven-plugin,1,3,0
numenta/htm.java,0,0,0
spotify/dbeam,0,0,0
victools/jsonschema-generator,4,2,0
jsonld-java/jsonld-java,0,2,0
hsiafan/requests,0,0,0
sendgrid/sendgrid-java,4,2,2
dschulten/hydra-java,11,5,4
borball/weixin-sdk,62,7,5
nielsbasjes/logparser,0,0,0
StripesFramework/stripes,1,0,0
vitalidze/traccar-web,2,2,1
twilio/twilio-java,161,157,157
