repositoryName,junit:junit,org.hamcrest:hamcrest-all,both
raml-org/raml-java-parser,162,90,89
arangodb/arangodb-java-driver,1144,934,928
eclipse/eclipse.jdt.ls,1597,4,4
SeleniumHQ/fluent-selenium,399,314,309
seleniumkit/gridrouter,97,44,42
streamnative/pulsar-flink,211,12,11
vbauer/jackdaw,0,0,0
mahmoudparsian/data-algorithms-book,1,1,1
ChargeTimeEU/Java-OCA-OCPP,822,3,3
yandex-qatools/postgresql-embedded,35,16,16
shekhargulati/99-problems,135,113,113
Progether/JAdventure,85,0,0
OfficeDev/ews-java-api,163,7,7
amihaiemil/docker-java-api,266,153,153
jboss-javassist/javassist,406,0,0
Splitet/SplitetFramework,32,17,17
matteobaccan/owner,374,31,29
beanshell/beanshell,351,142,138
cloudbees-oss/zendesk-java-client,110,68,68
apache/commons-dbutils,297,1,1
SonarSource/sonar-custom-rules-examples,13,0,0
rnewson/couchdb-lucene,78,10,10
hekailiang/squirrel,182,75,75
networknt/json-schema-validator,326,2,2
yandex-qatools/htmlelements,134,167,85
gresrun/jesque,375,0,0
acciente/oacc-core,1248,1078,1077
datasift/dropwizard-extra,163,59,59
decorators-squad/eo-yaml,458,438,438
checkstyle/sonar-checkstyle,77,0,0
danielwegener/logback-kafka-appender,31,10,10
timols/jenkins-gitlab-merge-request-builder-plugin,18,0,0
ngageoint/elasticgeo,391,2,2
ahmetaa/zemberek-nlp,709,0,0
keycloak/keycloak-quickstarts,170,6,6
sirensolutions/siren-join,57,5,4
aws/aws-dynamodb-encryption-java,2,11,0
JCTools/JCTools,449,73,72
selendroid/selendroid,447,21,21
walkmod/walkmod-core,143,33,31
garbagemule/MobArena,252,97,94
nhaarman/ListViewAnimations,18,76,4
boonproject/boon,1185,21,21
ua-parser/uap-java,25,8,5
Simmetrics/simmetrics,180,14,4
jlinn/quartz-redis-jobstore,87,42,42
apache/predictionio-sdk-java,2,0,0
RichardWarburton/lambda-behave,38,53,7
radkovo/Pdf2Dom,35,15,15
sebastianbenz/Jnario,147,27,18
Ekryd/sortpom,0,0,0
awslabs/amazon-kinesis-client,766,66,59
preon/preon,255,18,18
mslosarz/nextrtc-signaling-server,97,60,59
RUB-NDS/WS-Attacker,688,154,152
gkopff/gson-jodatime-serialisers,42,42,42
bernardosulzbach/dungeon,251,5,5
confluence-publisher/confluence-publisher,289,208,206
tobiasflohre/movie-database,5,3,3
groupon/DotCi,193,0,0
NLPchina/elasticsearch-sql,428,37,37
HiveRunner/HiveRunner,84,77,7
timols/java-gitlab-api,35,19,5
OpenPojo/openpojo,754,77,75
torakiki/sejda,1110,99,94
Aconex/scrutineer,148,54,53
jmxtrans/jmxtrans-agent,150,104,104
vmi/selenese-runner-java,179,135,134
gardncl/elements-of-programming-interviews,618,1,0
pinterest/singer,130,4,4
ottogroup/flink-spector,9,12,2
OlivierLD/raspberry-coffee,43,0,0
fordfrog/apgdiff,18,10,10
movsim/movsim,71,4,4
dlsc-software-consulting-gmbh/CalendarFX,74,69,69
dschulten/hydra-java,203,26,26
neuland/jade4j,160,11,11
cache2k/cache2k,1508,139,139
octo-technology/sonar-objective-c,34,6,6
apache/dubbo-admin,77,12,12
temyers/cucumber-jvm-parallel-plugin,83,31,31
RoboBinding/RoboBinding,579,168,152
