repositoryName,junit:junit,org.hamcrest:hamcrest-all,both
raml-org/raml-java-parser,14,5,5
arangodb/arangodb-java-driver,22,19,19
eclipse/eclipse.jdt.ls,21,3,3
SeleniumHQ/fluent-selenium,5,4,4
seleniumkit/gridrouter,7,6,6
streamnative/pulsar-flink,10,2,2
vbauer/jackdaw,0,0,0
mahmoudparsian/data-algorithms-book,1,1,1
ChargeTimeEU/Java-OCA-OCPP,14,1,1
yandex-qatools/postgresql-embedded,2,2,2
shekhargulati/99-problems,12,11,11
Progether/JAdventure,8,0,0
OfficeDev/ews-java-api,15,3,3
amihaiemil/docker-java-api,2,2,2
jboss-javassist/javassist,11,0,0
Splitet/SplitetFramework,5,4,4
matteobaccan/owner,24,7,7
beanshell/beanshell,2,3,2
cloudbees-oss/zendesk-java-client,4,2,2
apache/commons-dbutils,5,1,1
SonarSource/sonar-custom-rules-examples,7,0,0
rnewson/couchdb-lucene,3,2,2
hekailiang/squirrel,7,5,5
networknt/json-schema-validator,1,1,1
yandex-qatools/htmlelements,4,5,4
gresrun/jesque,8,0,0
acciente/oacc-core,8,8,8
datasift/dropwizard-extra,9,7,7
decorators-squad/eo-yaml,3,3,3
checkstyle/sonar-checkstyle,5,0,0
danielwegener/logback-kafka-appender,4,2,2
timols/jenkins-gitlab-merge-request-builder-plugin,1,0,0
ngageoint/elasticgeo,2,1,1
ahmetaa/zemberek-nlp,24,0,0
keycloak/keycloak-quickstarts,8,3,3
sirensolutions/siren-join,8,2,2
aws/aws-dynamodb-encryption-java,2,4,1
JCTools/JCTools,17,8,7
selendroid/selendroid,26,2,2
walkmod/walkmod-core,4,2,2
garbagemule/MobArena,5,3,3
nhaarman/ListViewAnimations,3,6,3
boonproject/boon,35,2,2
ua-parser/uap-java,1,1,1
Simmetrics/simmetrics,8,4,3
jlinn/quartz-redis-jobstore,3,2,2
apache/predictionio-sdk-java,1,0,0
RichardWarburton/lambda-behave,5,4,3
radkovo/Pdf2Dom,1,1,1
sebastianbenz/Jnario,7,4,3
Ekryd/sortpom,0,0,0
awslabs/amazon-kinesis-client,13,9,8
preon/preon,18,3,3
mslosarz/nextrtc-signaling-server,10,10,10
RUB-NDS/WS-Attacker,47,15,15
gkopff/gson-jodatime-serialisers,1,1,1
bernardosulzbach/dungeon,13,3,3
confluence-publisher/confluence-publisher,6,7,6
tobiasflohre/movie-database,2,2,2
groupon/DotCi,17,0,0
NLPchina/elasticsearch-sql,2,1,1
HiveRunner/HiveRunner,3,6,2
timols/java-gitlab-api,3,2,2
OpenPojo/openpojo,87,21,21
torakiki/sejda,42,11,11
Aconex/scrutineer,4,4,4
jmxtrans/jmxtrans-agent,7,7,7
vmi/selenese-runner-java,15,14,14
gardncl/elements-of-programming-interviews,1,1,1
pinterest/singer,13,2,2
ottogroup/flink-spector,6,6,3
OlivierLD/raspberry-coffee,11,0,0
fordfrog/apgdiff,3,1,1
movsim/movsim,5,1,1
dlsc-software-consulting-gmbh/CalendarFX,2,2,2
dschulten/hydra-java,8,6,6
neuland/jade4j,9,1,1
cache2k/cache2k,30,11,11
octo-technology/sonar-objective-c,5,3,3
apache/dubbo-admin,8,2,2
temyers/cucumber-jvm-parallel-plugin,6,3,3
RoboBinding/RoboBinding,46,28,28
