repositoryName,junit:junit,org.openjdk.jmh:jmh-core,both
uber/h3-java,15,5,0
uber/tchannel-java,47,3,0
julianhyde/optiq,67,1,0
springside/springside4,73,1,0
cglib/cglib,34,2,0
yellowstonegames/SquidLib,19,10,0
brettwooldridge/NuProcess,11,1,0
thomasmueller/minperf,18,0,0
davidmoten/rxjava2-extras,48,1,0
json-iterator/java,67,1,0
FasterXML/jackson-modules-base,255,6,0
iotaledger/iri,74,7,2
davidmoten/rxjava-extras,52,2,0
jsurfer/JsonSurfer,9,5,0
spotify/missinglink,20,1,0
casbin/jcasbin,18,11,0
HdrHistogram/HdrHistogram,10,2,0
jflex-de/jflex,250,1,0
beehive-lab/TornadoVM,70,22,0
commonmark/commonmark-java,40,2,0
openjdk/jcstress,31,1,0
yahoo/Oak,31,4,0
openjdk/jmh,601,667,567
openjdk/jol,17,2,0
eclipse-vertx/vert.x,190,11,1
vlingo/xoom-examples,35,1,0
arteam/100-Java-Concurrency-questions,2,2,0
JCTools/JCTools,108,24,0
graalvm/graalvm-demos,2,1,0
tinylog-org/tinylog,110,18,0
ESAPI/esapi-java-legacy,118,1,0
dCache/nfs4j,51,3,0
neo4j-contrib/neo4j-graph-algorithms,192,38,0
GlenKPeterson/Paguro,63,1,0
RuedigerMoeller/fast-serialization,44,0,0
killme2008/aviatorscript,65,1,0
easymock/objenesis,17,2,0
numenta/htm.java,88,4,0
crossoverJie/JCSprout,22,1,0
davidmoten/rtree,36,1,0
vladimir-bukhtoyarov/bucket4j,22,7,0
amaembo/streamex,41,5,0
opencollab/jlatexmath,3,1,0
davidmoten/geo,10,1,0
LinShunKang/MyPerf4J,41,6,0
FastFilter/fastfilter_java,9,5,0
devexperts/aprof,2,3,0
spotify/sparkey-java,21,5,0
ObjectLayout/ObjectLayout,13,2,0
brettwooldridge/HikariCP-benchmark,0,3,0
davidmoten/rxjava-jdbc,21,1,0
spotify/netty-zmtp,12,1,0
tdunning/t-digest,26,6,0
spotify/completable-futures,3,1,0
vmware-archive/xenon,130,5,0
robinst/autolink-java,7,1,0
