repositoryName,junit:junit,org.openjdk.jmh:jmh-core,both
uber/h3-java,120,28,0
uber/tchannel-java,180,15,0
julianhyde/optiq,1489,5,0
springside/springside4,213,5,0
cglib/cglib,198,10,0
yellowstonegames/SquidLib,108,256,0
brettwooldridge/NuProcess,46,2,0
thomasmueller/minperf,50,0,0
davidmoten/rxjava2-extras,420,11,0
json-iterator/java,445,5,0
FasterXML/jackson-modules-base,943,20,0
iotaledger/iri,523,20,4
davidmoten/rxjava-extras,374,8,0
jsurfer/JsonSurfer,90,38,0
spotify/missinglink,82,5,0
casbin/jcasbin,136,33,0
HdrHistogram/HdrHistogram,113,16,0
jflex-de/jflex,982,5,0
beehive-lab/TornadoVM,491,88,0
commonmark/commonmark-java,329,11,0
openjdk/jcstress,95,4,0
yahoo/Oak,194,19,0
openjdk/jmh,1193,2307,509
openjdk/jol,49,10,0
eclipse-vertx/vert.x,3370,83,3
vlingo/xoom-examples,70,4,0
arteam/100-Java-Concurrency-questions,14,8,0
JCTools/JCTools,449,163,0
graalvm/graalvm-demos,4,2,0
tinylog-org/tinylog,1397,48,0
ESAPI/esapi-java-legacy,1094,3,0
dCache/nfs4j,435,6,0
neo4j-contrib/neo4j-graph-algorithms,1347,193,0
GlenKPeterson/Paguro,546,176,0
RuedigerMoeller/fast-serialization,119,0,0
killme2008/aviatorscript,664,15,0
easymock/objenesis,59,17,0
numenta/htm.java,700,8,0
crossoverJie/JCSprout,69,5,0
davidmoten/rtree,316,49,0
vladimir-bukhtoyarov/bucket4j,87,18,0
amaembo/streamex,509,31,0
opencollab/jlatexmath,22,2,0
davidmoten/geo,96,3,0
LinShunKang/MyPerf4J,75,26,0
FastFilter/fastfilter_java,23,10,0
devexperts/aprof,4,9,0
spotify/sparkey-java,73,23,0
ObjectLayout/ObjectLayout,114,20,0
brettwooldridge/HikariCP-benchmark,0,7,0
davidmoten/rxjava-jdbc,229,3,0
spotify/netty-zmtp,70,9,0
tdunning/t-digest,119,24,0
spotify/completable-futures,117,6,0
vmware-archive/xenon,1343,20,0
robinst/autolink-java,57,2,0
