repositoryName,junit:junit,org.openjdk.jmh:jmh-core,both
uber/h3-java,2,1,0
uber/tchannel-java,11,1,0
julianhyde/optiq,17,1,0
springside/springside4,20,1,0
cglib/cglib,8,1,0
yellowstonegames/SquidLib,4,1,1
brettwooldridge/NuProcess,3,1,0
thomasmueller/minperf,12,0,0
davidmoten/rxjava2-extras,8,1,1
json-iterator/java,6,1,1
FasterXML/jackson-modules-base,53,1,1
iotaledger/iri,30,4,2
davidmoten/rxjava-extras,6,2,1
jsurfer/JsonSurfer,2,1,1
spotify/missinglink,4,1,0
casbin/jcasbin,1,1,0
HdrHistogram/HdrHistogram,1,1,0
jflex-de/jflex,103,1,0
beehive-lab/TornadoVM,39,22,0
commonmark/commonmark-java,14,2,2
openjdk/jcstress,8,1,1
yahoo/Oak,1,1,1
openjdk/jmh,84,84,75
openjdk/jol,4,1,0
eclipse-vertx/vert.x,39,2,1
vlingo/xoom-examples,28,1,0
arteam/100-Java-Concurrency-questions,2,2,0
JCTools/JCTools,17,10,2
graalvm/graalvm-demos,2,1,0
tinylog-org/tinylog,23,10,0
ESAPI/esapi-java-legacy,23,1,1
dCache/nfs4j,8,1,0
neo4j-contrib/neo4j-graph-algorithms,27,4,1
GlenKPeterson/Paguro,7,1,1
RuedigerMoeller/fast-serialization,11,0,0
killme2008/aviatorscript,15,1,1
easymock/objenesis,7,1,0
numenta/htm.java,11,1,0
crossoverJie/JCSprout,7,1,0
davidmoten/rtree,7,1,1
vladimir-bukhtoyarov/bucket4j,13,2,1
amaembo/streamex,2,1,0
opencollab/jlatexmath,3,1,0
davidmoten/geo,4,1,1
LinShunKang/MyPerf4J,9,3,0
FastFilter/fastfilter_java,4,1,1
devexperts/aprof,1,1,0
spotify/sparkey-java,3,2,2
ObjectLayout/ObjectLayout,3,1,0
brettwooldridge/HikariCP-benchmark,0,1,0
davidmoten/rxjava-jdbc,3,1,1
spotify/netty-zmtp,1,1,1
tdunning/t-digest,3,1,0
spotify/completable-futures,1,1,0
vmware-archive/xenon,20,1,1
robinst/autolink-java,1,1,1
