repositoryName,junit:junit,org.openjdk.jmh:jmh-generator-annprocess,both
uber/h3-java,120,0,0
uber/tchannel-java,180,0,0
julianhyde/optiq,1489,0,0
springside/springside4,213,0,0
cglib/cglib,198,0,0
yellowstonegames/SquidLib,108,0,0
thomasmueller/minperf,50,0,0
davidmoten/rxjava2-extras,420,0,0
json-iterator/java,445,0,0
FasterXML/jackson-modules-base,943,0,0
iotaledger/iri,523,0,0
jsurfer/JsonSurfer,90,0,0
spotify/missinglink,82,0,0
casbin/jcasbin,136,0,0
HdrHistogram/HdrHistogram,113,0,0
jflex-de/jflex,982,0,0
beehive-lab/TornadoVM,491,0,0
commonmark/commonmark-java,329,0,0
openjdk/jcstress,95,0,0
yahoo/Oak,194,0,0
openjdk/jmh,1193,0,0
openjdk/jol,49,0,0
vlingo/xoom-examples,70,0,0
arteam/100-Java-Concurrency-questions,14,0,0
JCTools/JCTools,449,0,0
helyho/Voovan,122,0,0
graalvm/graalvm-demos,4,0,0
tinylog-org/tinylog,1397,0,0
dCache/nfs4j,435,0,0
neo4j-contrib/neo4j-graph-algorithms,1347,0,0
GlenKPeterson/Paguro,546,0,0
killme2008/aviatorscript,664,0,0
easymock/objenesis,59,0,0
crossoverJie/JCSprout,69,0,0
davidmoten/rtree,316,0,0
vladimir-bukhtoyarov/bucket4j,87,0,0
amaembo/streamex,509,0,0
opencollab/jlatexmath,22,0,0
davidmoten/geo,96,0,0
LinShunKang/MyPerf4J,75,0,0
FastFilter/fastfilter_java,23,0,0
spotify/sparkey-java,73,0,0
ObjectLayout/ObjectLayout,114,0,0
brettwooldridge/HikariCP-benchmark,0,0,0
davidmoten/rxjava-jdbc,229,0,0
spotify/netty-zmtp,70,0,0
tdunning/t-digest,119,0,0
spotify/completable-futures,117,0,0
vmware-archive/xenon,1343,0,0
