repositoryName,junit:junit,org.openjdk.jmh:jmh-generator-annprocess,both
uber/h3-java,2,0,0
uber/tchannel-java,11,0,0
julianhyde/optiq,17,0,0
springside/springside4,20,0,0
cglib/cglib,8,0,0
yellowstonegames/SquidLib,4,0,0
thomasmueller/minperf,12,0,0
davidmoten/rxjava2-extras,8,0,0
json-iterator/java,6,0,0
FasterXML/jackson-modules-base,53,0,0
iotaledger/iri,30,0,0
jsurfer/JsonSurfer,2,0,0
spotify/missinglink,4,0,0
casbin/jcasbin,1,0,0
HdrHistogram/HdrHistogram,1,0,0
jflex-de/jflex,103,0,0
beehive-lab/TornadoVM,39,0,0
commonmark/commonmark-java,14,0,0
openjdk/jcstress,8,0,0
yahoo/Oak,1,0,0
openjdk/jmh,84,0,0
openjdk/jol,4,0,0
vlingo/xoom-examples,28,0,0
arteam/100-Java-Concurrency-questions,2,0,0
JCTools/JCTools,17,0,0
helyho/Voovan,15,0,0
graalvm/graalvm-demos,2,0,0
tinylog-org/tinylog,23,0,0
dCache/nfs4j,8,0,0
neo4j-contrib/neo4j-graph-algorithms,27,0,0
GlenKPeterson/Paguro,7,0,0
killme2008/aviatorscript,15,0,0
easymock/objenesis,7,0,0
crossoverJie/JCSprout,7,0,0
davidmoten/rtree,7,0,0
vladimir-bukhtoyarov/bucket4j,13,0,0
amaembo/streamex,2,0,0
opencollab/jlatexmath,3,0,0
davidmoten/geo,4,0,0
LinShunKang/MyPerf4J,9,0,0
FastFilter/fastfilter_java,4,0,0
spotify/sparkey-java,3,0,0
ObjectLayout/ObjectLayout,3,0,0
brettwooldridge/HikariCP-benchmark,0,0,0
davidmoten/rxjava-jdbc,3,0,0
spotify/netty-zmtp,1,0,0
tdunning/t-digest,3,0,0
spotify/completable-futures,1,0,0
vmware-archive/xenon,20,0,0
