repositoryName,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,both
semanticvectors/semanticvectors,8,38,8
magese/ik-analyzer-solr,1,7,1
imixs/imixs-workflow,2,3,2
Novetta/CLAVIN,1,6,0
dermotte/LIRE,8,112,8
CogComp/talen,2,4,2
pranab/sifarish,2,2,2
larsga/Duke,3,9,3
lintool/twitter-tools,3,11,3
rnewson/couchdb-lucene,1,14,1
NLPchina/ansj_seg,6,29,6
lionsoul2014/jcseg,1,6,1
flaxsearch/luwak,13,93,13
senseidb/bobo,7,119,7
ahmetaa/zemberek-nlp,4,4,4
senseidb/zoie,6,62,6
dice-group/AGDISTIS,3,5,3
weiboad/fiery,0,11,0
DependencyTrack/dependency-track,0,9,0
intuit/fuzzy-matcher,1,1,1
dice-group/Palmetto,1,10,1
ysc/word,1,6,1
Stratio/cassandra-lucene-index,8,91,7
boyter/searchcode-server,2,10,2
oaqa/FlexNeuART,3,3,3
vmware-archive/xenon,1,13,1
javasoze/clue,0,38,0
