repositoryName,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,both
semanticvectors/semanticvectors,8,132,8
magese/ik-analyzer-solr,4,18,0
imixs/imixs-workflow,2,14,1
Novetta/CLAVIN,1,17,0
dermotte/LIRE,11,345,11
CogComp/talen,2,13,2
pranab/sifarish,2,2,2
larsga/Duke,4,30,4
lintool/twitter-tools,4,20,4
rnewson/couchdb-lucene,10,92,8
NLPchina/ansj_seg,8,78,4
lionsoul2014/jcseg,1,10,0
flaxsearch/luwak,17,315,15
senseidb/bobo,15,349,15
ahmetaa/zemberek-nlp,4,10,4
senseidb/zoie,8,180,8
dice-group/AGDISTIS,3,26,3
weiboad/fiery,0,23,0
DependencyTrack/dependency-track,0,26,0
intuit/fuzzy-matcher,1,1,1
dice-group/Palmetto,2,20,2
ysc/word,1,12,0
Stratio/cassandra-lucene-index,87,285,64
boyter/searchcode-server,2,41,2
oaqa/FlexNeuART,4,10,4
vmware-archive/xenon,1,130,1
javasoze/clue,0,81,0
