repositoryName,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-core,both
kobylynskyi/graphql-java-codegen,1,3,1
groovy/GMavenPlus,22,78,4
Cosium/git-code-format-maven-plugin,8,7,1
lukaszlenart/launch4j-maven-plugin,4,3,1
ferstl/depgraph-maven-plugin,8,43,4
maven-download-plugin/maven-download-plugin,2,3,1
git-commit-id/git-commit-id-maven-plugin,4,93,1
eirslett/frontend-maven-plugin,15,19,9
Alfresco/alfresco-sdk,7,15,2
randomizedtesting/randomizedtesting,1,4,1
gluonhq/gluonfx-maven-plugin,9,13,1
spotify/missinglink,1,5,1
reficio/p2-maven-plugin,1,8,1
moditect/moditect,4,15,4
alibaba/testable-mock,1,3,1
jflex-de/jflex,3,0,0
coveooss/fmt-maven-plugin,3,0,0
offbynull/coroutines,3,12,1
MorphiaOrg/morphia,2,2,1
asciidoctor/asciidoctor-maven-plugin,4,33,2
HubSpot/SlimFast,3,7,2
jmeter-maven-plugin/jmeter-maven-plugin,6,4,1
tcurdt/jdeb,3,9,1
raydac/mvn-golang,21,27,3
mybatis/generator,1,4,1
torquebox/jruby-maven-plugins,23,54,3
bytedeco/javacpp,3,4,2
antlr/antlr4,1,7,1
talios/clojure-maven-plugin,15,7,2
amaembo/huntbugs,1,3,1
spotify/docker-maven-plugin,5,6,2
davidB/scala-maven-plugin,15,46,3
mathieucarbou/license-maven-plugin,7,1,0
tbroyer/gwt-maven-plugin,13,26,7
confluence-publisher/confluence-publisher,1,0,0
spotify/dockerfile-maven,4,5,1
trautonen/coveralls-maven-plugin,1,21,1
sdbg/sdbg,1,0,0
eclipse/microprofile,1,2,1
victools/jsonschema-generator,1,3,1
Cornutum/tcases,5,0,0
cqfn/eo,5,6,2
electronicarts/ea-async,3,3,1
bytemanproject/byteman,1,2,1
aleksandr-m/gitflow-maven-plugin,9,7,1
airlift/drift,1,2,1
kilim/kilim,1,2,1
openjfx/javafx-maven-plugin,3,7,1
fizzed/rocker,1,2,1
gitflow-incremental-builder/gitflow-incremental-builder,3,245,0
takari/takari-maven-plugin,2,3,1
temyers/cucumber-jvm-parallel-plugin,1,3,1
