repositoryName,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-core,both
kobylynskyi/graphql-java-codegen,1,1,1
groovy/GMavenPlus,1,1,1
Cosium/git-code-format-maven-plugin,1,1,1
lukaszlenart/launch4j-maven-plugin,1,1,1
ferstl/depgraph-maven-plugin,1,2,1
maven-download-plugin/maven-download-plugin,1,1,1
git-commit-id/git-commit-id-maven-plugin,2,1,1
eirslett/frontend-maven-plugin,1,1,1
Alfresco/alfresco-sdk,1,2,1
randomizedtesting/randomizedtesting,1,1,1
gluonhq/gluonfx-maven-plugin,1,2,1
spotify/missinglink,1,1,1
reficio/p2-maven-plugin,1,2,1
moditect/moditect,4,5,4
alibaba/testable-mock,1,1,1
jflex-de/jflex,3,0,0
coveooss/fmt-maven-plugin,1,0,0
offbynull/coroutines,1,1,1
MorphiaOrg/morphia,1,1,1
asciidoctor/asciidoctor-maven-plugin,1,3,1
HubSpot/SlimFast,1,1,1
jmeter-maven-plugin/jmeter-maven-plugin,1,1,1
tcurdt/jdeb,1,1,1
raydac/mvn-golang,1,2,1
mybatis/generator,1,1,1
torquebox/jruby-maven-plugins,7,5,3
bytedeco/javacpp,1,1,1
antlr/antlr4,1,1,1
talios/clojure-maven-plugin,1,1,1
amaembo/huntbugs,1,1,1
spotify/docker-maven-plugin,1,1,1
davidB/scala-maven-plugin,1,4,1
mathieucarbou/license-maven-plugin,1,1,1
tbroyer/gwt-maven-plugin,1,1,1
confluence-publisher/confluence-publisher,1,0,0
spotify/dockerfile-maven,1,1,1
trautonen/coveralls-maven-plugin,1,2,1
sdbg/sdbg,1,0,0
eclipse/microprofile,1,1,1
victools/jsonschema-generator,1,1,1
Cornutum/tcases,1,0,0
cqfn/eo,1,1,1
electronicarts/ea-async,1,1,1
bytemanproject/byteman,1,1,1
aleksandr-m/gitflow-maven-plugin,1,1,1
airlift/drift,1,1,1
kilim/kilim,1,1,1
openjfx/javafx-maven-plugin,1,1,1
fizzed/rocker,1,1,1
gitflow-incremental-builder/gitflow-incremental-builder,1,6,0
takari/takari-maven-plugin,1,1,1
temyers/cucumber-jvm-parallel-plugin,1,1,1
