repositoryName,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-plugin-api,both
yahoo/sherlock,0,0,0
kobylynskyi/graphql-java-codegen,1,1,1
groovy/GMavenPlus,22,33,20
Cosium/git-code-format-maven-plugin,8,15,7
lukaszlenart/launch4j-maven-plugin,4,1,1
ferstl/depgraph-maven-plugin,8,1,1
casid/jte,2,2,2
maven-download-plugin/maven-download-plugin,2,6,2
git-commit-id/git-commit-id-maven-plugin,4,6,2
eirslett/frontend-maven-plugin,15,11,10
Alfresco/alfresco-sdk,7,8,4
randomizedtesting/randomizedtesting,1,2,1
gluonhq/gluonfx-maven-plugin,9,9,9
jhunters/jprotobuf,2,3,2
paulhoule/infovore,1,1,1
pure4j/pure4j,1,2,1
spotify/missinglink,1,2,1
reficio/p2-maven-plugin,1,8,1
moditect/moditect,4,7,4
alibaba/testable-mock,1,1,1
jflex-de/jflex,3,8,3
coveooss/fmt-maven-plugin,3,3,2
offbynull/coroutines,3,5,3
MorphiaOrg/morphia,2,2,2
asciidoctor/asciidoctor-maven-plugin,4,22,4
HubSpot/SlimFast,3,10,3
jmeter-maven-plugin/jmeter-maven-plugin,6,22,6
tcurdt/jdeb,3,2,1
paul-hammant/paranamer,1,1,1
raydac/mvn-golang,21,18,9
mybatis/generator,1,3,1
torquebox/jruby-maven-plugins,23,25,23
tunnelvisionlabs/antlr4cs,2,5,2
bytedeco/javacpp,3,3,3
antlr/antlr4,1,4,1
talios/clojure-maven-plugin,15,16,14
amaembo/huntbugs,1,1,1
davidB/scala-maven-plugin,15,20,13
Ekryd/sortpom,3,11,3
mathieucarbou/license-maven-plugin,7,23,4
tbroyer/gwt-maven-plugin,13,12,9
TNG/JGiven,1,1,1
confluence-publisher/confluence-publisher,1,1,1
spotify/dockerfile-maven,4,6,4
trautonen/coveralls-maven-plugin,1,12,1
sdbg/sdbg,1,1,1
fusesource/hawtjni,4,5,4
eclipse/microprofile,1,1,1
samaxes/minify-maven-plugin,1,6,1
ulisesbocchio/jasypt-spring-boot,10,10,8
victools/jsonschema-generator,1,2,1
Cornutum/tcases,5,9,5
cqfn/eo,5,6,5
electronicarts/ea-async,3,3,3
alexnederlof/Jasper-report-maven-plugin,1,3,1
bytemanproject/byteman,1,1,1
gaul/modernizer-maven-plugin,1,1,1
airlift/drift,1,1,1
luontola/retrolambda,3,2,1
openjfx/javafx-maven-plugin,3,4,3
trivago/cucable-plugin,1,5,1
fizzed/rocker,1,1,1
trivago/cluecumber-report-plugin,2,5,2
takari/takari-maven-plugin,2,2,2
temyers/cucumber-jvm-parallel-plugin,1,8,1
hibernate/hibernate-tools,4,3,3
alexec/docker-maven-plugin,10,6,2
