repositoryName,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-plugin-api,both
yahoo/sherlock,0,0,0
kobylynskyi/graphql-java-codegen,1,3,1
groovy/GMavenPlus,22,99,1
Cosium/git-code-format-maven-plugin,8,35,1
lukaszlenart/launch4j-maven-plugin,4,12,1
ferstl/depgraph-maven-plugin,8,8,1
casid/jte,2,5,2
maven-download-plugin/maven-download-plugin,2,21,2
git-commit-id/git-commit-id-maven-plugin,4,21,2
eirslett/frontend-maven-plugin,15,17,1
Alfresco/alfresco-sdk,7,30,2
randomizedtesting/randomizedtesting,1,6,1
gluonhq/gluonfx-maven-plugin,9,12,2
jhunters/jprotobuf,2,17,2
paulhoule/infovore,1,2,1
pure4j/pure4j,1,6,1
spotify/missinglink,1,13,1
reficio/p2-maven-plugin,1,33,1
moditect/moditect,4,28,4
alibaba/testable-mock,1,3,1
jflex-de/jflex,3,23,3
coveooss/fmt-maven-plugin,3,19,1
offbynull/coroutines,3,7,1
MorphiaOrg/morphia,2,5,2
asciidoctor/asciidoctor-maven-plugin,4,126,1
HubSpot/SlimFast,3,44,3
jmeter-maven-plugin/jmeter-maven-plugin,6,84,1
tcurdt/jdeb,3,6,1
paul-hammant/paranamer,1,2,1
raydac/mvn-golang,21,87,1
mybatis/generator,1,13,1
torquebox/jruby-maven-plugins,23,65,4
tunnelvisionlabs/antlr4cs,2,15,2
bytedeco/javacpp,3,5,2
antlr/antlr4,1,13,1
talios/clojure-maven-plugin,15,30,1
amaembo/huntbugs,1,6,1
davidB/scala-maven-plugin,15,55,3
Ekryd/sortpom,3,32,1
mathieucarbou/license-maven-plugin,7,48,1
tbroyer/gwt-maven-plugin,13,30,8
TNG/JGiven,1,2,1
confluence-publisher/confluence-publisher,1,3,1
spotify/dockerfile-maven,4,25,1
trautonen/coveralls-maven-plugin,1,37,1
sdbg/sdbg,1,2,1
fusesource/hawtjni,4,18,4
eclipse/microprofile,1,2,1
samaxes/minify-maven-plugin,1,21,1
ulisesbocchio/jasypt-spring-boot,10,16,1
victools/jsonschema-generator,1,16,1
Cornutum/tcases,5,18,5
cqfn/eo,5,12,5
electronicarts/ea-async,3,5,1
alexnederlof/Jasper-report-maven-plugin,1,18,1
bytemanproject/byteman,1,2,1
gaul/modernizer-maven-plugin,1,5,1
airlift/drift,1,7,1
luontola/retrolambda,3,14,1
openjfx/javafx-maven-plugin,3,20,1
trivago/cucable-plugin,1,16,1
fizzed/rocker,1,2,1
trivago/cluecumber-report-plugin,2,11,1
takari/takari-maven-plugin,2,6,2
temyers/cucumber-jvm-parallel-plugin,1,18,1
hibernate/hibernate-tools,4,4,1
alexec/docker-maven-plugin,10,17,1
