repositoryName,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-plugin-api,both
yahoo/sherlock,0,0,0
kobylynskyi/graphql-java-codegen,1,1,1
groovy/GMavenPlus,1,2,1
Cosium/git-code-format-maven-plugin,1,4,1
lukaszlenart/launch4j-maven-plugin,1,1,1
ferstl/depgraph-maven-plugin,1,1,1
casid/jte,1,1,1
maven-download-plugin/maven-download-plugin,1,2,1
git-commit-id/git-commit-id-maven-plugin,2,3,2
eirslett/frontend-maven-plugin,1,1,1
Alfresco/alfresco-sdk,1,2,1
randomizedtesting/randomizedtesting,1,1,1
gluonhq/gluonfx-maven-plugin,1,1,1
jhunters/jprotobuf,1,1,1
paulhoule/infovore,1,1,1
pure4j/pure4j,1,1,1
spotify/missinglink,1,1,1
reficio/p2-maven-plugin,1,5,1
moditect/moditect,4,5,4
alibaba/testable-mock,1,1,1
jflex-de/jflex,3,3,3
coveooss/fmt-maven-plugin,1,1,1
offbynull/coroutines,1,1,1
MorphiaOrg/morphia,1,1,1
asciidoctor/asciidoctor-maven-plugin,1,5,1
HubSpot/SlimFast,1,1,1
jmeter-maven-plugin/jmeter-maven-plugin,1,5,1
tcurdt/jdeb,1,1,1
paul-hammant/paranamer,1,1,1
raydac/mvn-golang,1,3,1
mybatis/generator,1,1,1
torquebox/jruby-maven-plugins,7,8,7
tunnelvisionlabs/antlr4cs,2,2,2
bytedeco/javacpp,1,1,1
antlr/antlr4,1,1,1
talios/clojure-maven-plugin,1,1,1
amaembo/huntbugs,1,1,1
davidB/scala-maven-plugin,1,4,1
Ekryd/sortpom,1,5,1
mathieucarbou/license-maven-plugin,1,5,1
tbroyer/gwt-maven-plugin,1,1,1
TNG/JGiven,1,1,1
confluence-publisher/confluence-publisher,1,1,1
spotify/dockerfile-maven,1,1,1
trautonen/coveralls-maven-plugin,1,3,1
sdbg/sdbg,1,1,1
fusesource/hawtjni,1,1,1
eclipse/microprofile,1,1,1
samaxes/minify-maven-plugin,1,2,1
ulisesbocchio/jasypt-spring-boot,1,1,1
victools/jsonschema-generator,1,1,1
Cornutum/tcases,1,1,1
cqfn/eo,1,1,1
electronicarts/ea-async,1,1,1
alexnederlof/Jasper-report-maven-plugin,1,1,1
bytemanproject/byteman,1,1,1
gaul/modernizer-maven-plugin,1,1,1
airlift/drift,1,1,1
luontola/retrolambda,1,1,1
openjfx/javafx-maven-plugin,1,1,1
trivago/cucable-plugin,1,3,1
fizzed/rocker,1,1,1
trivago/cluecumber-report-plugin,1,3,1
takari/takari-maven-plugin,1,1,1
temyers/cucumber-jvm-parallel-plugin,1,2,1
hibernate/hibernate-tools,1,1,1
alexec/docker-maven-plugin,1,2,1
