repositoryName,org.apache.maven:maven-core,org.apache.maven:maven-plugin-api,both
kobylynskyi/graphql-java-codegen,1,1,1
groovy/GMavenPlus,37,33,27
jeluard/semantic-versioning,0,2,0
Cosium/git-code-format-maven-plugin,1,15,1
lukaszlenart/launch4j-maven-plugin,1,1,1
ferstl/depgraph-maven-plugin,16,1,1
maven-download-plugin/maven-download-plugin,1,6,1
git-commit-id/git-commit-id-maven-plugin,13,6,2
eirslett/frontend-maven-plugin,10,11,7
Alfresco/alfresco-sdk,8,8,7
randomizedtesting/randomizedtesting,1,2,1
raphaeljolivet/java2typescript,0,1,0
gluonhq/gluonfx-maven-plugin,6,9,5
spotify/missinglink,2,2,2
reficio/p2-maven-plugin,3,8,3
moditect/moditect,6,7,5
maven-nar/nar-maven-plugin,23,48,23
alibaba/testable-mock,1,1,1
jflex-de/jflex,0,8,0
coveooss/fmt-maven-plugin,0,3,0
offbynull/coroutines,5,5,5
MorphiaOrg/morphia,1,2,1
asciidoctor/asciidoctor-maven-plugin,9,22,4
warmuuh/libsass-maven-plugin,3,3,3
HubSpot/SlimFast,3,10,3
jmeter-maven-plugin/jmeter-maven-plugin,2,22,2
tcurdt/jdeb,1,2,1
raydac/mvn-golang,10,18,7
mybatis/generator,2,3,1
torquebox/jruby-maven-plugins,14,25,9
fabiomaffioletti/jsondoc,1,1,1
bytedeco/javacpp,2,3,2
antlr/antlr4,2,4,2
talios/clojure-maven-plugin,4,16,4
amaembo/huntbugs,1,1,1
davidB/scala-maven-plugin,19,20,14
mathieucarbou/license-maven-plugin,1,23,1
tbroyer/gwt-maven-plugin,11,12,9
Thomas-S-B/visualee,1,2,1
confluence-publisher/confluence-publisher,0,1,0
spotify/dockerfile-maven,1,6,1
phax/ph-css,0,1,0
trautonen/coveralls-maven-plugin,7,12,2
allegro/grunt-maven-plugin,1,8,1
sdbg/sdbg,0,1,0
eclipse/microprofile,1,1,1
github/maven-plugins,7,5,5
victools/jsonschema-generator,2,2,2
Cornutum/tcases,0,9,0
cqfn/eo,4,6,3
electronicarts/ea-async,3,3,3
bytemanproject/byteman,1,1,1
airlift/drift,1,1,1
openjfx/javafx-maven-plugin,3,4,2
javafx-maven-plugin/javafx-maven-plugin,5,8,5
fizzed/rocker,1,1,1
takari/takari-maven-plugin,1,2,1
temyers/cucumber-jvm-parallel-plugin,1,8,1
