repositoryName,org.apache.maven:maven-core,org.apache.maven:maven-plugin-api,both
kobylynskyi/graphql-java-codegen,3,3,2
groovy/GMavenPlus,78,99,33
jeluard/semantic-versioning,0,3,0
Cosium/git-code-format-maven-plugin,7,35,1
lukaszlenart/launch4j-maven-plugin,3,12,3
ferstl/depgraph-maven-plugin,43,8,2
maven-download-plugin/maven-download-plugin,3,21,3
git-commit-id/git-commit-id-maven-plugin,93,21,3
eirslett/frontend-maven-plugin,19,17,6
Alfresco/alfresco-sdk,15,30,11
randomizedtesting/randomizedtesting,4,6,1
raphaeljolivet/java2typescript,0,3,0
gluonhq/gluonfx-maven-plugin,13,12,7
spotify/missinglink,5,13,2
reficio/p2-maven-plugin,8,33,5
moditect/moditect,15,28,13
maven-nar/nar-maven-plugin,57,183,41
alibaba/testable-mock,3,3,2
jflex-de/jflex,0,23,0
coveooss/fmt-maven-plugin,0,19,0
offbynull/coroutines,12,7,5
MorphiaOrg/morphia,2,5,2
asciidoctor/asciidoctor-maven-plugin,33,126,7
warmuuh/libsass-maven-plugin,5,7,2
HubSpot/SlimFast,7,44,7
jmeter-maven-plugin/jmeter-maven-plugin,4,84,3
tcurdt/jdeb,9,6,2
raydac/mvn-golang,27,87,8
mybatis/generator,4,13,3
torquebox/jruby-maven-plugins,54,65,22
fabiomaffioletti/jsondoc,2,2,2
bytedeco/javacpp,4,5,4
antlr/antlr4,7,13,3
talios/clojure-maven-plugin,7,30,6
amaembo/huntbugs,3,6,3
davidB/scala-maven-plugin,46,55,17
mathieucarbou/license-maven-plugin,1,48,1
tbroyer/gwt-maven-plugin,26,30,20
Thomas-S-B/visualee,3,8,2
confluence-publisher/confluence-publisher,0,3,0
spotify/dockerfile-maven,5,25,3
phax/ph-css,0,4,0
trautonen/coveralls-maven-plugin,21,37,3
allegro/grunt-maven-plugin,4,19,1
sdbg/sdbg,0,2,0
eclipse/microprofile,2,2,2
github/maven-plugins,11,22,6
victools/jsonschema-generator,3,16,2
Cornutum/tcases,0,18,0
cqfn/eo,6,12,5
electronicarts/ea-async,3,5,1
bytemanproject/byteman,2,2,2
airlift/drift,2,7,2
openjfx/javafx-maven-plugin,7,20,4
javafx-maven-plugin/javafx-maven-plugin,6,28,6
fizzed/rocker,2,2,2
takari/takari-maven-plugin,3,6,3
temyers/cucumber-jvm-parallel-plugin,3,18,2
