repositoryName,org.apache.maven:maven-core,org.apache.maven:maven-plugin-api,both
kobylynskyi/graphql-java-codegen,1,1,1
groovy/GMavenPlus,1,2,1
jeluard/semantic-versioning,0,1,0
Cosium/git-code-format-maven-plugin,1,4,1
lukaszlenart/launch4j-maven-plugin,1,1,1
ferstl/depgraph-maven-plugin,2,1,1
maven-download-plugin/maven-download-plugin,1,2,1
git-commit-id/git-commit-id-maven-plugin,1,3,1
eirslett/frontend-maven-plugin,1,1,1
Alfresco/alfresco-sdk,2,2,2
randomizedtesting/randomizedtesting,1,1,1
raphaeljolivet/java2typescript,0,1,0
gluonhq/gluonfx-maven-plugin,2,1,1
spotify/missinglink,1,1,1
reficio/p2-maven-plugin,2,5,2
moditect/moditect,5,5,5
maven-nar/nar-maven-plugin,1,2,1
alibaba/testable-mock,1,1,1
jflex-de/jflex,0,3,0
coveooss/fmt-maven-plugin,0,1,0
offbynull/coroutines,1,1,1
MorphiaOrg/morphia,1,1,1
asciidoctor/asciidoctor-maven-plugin,3,5,2
warmuuh/libsass-maven-plugin,1,1,1
HubSpot/SlimFast,1,1,1
jmeter-maven-plugin/jmeter-maven-plugin,1,5,1
tcurdt/jdeb,1,1,1
raydac/mvn-golang,2,3,2
mybatis/generator,1,1,1
torquebox/jruby-maven-plugins,5,8,4
fabiomaffioletti/jsondoc,1,1,1
bytedeco/javacpp,1,1,1
antlr/antlr4,1,1,1
talios/clojure-maven-plugin,1,1,1
amaembo/huntbugs,1,1,1
davidB/scala-maven-plugin,4,4,3
mathieucarbou/license-maven-plugin,1,5,1
tbroyer/gwt-maven-plugin,1,1,1
Thomas-S-B/visualee,1,2,1
confluence-publisher/confluence-publisher,0,1,0
spotify/dockerfile-maven,1,1,1
phax/ph-css,0,1,0
trautonen/coveralls-maven-plugin,2,3,1
allegro/grunt-maven-plugin,1,3,1
sdbg/sdbg,0,1,0
eclipse/microprofile,1,1,1
github/maven-plugins,2,2,2
victools/jsonschema-generator,1,1,1
Cornutum/tcases,0,1,0
cqfn/eo,1,1,1
electronicarts/ea-async,1,1,1
bytemanproject/byteman,1,1,1
airlift/drift,1,1,1
openjfx/javafx-maven-plugin,1,1,1
javafx-maven-plugin/javafx-maven-plugin,1,1,1
fizzed/rocker,1,1,1
takari/takari-maven-plugin,1,1,1
temyers/cucumber-jvm-parallel-plugin,1,2,1
