repositoryName,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet,both
chanjarster/weixin-java-tools,2,2,2
apache/incubator-retired-htrace,2,2,2
neo4j-contrib/neo4j-mazerunner,0,0,0
kevinsawicki/http-request,2,1,1
jhy/jsoup,2,1,1
owlike/genson,1,1,1
rnewson/couchdb-lucene,2,1,1
Codecademy/EventHub,2,0,0
everit-org/json-schema,1,1,1
census-instrumentation/opencensus-java,1,1,1
alibaba/jvm-sandbox,1,1,1
4thline/cling,1,1,1
uwolfer/gerrit-rest-java-client,1,1,1
trishullab/bayou,1,1,1
webmetrics/browsermob-proxy,3,2,2
gitflow-incremental-builder/gitflow-incremental-builder,1,1,1
rhuss/jolokia,3,1,1
rest-driver/rest-driver,7,1,1
