repositoryName,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet,both
chanjarster/weixin-java-tools,2,2,2
apache/incubator-retired-htrace,6,2,2
neo4j-contrib/neo4j-mazerunner,0,0,0
kevinsawicki/http-request,138,1,1
jhy/jsoup,5,2,2
owlike/genson,5,3,3
rnewson/couchdb-lucene,3,1,1
Codecademy/EventHub,5,0,0
everit-org/json-schema,3,1,1
census-instrumentation/opencensus-java,3,1,1
alibaba/jvm-sandbox,6,1,1
4thline/cling,9,1,1
uwolfer/gerrit-rest-java-client,1,1,1
trishullab/bayou,1,1,1
webmetrics/browsermob-proxy,4,2,2
gitflow-incremental-builder/gitflow-incremental-builder,5,1,0
rhuss/jolokia,9,3,2
rest-driver/rest-driver,20,1,1
