repositoryName,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter:junit-jupiter-engine,both
codecentric/chaos-monkey-spring-boot,40,0,0
everitoken/evt4j,35,0,0
kobylynskyi/graphql-java-codegen,57,0,0
Kong/unirest-java,97,0,0
manoelcampos/cloudsimplus,48,0,0
verhas/License3j,12,0,0
Frameworkium/frameworkium-core,0,0,0
OWASP/SecurityShepherd,3,0,0
flapdoodle-oss/de.flapdoodle.embed.process,1,0,0
approvals/ApprovalTests.Java,106,0,0
zandero/rest.vertx,69,0,0
jelmerk/hnswlib,5,0,0
yegor256/takes,138,0,0
jhg023/SimpleNet,4,0,0
dpaukov/combinatoricslib3,8,0,0
java-operator-sdk/java-operator-sdk,19,0,0
panda-lang/panda,0,0,0
raydac/java-binary-block-parser,69,0,0
making/yavi,30,0,0
jfree/jfreesvg,4,0,0
spring-framework-guru/sfg-blog-posts,37,0,0
greenmail-mail-test/greenmail,6,0,0
mircokroon/minecraft-world-downloader,2,0,0
awsdocs/aws-lambda-developer-guide,1,0,0
samdjstevens/java-totp,10,0,0
optimatika/ojAlgo,148,0,0
eclipse/lemminx,119,0,0
fridujo/rabbitmq-mock,18,0,0
HdrHistogram/HdrHistogram,9,0,0
roskenet/springboot-javafx-support,7,0,0
Hakky54/sslcontext-kickstart,30,0,0
dnsjava/dnsjava,111,0,0
ctongfei/progressbar,12,0,0
offbynull/coroutines,19,0,0
aramrami/OWASP-CSRFGuard,4,0,0
objectify/objectify,102,0,0
Hakky54/log-captor,1,0,0
jitsi/ice4j,32,0,0
vlingo/xoom-examples,21,0,0
jfree/fxgraphics2d,1,0,0
mikera/vectorz,76,0,0
Nurtak/ObjectGraphVisualization,9,0,0
orbisgis/h2gis,65,0,0
DraqueT/PolyGlot,40,0,0
diguage/jdk-source-analysis,43,0,0
ssaring/sportstracker,27,0,0
dadoonet/spring-elasticsearch,8,0,0
eclipse-ee4j/yasson,74,0,0
mybatis/generator,70,0,0
dialex/JColor,6,0,0
julianhyde/sqlline,13,0,0
sagframe/sagacity-sqltoy,19,0,0
cloudyrock/mongock,5,0,0
pgjdbc/pgjdbc,3,0,0
confluentinc/parallel-consumer,32,0,0
yuzutech/kroki,15,0,0
microsoft/mssql-jdbc,127,0,0
redfx-quantum/strange,21,0,0
unicode-org/cldr,0,0,0
FunnyGuilds/FunnyGuilds,0,0,0
skjolber/3d-bin-container-packing,18,0,0
hyperledger/fabric-chaincode-java,16,0,0
developersu/ns-usbloader,1,0,0
unitsofmeasurement/unit-api,14,0,0
LearningByExample/reactive-ms-example,10,0,0
games647/LagMonitor,5,0,0
moquette-io/moquette,37,0,0
restfb/restfb,241,0,0
sqlite-sync/SQLite-sync.com,3,0,0
timols/java-gitlab-api,4,0,0
bytemanproject/byteman,4,0,0
apache/commons-collections,60,0,0
eiiches/jackson-jq,8,0,0
VueGWT/vue-gwt,7,0,0
apache/incubator-retired-gossip,7,0,0
rubenlagus/TelegramBots,34,0,0
red6/pdfcompare,9,0,0
jmock-developers/jmock-library,23,0,0
netty/netty-incubator-codec-quic,22,0,0
hapifhir/hapi-fhir-jpaserver-starter,6,0,0
sevntu-checkstyle/sevntu.checkstyle,5,0,0
pinterest/singer,4,0,0
docbleach/DocBleach,10,0,0
Sayi/poi-tl,78,0,0
OlivierLD/raspberry-coffee,2,0,0
svendiedrichsen/jollyday,42,0,0
AlmasB/FXGL,8,0,0
jgitver/jgitver,102,0,0
aikar/commands,2,0,0
hibernate/hibernate-tools,127,0,0
karakun/OpenWebStart,25,0,0
mybatis/mybatis-dynamic-sql,60,0,0
ThreeTen/threeten-extra,37,0,0
