repositoryName,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter:junit-jupiter-engine,both
codecentric/chaos-monkey-spring-boot,157,0,0
everitoken/evt4j,100,0,0
kobylynskyi/graphql-java-codegen,326,0,0
Kong/unirest-java,716,0,0
manoelcampos/cloudsimplus,452,0,0
verhas/License3j,121,0,0
Frameworkium/frameworkium-core,0,0,0
OWASP/SecurityShepherd,26,0,0
flapdoodle-oss/de.flapdoodle.embed.process,5,0,0
approvals/ApprovalTests.Java,276,0,0
zandero/rest.vertx,477,0,0
jelmerk/hnswlib,70,0,0
yegor256/takes,319,0,0
jhg023/SimpleNet,40,0,0
dpaukov/combinatoricslib3,77,0,0
java-operator-sdk/java-operator-sdk,91,0,0
panda-lang/panda,0,0,0
raydac/java-binary-block-parser,1218,0,0
making/yavi,168,0,0
jfree/jfreesvg,114,0,0
spring-framework-guru/sfg-blog-posts,112,0,0
greenmail-mail-test/greenmail,14,0,0
mircokroon/minecraft-world-downloader,27,0,0
awsdocs/aws-lambda-developer-guide,1,0,0
samdjstevens/java-totp,27,0,0
optimatika/ojAlgo,968,0,0
eclipse/lemminx,1456,0,0
fridujo/rabbitmq-mock,108,0,0
HdrHistogram/HdrHistogram,79,0,0
roskenet/springboot-javafx-support,26,0,0
Hakky54/sslcontext-kickstart,468,0,0
dnsjava/dnsjava,752,0,0
ctongfei/progressbar,20,0,0
offbynull/coroutines,134,0,0
aramrami/OWASP-CSRFGuard,23,0,0
objectify/objectify,399,0,0
Hakky54/log-captor,33,0,0
jitsi/ice4j,241,0,0
vlingo/xoom-examples,107,0,0
jfree/fxgraphics2d,66,0,0
mikera/vectorz,666,0,0
Nurtak/ObjectGraphVisualization,73,0,0
orbisgis/h2gis,1368,0,0
DraqueT/PolyGlot,305,0,0
diguage/jdk-source-analysis,86,0,0
ssaring/sportstracker,154,0,0
dadoonet/spring-elasticsearch,17,0,0
eclipse-ee4j/yasson,494,0,0
mybatis/generator,1424,0,0
dialex/JColor,79,0,0
julianhyde/sqlline,201,0,0
sagframe/sagacity-sqltoy,61,0,0
cloudyrock/mongock,15,0,0
pgjdbc/pgjdbc,15,0,0
confluentinc/parallel-consumer,125,0,0
yuzutech/kroki,120,0,0
microsoft/mssql-jdbc,1121,0,0
redfx-quantum/strange,249,0,0
unicode-org/cldr,0,0,0
FunnyGuilds/FunnyGuilds,0,0,0
skjolber/3d-bin-container-packing,137,0,0
hyperledger/fabric-chaincode-java,89,0,0
developersu/ns-usbloader,3,0,0
unitsofmeasurement/unit-api,146,0,0
LearningByExample/reactive-ms-example,68,0,0
games647/LagMonitor,27,0,0
moquette-io/moquette,274,0,0
restfb/restfb,1304,0,0
sqlite-sync/SQLite-sync.com,9,0,0
timols/java-gitlab-api,16,0,0
bytemanproject/byteman,12,0,0
apache/commons-collections,813,0,0
eiiches/jackson-jq,15,0,0
VueGWT/vue-gwt,25,0,0
apache/incubator-retired-gossip,17,0,0
rubenlagus/TelegramBots,234,0,0
red6/pdfcompare,81,0,0
jmock-developers/jmock-library,62,0,0
netty/netty-incubator-codec-quic,87,0,0
hapifhir/hapi-fhir-jpaserver-starter,23,0,0
sevntu-checkstyle/sevntu.checkstyle,31,0,0
pinterest/singer,14,0,0
docbleach/DocBleach,36,0,0
Sayi/poi-tl,236,0,0
OlivierLD/raspberry-coffee,6,0,0
svendiedrichsen/jollyday,181,0,0
AlmasB/FXGL,84,0,0
jgitver/jgitver,677,0,0
aikar/commands,4,0,0
hibernate/hibernate-tools,636,0,0
karakun/OpenWebStart,102,0,0
mybatis/mybatis-dynamic-sql,901,0,0
ThreeTen/threeten-extra,1951,0,0
