repositoryName,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter:junit-jupiter-engine,both
codecentric/chaos-monkey-spring-boot,15,0,0
everitoken/evt4j,7,0,0
kobylynskyi/graphql-java-codegen,7,0,0
Kong/unirest-java,7,0,0
manoelcampos/cloudsimplus,16,0,0
verhas/License3j,5,0,0
Frameworkium/frameworkium-core,0,0,0
OWASP/SecurityShepherd,2,0,0
flapdoodle-oss/de.flapdoodle.embed.process,1,0,0
approvals/ApprovalTests.Java,35,0,0
zandero/rest.vertx,5,0,0
jelmerk/hnswlib,5,0,0
yegor256/takes,21,0,0
jhg023/SimpleNet,1,0,0
dpaukov/combinatoricslib3,1,0,0
java-operator-sdk/java-operator-sdk,6,0,0
panda-lang/panda,0,0,0
raydac/java-binary-block-parser,16,0,0
making/yavi,9,0,0
jfree/jfreesvg,2,0,0
spring-framework-guru/sfg-blog-posts,32,0,0
greenmail-mail-test/greenmail,1,0,0
mircokroon/minecraft-world-downloader,2,0,0
awsdocs/aws-lambda-developer-guide,1,0,0
samdjstevens/java-totp,6,0,0
optimatika/ojAlgo,28,0,0
eclipse/lemminx,32,0,0
fridujo/rabbitmq-mock,8,0,0
HdrHistogram/HdrHistogram,1,0,0
roskenet/springboot-javafx-support,2,0,0
Hakky54/sslcontext-kickstart,5,0,0
dnsjava/dnsjava,4,0,0
ctongfei/progressbar,1,0,0
offbynull/coroutines,6,0,0
aramrami/OWASP-CSRFGuard,4,0,0
objectify/objectify,3,0,0
Hakky54/log-captor,1,0,0
jitsi/ice4j,11,0,0
vlingo/xoom-examples,1,0,0
jfree/fxgraphics2d,1,0,0
mikera/vectorz,19,0,0
Nurtak/ObjectGraphVisualization,2,0,0
orbisgis/h2gis,33,0,0
DraqueT/PolyGlot,7,0,0
diguage/jdk-source-analysis,12,0,0
ssaring/sportstracker,7,0,0
dadoonet/spring-elasticsearch,8,0,0
eclipse-ee4j/yasson,28,0,0
mybatis/generator,29,0,0
dialex/JColor,2,0,0
julianhyde/sqlline,1,0,0
sagframe/sagacity-sqltoy,4,0,0
cloudyrock/mongock,2,0,0
pgjdbc/pgjdbc,2,0,0
confluentinc/parallel-consumer,15,0,0
yuzutech/kroki,6,0,0
microsoft/mssql-jdbc,26,0,0
redfx-quantum/strange,1,0,0
unicode-org/cldr,0,0,0
FunnyGuilds/FunnyGuilds,0,0,0
skjolber/3d-bin-container-packing,4,0,0
hyperledger/fabric-chaincode-java,8,0,0
developersu/ns-usbloader,1,0,0
unitsofmeasurement/unit-api,4,0,0
LearningByExample/reactive-ms-example,4,0,0
games647/LagMonitor,3,0,0
moquette-io/moquette,8,0,0
restfb/restfb,21,0,0
sqlite-sync/SQLite-sync.com,2,0,0
timols/java-gitlab-api,3,0,0
bytemanproject/byteman,2,0,0
apache/commons-collections,10,0,0
eiiches/jackson-jq,7,0,0
VueGWT/vue-gwt,7,0,0
apache/incubator-retired-gossip,3,0,0
rubenlagus/TelegramBots,18,0,0
red6/pdfcompare,3,0,0
jmock-developers/jmock-library,7,0,0
netty/netty-incubator-codec-quic,1,0,0
hapifhir/hapi-fhir-jpaserver-starter,1,0,0
sevntu-checkstyle/sevntu.checkstyle,1,0,0
pinterest/singer,1,0,0
docbleach/DocBleach,3,0,0
Sayi/poi-tl,14,0,0
OlivierLD/raspberry-coffee,2,0,0
svendiedrichsen/jollyday,10,0,0
AlmasB/FXGL,7,0,0
jgitver/jgitver,15,0,0
aikar/commands,1,0,0
hibernate/hibernate-tools,113,0,0
karakun/OpenWebStart,15,0,0
mybatis/mybatis-dynamic-sql,34,0,0
ThreeTen/threeten-extra,3,0,0
