repositoryName,org.openjdk.jmh:jmh-core,org.openjdk.jmh:jmh-generator-annprocess,both
uber/h3-java,5,0,0
uber/tchannel-java,3,0,0
rabbitmq/rabbitmq-perf-test,1,0,0
julianhyde/optiq,1,0,0
apache/commons-lang,1,0,0
manoelcampos/cloudsimplus,3,0,0
OpenHFT/Chronicle-Logger,1,0,0
springside/springside4,1,0,0
cglib/cglib,2,0,0
casid/jte,1,0,0
yellowstonegames/SquidLib,10,0,0
snazy/ohc,2,0,0
thomasmueller/minperf,0,0,0
davidmoten/rxjava2-extras,1,0,0
json-iterator/java,1,0,0
panda-lang/panda,5,0,0
FasterXML/jackson-modules-base,6,0,0
iotaledger/iri,7,0,0
spring-projects/spring-data-mongodb,7,0,0
raydac/java-binary-block-parser,1,0,0
housepower/ClickHouse-Native-JDBC,11,0,0
classgraph/classgraph,1,0,0
jsurfer/JsonSurfer,5,0,0
apache/commons-io,2,0,0
spotify/missinglink,1,0,0
optimatika/ojAlgo,37,0,0
casbin/jcasbin,11,0,0
HdrHistogram/HdrHistogram,2,0,0
jflex-de/jflex,1,0,0
beehive-lab/TornadoVM,22,0,0
commonmark/commonmark-java,2,0,0
openjdk/jcstress,1,0,0
yahoo/Oak,4,0,0
openjdk/jmh,667,0,0
jchambers/pushy,2,0,0
openjdk/jol,2,0,0
vlingo/xoom-examples,1,0,0
OpenHFT/Chronicle-Wire,3,0,0
HubSpot/jinjava,2,0,0
arteam/100-Java-Concurrency-questions,2,0,0
diguage/jdk-source-analysis,4,0,0
patrickfav/bcrypt,1,0,0
blynkkk/clickhouse4j,0,0,0
JCTools/JCTools,24,0,0
eclipse-ee4j/yasson,3,0,0
graalvm/graalvm-demos,1,0,0
tinylog-org/tinylog,18,0,0
paritytrading/parity,2,0,0
dCache/nfs4j,3,0,0
neo4j-contrib/neo4j-graph-algorithms,38,0,0
GlenKPeterson/Paguro,1,0,0
skjolber/3d-bin-container-packing,4,0,0
dsyer/spring-boot-startup-bench,22,0,0
lmdbjava/benchmarks,12,0,0
killme2008/aviatorscript,1,0,0
easymock/objenesis,2,0,0
pivovarit/parallel-collectors,1,0,0
crossoverJie/JCSprout,1,0,0
davidmoten/rtree,1,0,0
vladimir-bukhtoyarov/bucket4j,7,0,0
amaembo/streamex,5,0,0
opencollab/jlatexmath,1,0,0
davidmoten/geo,1,0,0
ClickHouse/clickhouse-jdbc,6,0,0
LinShunKang/MyPerf4J,6,0,0
BNYMellon/CodeKatas,2,0,0
FastFilter/fastfilter_java,5,0,0
spotify/sparkey-java,5,0,0
paritytrading/philadelphia,7,0,0
ObjectLayout/ObjectLayout,2,0,0
brettwooldridge/HikariCP-benchmark,3,0,0
davidmoten/rxjava-jdbc,1,0,0
spotify/netty-zmtp,1,0,0
tdunning/t-digest,6,0,0
modelmapper/modelmapper,2,0,0
dhatim/fastexcel,0,0,0
spotify/completable-futures,1,0,0
vmware-archive/xenon,5,0,0
OpenHFT/Chronicle-Network,2,0,0
