repositoryName,org.openjdk.jmh:jmh-core,org.openjdk.jmh:jmh-generator-annprocess,both
uber/h3-java,28,0,0
uber/tchannel-java,15,0,0
rabbitmq/rabbitmq-perf-test,3,0,0
julianhyde/optiq,5,0,0
apache/commons-lang,5,0,0
manoelcampos/cloudsimplus,14,0,0
OpenHFT/Chronicle-Logger,7,0,0
springside/springside4,5,0,0
cglib/cglib,10,0,0
casid/jte,4,0,0
yellowstonegames/SquidLib,256,0,0
snazy/ohc,14,0,0
thomasmueller/minperf,0,0,0
davidmoten/rxjava2-extras,11,0,0
json-iterator/java,5,0,0
panda-lang/panda,14,0,0
FasterXML/jackson-modules-base,20,0,0
iotaledger/iri,20,0,0
spring-projects/spring-data-mongodb,33,0,0
raydac/java-binary-block-parser,3,0,0
housepower/ClickHouse-Native-JDBC,21,0,0
classgraph/classgraph,7,0,0
jsurfer/JsonSurfer,38,0,0
apache/commons-io,14,0,0
spotify/missinglink,5,0,0
optimatika/ojAlgo,180,0,0
casbin/jcasbin,33,0,0
HdrHistogram/HdrHistogram,16,0,0
jflex-de/jflex,5,0,0
beehive-lab/TornadoVM,88,0,0
commonmark/commonmark-java,11,0,0
openjdk/jcstress,4,0,0
yahoo/Oak,19,0,0
openjdk/jmh,2307,0,0
jchambers/pushy,7,0,0
openjdk/jol,10,0,0
vlingo/xoom-examples,4,0,0
OpenHFT/Chronicle-Wire,7,0,0
HubSpot/jinjava,8,0,0
arteam/100-Java-Concurrency-questions,8,0,0
diguage/jdk-source-analysis,23,0,0
patrickfav/bcrypt,4,0,0
blynkkk/clickhouse4j,0,0,0
JCTools/JCTools,163,0,0
eclipse-ee4j/yasson,11,0,0
graalvm/graalvm-demos,2,0,0
tinylog-org/tinylog,48,0,0
paritytrading/parity,11,0,0
dCache/nfs4j,6,0,0
neo4j-contrib/neo4j-graph-algorithms,193,0,0
GlenKPeterson/Paguro,176,0,0
skjolber/3d-bin-container-packing,20,0,0
dsyer/spring-boot-startup-bench,78,0,0
lmdbjava/benchmarks,71,0,0
killme2008/aviatorscript,15,0,0
easymock/objenesis,17,0,0
pivovarit/parallel-collectors,6,0,0
crossoverJie/JCSprout,5,0,0
davidmoten/rtree,49,0,0
vladimir-bukhtoyarov/bucket4j,18,0,0
amaembo/streamex,31,0,0
opencollab/jlatexmath,2,0,0
davidmoten/geo,3,0,0
ClickHouse/clickhouse-jdbc,15,0,0
LinShunKang/MyPerf4J,26,0,0
BNYMellon/CodeKatas,44,0,0
FastFilter/fastfilter_java,10,0,0
spotify/sparkey-java,23,0,0
paritytrading/philadelphia,41,0,0
ObjectLayout/ObjectLayout,20,0,0
brettwooldridge/HikariCP-benchmark,7,0,0
davidmoten/rxjava-jdbc,3,0,0
spotify/netty-zmtp,9,0,0
tdunning/t-digest,24,0,0
modelmapper/modelmapper,4,0,0
dhatim/fastexcel,0,0,0
spotify/completable-futures,6,0,0
vmware-archive/xenon,20,0,0
OpenHFT/Chronicle-Network,2,0,0
