repositoryName,org.springframework:spring-beans,org.springframework:spring-core,both
intive-FDV/DynamicJasper,0,0,0
nurkiewicz/spring-data-jdbc-repository,4,3,1
yandex-qatools/postgresql-embedded,1,0,0
crossoverJie/distributed-redis-tool,3,0,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,34,0,0
151376liujie/wechat-core,9,0,0
xiaolyuh/layering-cache,18,36,0
Tanaguru/Contrast-Finder,1,0,0
mrniko/netty-socketio,3,1,1
owlike/genson,0,5,0
stevensouza/automon,6,0,0
Kepler-Framework/Kepler-All,24,34,4
Cetsoft/imcache,4,0,0
tyronczt/imooc-o2o,31,0,0
dadoonet/spring-elasticsearch,10,3,0
sagframe/sagacity-sqltoy,14,1,1
apache/velocity-engine,2,13,1
iipc/openwayback,6,1,1
thymeleaf/thymeleafexamples-stsm,6,0,0
LuoLiangDSGA/spring-learning,23,12,0
ragnor/simple-spring-memcached,30,15,0
zhegexiaohuozi/SeimiCrawler,10,12,3
fmtn/a,1,0,0
xuxueli/xxl-rpc,11,3,1
Comcast/jrugged,33,12,0
ryantenney/metrics-spring,55,37,10
spring-projects/spring-hateoas,61,527,19
