repositoryName,org.springframework:spring-beans,org.springframework:spring-core,both
intive-FDV/DynamicJasper,0,0,0
nurkiewicz/spring-data-jdbc-repository,1,2,1
yandex-qatools/postgresql-embedded,1,0,0
crossoverJie/distributed-redis-tool,1,0,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,7,0,0
151376liujie/wechat-core,4,0,0
xiaolyuh/layering-cache,12,11,3
Tanaguru/Contrast-Finder,1,0,0
mrniko/netty-socketio,1,1,1
owlike/genson,0,2,0
stevensouza/automon,3,0,0
Kepler-Framework/Kepler-All,11,22,8
Cetsoft/imcache,2,0,0
tyronczt/imooc-o2o,8,0,0
dadoonet/spring-elasticsearch,5,2,1
sagframe/sagacity-sqltoy,9,1,1
apache/velocity-engine,2,2,2
iipc/openwayback,5,1,1
thymeleaf/thymeleafexamples-stsm,4,0,0
LuoLiangDSGA/spring-learning,17,7,2
ragnor/simple-spring-memcached,10,7,4
zhegexiaohuozi/SeimiCrawler,5,6,3
fmtn/a,1,0,0
xuxueli/xxl-rpc,8,2,2
Comcast/jrugged,4,2,2
ryantenney/metrics-spring,5,4,4
spring-projects/spring-hateoas,10,18,10
