repositoryName,org.springframework:spring-context,org.springframework:spring-core,both
RojerAlone/shop,36,1,0
nurkiewicz/spring-data-jdbc-repository,38,3,0
alibaba/COLA,59,8,1
yandex-qatools/postgresql-embedded,0,0,0
crossoverJie/distributed-redis-tool,2,0,0
OWASP/SecurityShepherd,0,0,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,57,0,0
151376liujie/wechat-core,25,0,0
xiaolyuh/layering-cache,55,36,2
funkygao/cp-ddd-framework,54,4,1
Tanaguru/Contrast-Finder,9,0,0
raphaeljolivet/java2typescript,8,0,0
dddplus/dddplus,54,4,1
owlike/genson,0,5,0
pure4j/pure4j,0,17,0
stevensouza/automon,9,0,0
Kepler-Framework/Kepler-All,14,34,2
Dempsy/dempsy,27,0,0
Cetsoft/imcache,12,0,0
tyronczt/imooc-o2o,21,0,0
dadoonet/spring-elasticsearch,46,3,0
sagframe/sagacity-sqltoy,25,1,1
apache/velocity-engine,1,13,0
apache/rocketmq-spring,35,23,7
dropwizard-jobs/dropwizard-jobs,8,0,0
iipc/openwayback,7,1,0
thymeleaf/thymeleafexamples-stsm,21,0,0
ccfish86/sctalk,79,33,4
LuoLiangDSGA/spring-learning,79,12,1
ragnor/simple-spring-memcached,61,15,2
zhegexiaohuozi/SeimiCrawler,13,12,3
fmtn/a,0,0,0
xuxueli/xxl-rpc,19,3,0
nginx-clojure/nginx-clojure,11,0,0
Comcast/jrugged,101,12,0
nacos-group/nacos-spring-project,105,87,21
spring-projects/spring-hateoas,151,527,27
highcharts/highcharts-export-server,5,1,0
cache2k/cache2k,17,2,1
mercyblitz/segmentfault-lessons,105,20,3
pjklauser/protobuf-rpc-pro,0,0,0
