repositoryName,org.springframework:spring-context,org.springframework:spring-core,both
RojerAlone/shop,8,1,1
nurkiewicz/spring-data-jdbc-repository,10,2,1
alibaba/COLA,16,3,2
yandex-qatools/postgresql-embedded,0,0,0
crossoverJie/distributed-redis-tool,1,0,0
OWASP/SecurityShepherd,0,0,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,13,0,0
151376liujie/wechat-core,5,0,0
xiaolyuh/layering-cache,14,11,5
funkygao/cp-ddd-framework,6,2,2
Tanaguru/Contrast-Finder,2,0,0
raphaeljolivet/java2typescript,2,0,0
dddplus/dddplus,6,2,2
owlike/genson,0,2,0
pure4j/pure4j,0,3,0
stevensouza/automon,3,0,0
Kepler-Framework/Kepler-All,5,22,4
Dempsy/dempsy,2,0,0
Cetsoft/imcache,2,0,0
tyronczt/imooc-o2o,5,0,0
dadoonet/spring-elasticsearch,23,2,1
sagframe/sagacity-sqltoy,9,1,1
apache/velocity-engine,1,2,1
apache/rocketmq-spring,4,4,3
dropwizard-jobs/dropwizard-jobs,1,0,0
iipc/openwayback,2,1,0
thymeleaf/thymeleafexamples-stsm,6,0,0
ccfish86/sctalk,22,7,4
LuoLiangDSGA/spring-learning,41,7,5
ragnor/simple-spring-memcached,8,7,4
zhegexiaohuozi/SeimiCrawler,4,6,3
fmtn/a,0,0,0
xuxueli/xxl-rpc,9,2,1
nginx-clojure/nginx-clojure,2,0,0
Comcast/jrugged,3,2,2
nacos-group/nacos-spring-project,18,15,11
spring-projects/spring-hateoas,14,18,14
highcharts/highcharts-export-server,4,1,1
cache2k/cache2k,1,1,1
mercyblitz/segmentfault-lessons,56,12,6
pjklauser/protobuf-rpc-pro,0,0,0
