repositoryName,org.springframework:spring-web,org.springframework:spring-webmvc,both
RojerAlone/shop,62,6,0
aliyun/alibabacloud-microservice-demo,119,14,14
crossoverJie/distributed-redis-tool,2,3,1
151376liujie/wechat-core,3,0,0
Tanaguru/Contrast-Finder,3,0,0
AzureAD/azure-activedirectory-library-for-java,0,0,0
sd4324530/fastweixin,4,0,0
binarywang/weixin-java-mp-demo-springmvc,10,0,0
owlike/genson,9,3,3
archine/tools,9,1,1
thymeleaf/thymeleaf-spring,45,148,9
tyronczt/imooc-o2o,85,2,0
OCR4all/OCR4all,115,14,14
senseidb/zoie,0,0,0
intuit/foremast,16,13,5
openzipkin/brave-example,5,6,2
3pillarlabs/socialauth,18,9,7
cloudinary/cloudinary_java,10,0,0
dandelion/dandelion-datatables,12,3,0
iipc/openwayback,7,0,0
thymeleaf/thymeleafexamples-stsm,9,4,0
CeON/CERMINE,13,3,3
youzan/bugCatcher,46,2,2
anji-plus/captcha,10,0,0
Wechat-Group/weixin-java-demo-springmvc,13,0,0
AliwareMQ/aliware-kafka-demos,0,0,0
spring-projects/spring-hateoas,514,26,25
highcharts/highcharts-export-server,15,9,8
dunwu/java-tutorial,5,6,2
