packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.dependencytrack.model,Project,setAccessTeams,us.springett:alpine,null,null,3,3,1.0
org.dependencytrack.policy,CpePolicyEvaluator,"",us.springett:alpine,null,null,3,3,1.0
org.dependencytrack.resources.v1,PolicyResource,"",us.springett:alpine,null,null,1,1,1.0
org.dependencytrack.search,VulnerableSoftwareIndexer,"",us.springett:alpine,null,null,3,3,1.0
org.dependencytrack.event,NistMirrorEvent,"",us.springett:alpine,null,null,1,1,1.0
org.dependencytrack.model,PolicyCondition,"",us.springett:alpine,null,null,6,6,1.0
org.dependencytrack.model,Project,addAccessTeam,us.springett:alpine,null,null,5,5,1.0
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,deleteMappingShouldIndicateNotFoundWhenGroupDoesNotExist,us.springett:alpine,null,null,4,4,1.0
org.dependencytrack.resources.v1,SearchResource,projectSearch,us.springett:alpine,null,null,1,1,1.0
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getVulnerabilitiesByComponentUuidIncludeSuppressedTest,us.springett:alpine,null,null,3,3,1.0
org.dependencytrack.model,RepositoryTypeTest,testResolveHex,com.github.package-url:packageurl-java,null,null,3,3,1.0
org.dependencytrack.resources.v1,RepositoryResourceTest,getRepositoryMetaComponentInvalidPurlTest,us.springett:alpine,null,null,1,1,1.0
org.dependencytrack.resources.v1,ServiceResource,"",us.springett:alpine,null,null,1,1,1.0
org.dependencytrack.persistence,PolicyQueryManager,addPolicyViolationIfNotExist,us.springett:alpine,null,null,1,1,1.0
org.dependencytrack.persistence,QueryManager,getComponents,us.springett:alpine,null,null,5,5,1.0
org.dependencytrack.resources.v1,AccessControlResource,retrieveProjects,us.springett:alpine,null,null,12,12,1.0
org.dependencytrack.resources.v1,LicenseGroupResource,updateLicenseGroup,us.springett:alpine,null,null,4,4,1.0
org.dependencytrack.resources.v1,TeamResourceTest,deleteApiKeyTest,us.springett:alpine,null,null,7,7,1.0
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,analyze,com.konghq:unirest-java,null,null,30,33,0.91
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,analyze,com.github.package-url:packageurl-java,null,null,1,33,0.03
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,analyze,us.springett:alpine,null,null,2,33,0.06
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,deleteGroupShouldDeleteGroupAndIndicateNoContent,us.springett:alpine,null,null,8,8,1.0
org.dependencytrack.tasks.scanners,InternalAnalysisTask,analyze,us.springett:alpine,null,null,1,1,1.0
org.dependencytrack,ResourceTest,before,us.springett:alpine,null,null,13,13,1.0
org.dependencytrack.resources.v1,ServiceResource,createService,us.springett:alpine,null,null,5,5,1.0
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertyNumberTest,us.springett:alpine,null,null,12,12,1.0
org.dependencytrack.resources.v1,LicenseResource,"",us.springett:alpine,null,null,1,1,1.0
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,updateManagedUserInvalidEmailTest,us.springett:alpine,null,null,12,12,1.0
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,inform,us.springett:alpine,null,null,27,27,1.0
org.dependencytrack.parser.nvd,NvdParser,generateVulnerableSoftware,us.springett:alpine,null,null,2,4,0.5
org.dependencytrack.parser.nvd,NvdParser,generateVulnerableSoftware,us.springett:cpe-parser,null,null,2,4,0.5
org.dependencytrack.persistence,MetricsQueryManager,"",us.springett:alpine,null,null,2,2,1.0
org.dependencytrack.policy,CoordinatesPolicyEvaluator,versionMatches,us.springett:alpine,null,null,2,2,1.0
org.dependencytrack.search,VulnerableSoftwareIndexer,remove,us.springett:alpine,null,null,12,14,0.86
org.dependencytrack.search,VulnerableSoftwareIndexer,remove,org.apache.lucene:lucene-core,null,null,2,14,0.14
org.dependencytrack.integrations,FindingUploaderTest,testIsEnabled_False,org.mockito:mockito-core,null,null,3,3,1.0
