packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.stratio.cassandra.lucene.builder,BuilderTest,testPhraseConditionDefaults,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.common,GeoTransformationBBoxTest,testBoundingBoxTransformationPoint,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.analysis,SnowballAnalyzerBuilderTest,testBuildFrench,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,BigIntegerMapperTest,testJsonSerializationDefaults,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,FloatMapperTest,testValueString,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.schema.mapping,UUIDMapperTest,testSort,org.apache.cassandra:cassandra-all,null,null,7,9,0.78
com.stratio.cassandra.lucene.schema.mapping,UUIDMapperTest,testSort,junit:junit,null,null,2,9,0.22
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testQueryContains,org.apache.lucene:lucene-core,null,null,5,10,0.5
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testQueryContains,org.apache.lucene:lucene-spatial,null,null,1,10,0.1
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testQueryContains,junit:junit,null,null,4,10,0.4
com.stratio.cassandra.lucene.testsAT.issues,Issue132IT,testUpdateMapRemovingUniqueComponentWide,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,5,6,0.83
com.stratio.cassandra.lucene.testsAT.issues,Issue132IT,testUpdateMapRemovingUniqueComponentWide,junit:junit,null,null,1,6,0.17
com.stratio.cassandra.lucene.testsAT.issues,Issue69IT,testUDF,junit:junit,null,null,3,5,0.6
com.stratio.cassandra.lucene.testsAT.issues,Issue69IT,testUDF,com.datastax.cassandra:cassandra-driver-core,null,null,2,5,0.4
com.stratio.cassandra.lucene.testsAT.search,RangeSearchIT,testRangeTimeUUIDField4,junit:junit,null,null,1,6,0.17
com.stratio.cassandra.lucene.testsAT.search,RangeSearchIT,testRangeTimeUUIDField4,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,5,6,0.83
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,testRegexpListField3,junit:junit,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,testRegexpListField3,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,BlobMapperValidTypesIndexCreationIT,test,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,BlobMapperValidTypesIndexCreationIT,test,junit:junit,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.udt,CheckNonFrozenUDTIT,testNotFrozenUDTSet,junit:junit,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.udt,CheckNonFrozenUDTIT,testNotFrozenUDTSet,com.datastax.cassandra:cassandra-driver-core,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.util,CassandraConfig,"",com.datastax.cassandra:cassandra-driver-core,null,null,3,5,0.6
com.stratio.cassandra.lucene.testsAT.util,CassandraConfig,"",com.stratio.cassandra:cassandra-lucene-index-builder,null,null,2,5,0.4
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsBuilder,withPartitioner,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,3,3,1.0
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsDelete,where,com.datastax.cassandra:cassandra-driver-core,null,null,4,4,1.0
com.stratio.cassandra.lucene.schema.mapping,BigIntegerMapperTest,testValueBigIntegerMinPositive,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.schema.mapping,BlobMapperTest,testJsonSerializationDefaults,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,testJsonSerialization,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,testValueNull,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,GeoPointMapperTest,testGetLongitudeWithTooBigShortColumnValue,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,LongMapperTest,testValueStringInvalid,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,TextMapperTest,testToString,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.search,SearchBuildersTest,testPrefix,junit:junit,null,null,4,4,1.0
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testConstructorWithDefaults,junit:junit,null,null,4,4,1.0
com.stratio.cassandra.lucene.search.condition,RangeConditionTest,testFloatClose,org.apache.lucene:lucene-core,null,null,17,25,0.68
com.stratio.cassandra.lucene.search.condition,RangeConditionTest,testFloatClose,junit:junit,null,null,8,25,0.32
com.stratio.cassandra.lucene.testsAT.search,FuzzySearchIT,testFuzzyListField2,junit:junit,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.search,FuzzySearchIT,testFuzzyListField2,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,testMatchDecimalField2,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,testMatchDecimalField2,junit:junit,null,null,1,2,0.5
com.stratio.cassandra.lucene.testsAT.search,MatchSearchWithDocValuesIT,testMatchVarchar4,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,testRangeDoubleField5,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,4,5,0.8
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,testRangeDoubleField5,junit:junit,null,null,1,5,0.2
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsSelect,search,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,3,3,1.0
com.stratio.cassandra.lucene.testsAT.varia,StatelessSearchWithWideRowsIT,"",junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.builder,BuilderTest,testDateRangeConditionDefaults,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.builder,BuilderTest,testIndexFull,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.builder,BuilderTest,testPrefixConditionDefaults,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.builder,BuilderTest,testRegexpConditionFull,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.schema.mapping,BigDecimalMapperTest,testValueIntegerNegativePositiveSort,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.schema.mapping,BigDecimalMapperTest,testValueNegativePositiveSort,junit:junit,null,null,2,2,1.0
com.stratio.cassandra.lucene.schema.mapping,BlobMapperTest,testConstructorWithoutArgs,junit:junit,null,null,5,5,1.0
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,testJsonSerializationDefaults,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.search.condition,GeoBBoxConditionTest,testBuildNullMinLongitude,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.testsAT.geospatial,GeoBBoxSearchIT,testGeoBBoxSearchBasicSuccess,junit:junit,null,null,1,8,0.13
com.stratio.cassandra.lucene.testsAT.geospatial,GeoBBoxSearchIT,testGeoBBoxSearchBasicSuccess,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,7,8,0.88
com.stratio.cassandra.lucene.testsAT.indexes,ComposedKeyIndexHandlingIT,testRecreateIndexAfterInsertions,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,2,3,0.67
com.stratio.cassandra.lucene.testsAT.indexes,ComposedKeyIndexHandlingIT,testRecreateIndexAfterInsertions,junit:junit,null,null,1,3,0.33
com.stratio.cassandra.lucene.testsAT.search,MatchSearchWithDocValuesIT,testMatchDouble3,junit:junit,null,null,1,1,1.0
