packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
null,PageRankTest,soEqual,net.sf.jung:jung-graph-impl,null,null,1,6,0.17
null,PageRankTest,soEqual,junit:junit,null,null,5,6,0.83
org.aksw.agdistis.algorithm,NEDAlgo_HITS,run,net.sf.jung:jung-graph-impl,null,null,12,26,0.46
org.aksw.agdistis.algorithm,NEDAlgo_HITS,run,org.slf4j:slf4j-api,null,null,14,26,0.54
org.aksw.agdistis.algorithm,CandidateUtil,setIndex,org.slf4j:slf4j-api,null,null,2,2,1.0
null,PageRankTest,soEqualByRandomWalker,net.sf.jung:jung-graph-impl,null,null,1,6,0.17
null,PageRankTest,soEqualByRandomWalker,junit:junit,null,null,5,6,0.83
org.aksw.agdistis.util,TripleIndexCreator,main,org.slf4j:slf4j-api,null,null,14,14,1.0
null,TripleIndexCreatorTest,close,org.slf4j:slf4j-api,null,null,2,3,0.67
null,TripleIndexCreatorTest,close,junit:junit,null,null,1,3,0.33
org.aksw.agdistis.util,NIFParser,createTextWithMentions,org.slf4j:slf4j-api,null,null,1,1,1.0
org.aksw.agdistis.util,TripleIndex,close,org.apache.lucene:lucene-core,null,null,4,4,1.0
org.aksw.agdistis.util,TripleIndexContext,close,org.apache.lucene:lucene-core,null,null,4,4,1.0
org.aksw.agdistis.webapp,GetDisambiguation,NIFGerbil,org.slf4j:slf4j-api,null,null,7,7,1.0
org.aksw.agdistis.util,TripleIndexCreatorContext,"",org.apache.lucene:lucene-core,null,null,18,21,0.86
org.aksw.agdistis.util,TripleIndexCreatorContext,"",org.slf4j:slf4j-api,null,null,3,21,0.14
null,TripleIndexTest,testSurfaceForm,org.slf4j:slf4j-api,null,null,2,4,0.5
null,TripleIndexTest,testSurfaceForm,junit:junit,null,null,2,4,0.5
null,TripleIndexCreatorTest,init,org.slf4j:slf4j-api,null,null,2,3,0.67
null,TripleIndexCreatorTest,init,junit:junit,null,null,1,3,0.33
org.aksw.agdistis.webapp,GetDisambiguation,standardAG,com.googlecode.json-simple:json-simple,null,null,14,18,0.78
org.aksw.agdistis.webapp,GetDisambiguation,standardAG,org.slf4j:slf4j-api,null,null,4,18,0.22
null,TripleIndexTest,testDisambiguation,org.slf4j:slf4j-api,null,null,2,4,0.5
null,TripleIndexTest,testDisambiguation,junit:junit,null,null,2,4,0.5
org.aksw.agdistis.util,Stemming,"",edu.stanford.nlp:stanford-corenlp,null,null,3,3,1.0
null,TripleIndexTest,testSurfaceFormsDistance,junit:junit,null,null,2,12,0.17
null,TripleIndexTest,testSurfaceFormsDistance,org.slf4j:slf4j-api,null,null,4,12,0.33
null,TripleIndexTest,testSurfaceFormsDistance,org.apache.lucene:lucene-spellchecker,null,null,6,12,0.5
org.aksw.agdistis.util,TripleIndexContext,getIreader,org.apache.lucene:lucene-core,null,null,2,2,1.0
org.aksw.agdistis.webapp,GetDisambiguation,candidateType,org.slf4j:slf4j-api,null,null,4,16,0.25
org.aksw.agdistis.webapp,GetDisambiguation,candidateType,com.googlecode.json-simple:json-simple,null,null,12,16,0.75
null,PageRankTest,oneGetsMost,net.sf.jung:jung-graph-impl,null,null,1,2,0.5
null,PageRankTest,oneGetsMost,junit:junit,null,null,1,2,0.5
org.aksw.agdistis.util,TripleIndexCreatorContext,close,org.apache.lucene:lucene-core,null,null,9,9,1.0
org.aksw.agdistis.webapp,GetDisambiguation,textToDocument,org.slf4j:slf4j-api,null,null,2,2,1.0
org.aksw.agdistis.util,TripleIndexContext,getFromIndex,org.slf4j:slf4j-api,null,null,4,22,0.18
org.aksw.agdistis.util,TripleIndexContext,getFromIndex,org.apache.lucene:lucene-core,null,null,18,22,0.82
org.aksw.agdistis.util,TripleIndexContext,"",org.slf4j:slf4j-api,null,null,5,29,0.17
org.aksw.agdistis.util,TripleIndexContext,"",org.apache.lucene:lucene-core,null,null,17,29,0.59
org.aksw.agdistis.util,TripleIndexContext,"",com.google.guava:guava,null,null,6,29,0.21
org.aksw.agdistis.util,TripleIndexContext,"",commons-validator:commons-validator,null,null,1,29,0.03
null,AGDISTISTest,testMinimalExample,junit:junit,null,null,2,2,1.0
null,TripleIndexTest,init,org.slf4j:slf4j-api,null,null,2,3,0.67
null,TripleIndexTest,init,junit:junit,null,null,1,3,0.33
org.aksw.agdistis.util,TripleIndexCreator,"",org.slf4j:slf4j-api,null,null,3,12,0.25
org.aksw.agdistis.util,TripleIndexCreator,"",org.apache.lucene:lucene-core,null,null,9,12,0.75
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,org.slf4j:slf4j-api,null,null,30,46,0.65
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,org.apache.lucene:lucene-spellchecker,null,null,8,46,0.17
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,net.sf.jung:jung-graph-impl,null,null,8,46,0.17
org.aksw.agdistis.util,TripleIndex,getIreader,org.apache.lucene:lucene-core,null,null,2,2,1.0
org.aksw.agdistis.util,TripleIndex,"",org.apache.commons:commons-lang3,null,null,2,33,0.06
org.aksw.agdistis.util,TripleIndex,"",org.apache.lucene:lucene-core,null,null,17,33,0.52
org.aksw.agdistis.util,TripleIndex,"",org.slf4j:slf4j-api,null,null,5,33,0.15
org.aksw.agdistis.util,TripleIndex,"",commons-validator:commons-validator,null,null,3,33,0.09
org.aksw.agdistis.util,TripleIndex,"",com.google.guava:guava,null,null,6,33,0.18
org.aksw.agdistis.util,TripleIndexContext,search,org.apache.lucene:lucene-queryparser,null,null,11,56,0.2
org.aksw.agdistis.util,TripleIndexContext,search,com.google.guava:guava,null,null,4,56,0.07
org.aksw.agdistis.util,TripleIndexContext,search,org.slf4j:slf4j-api,null,null,4,56,0.07
org.aksw.agdistis.util,TripleIndexContext,search,org.apache.lucene:lucene-core,null,null,37,56,0.66
org.aksw.agdistis.util,Stemming,stemming,com.github.haifengl:smile-nlp,null,null,3,21,0.14
org.aksw.agdistis.util,Stemming,stemming,edu.stanford.nlp:stanford-corenlp,null,null,18,21,0.86
org.aksw.agdistis.util,NIFParser,"",org.slf4j:slf4j-api,null,null,3,5,0.6
org.aksw.agdistis.util,NIFParser,"",com.googlecode.json-simple:json-simple,null,null,2,5,0.4
org.aksw.agdistis.util,LiteralAnalyzer,createComponents,org.apache.lucene:lucene-analyzers-common,null,null,2,8,0.25
org.aksw.agdistis.util,LiteralAnalyzer,createComponents,org.apache.lucene:lucene-core,null,null,6,8,0.75
org.aksw.agdistis.webapp,GetDisambiguation,NIFType,org.slf4j:slf4j-api,null,null,4,4,1.0
org.aksw.agdistis.util,TripleIndexCreator,createIndex,org.slf4j:slf4j-api,null,null,2,41,0.05
org.aksw.agdistis.util,TripleIndexCreator,createIndex,org.apache.lucene:lucene-analyzers-common,null,null,4,41,0.1
org.aksw.agdistis.util,TripleIndexCreator,createIndex,org.apache.lucene:lucene-core,null,null,35,41,0.85
org.aksw.agdistis.algorithm,CandidateUtil,"",org.apache.lucene:lucene-spellchecker,null,null,3,6,0.5
org.aksw.agdistis.algorithm,CandidateUtil,"",org.slf4j:slf4j-api,null,null,3,6,0.5
org.aksw.agdistis.util,TripleIndexCreatorContext,indexTTLFile,org.slf4j:slf4j-api,null,null,4,5,0.8
org.aksw.agdistis.util,TripleIndexCreatorContext,indexTTLFile,org.openrdf.sesame:sesame-rio-turtle,null,null,1,5,0.2
null,TripleIndexCreatorTest,testMinimalOntologyExample,junit:junit,null,null,1,3,0.33
null,TripleIndexCreatorTest,testMinimalOntologyExample,com.google.guava:guava,null,null,2,3,0.67
org.aksw.agdistis.util,LiteralAnalyzer,"",org.apache.lucene:lucene-core,null,null,5,5,1.0
null,HitsTest,testSimpleHITS,net.sf.jung:jung-graph-impl,null,null,1,2,0.5
null,HitsTest,testSimpleHITS,junit:junit,null,null,1,2,0.5
null,AGDISTISTest,testUmlaute,junit:junit,null,null,2,2,1.0
null,TripleIndexTest,testMultipleTermsPerField,org.slf4j:slf4j-api,null,null,2,4,0.5
null,TripleIndexTest,testMultipleTermsPerField,junit:junit,null,null,2,4,0.5
org.aksw.agdistis.util,TripleIndex,setIndex,org.apache.lucene:lucene-core,null,null,9,9,1.0
org.aksw.agdistis.algorithm,CandidateUtil,insertCandidatesIntoText,net.sf.jung:jung-graph-impl,null,null,4,10,0.4
org.aksw.agdistis.algorithm,CandidateUtil,insertCandidatesIntoText,org.slf4j:slf4j-api,null,null,6,10,0.6
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,org.apache.lucene:lucene-analyzers-common,null,null,4,35,0.11
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,org.slf4j:slf4j-api,null,null,2,35,0.06
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,org.apache.lucene:lucene-core,null,null,29,35,0.83
org.aksw.agdistis.util,TripleIndexCreator,close,org.apache.lucene:lucene-core,null,null,6,6,1.0
org.aksw.agdistis.util,TripleIndexCreatorContext,search,org.slf4j:slf4j-api,null,null,4,16,0.25
