packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWord,com.carrotsearch:hppc,null,null,3,3,1.0
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,requestWordPositionsInDocuments,com.carrotsearch:hppc,null,null,21,21,1.0
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.calculations.indirect,VectorCreationTest,test,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,org.slf4j:slf4j-api,null,null,2,23,0.09
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,org.apache.lucene:lucene-core,null,null,21,23,0.91
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,requestWordPositionsInDocuments,com.carrotsearch:hppc,null,null,21,21,1.0
org.aksw.palmetto.subsets,AnyAnyTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.webapp,PalmettoApplication,cvService,org.slf4j:slf4j-api,null,null,2,2,1.0
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,"",org.apache.lucene:lucene-analyzers-common,null,null,11,17,0.65
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,"",org.apache.lucene:lucene-core,null,null,6,17,0.35
org.aksw.palmetto.subsets,AllAll,getSubsetDefinition,com.carrotsearch:hppc,null,null,5,5,1.0
org.aksw.palmetto.vector,FitelsonCalculationBasedCreatorTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.subsets,AllOne,getSubsetDefinition,com.carrotsearch:hppc,null,null,7,7,1.0
org.aksw.palmetto.calculations.direct,LogCondProbCoherenceCalculationTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,com.carrotsearch:hppc,null,null,1,8,0.13
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,org.slf4j:slf4j-api,null,null,2,8,0.25
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,junit:junit,null,null,5,8,0.63
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.evaluate.correlation,SpearmanTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.weight,ConditionalProbabilityBasedWeighterTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,determineCounts,com.google.guava:guava,null,null,4,4,1.0
org.aksw.palmetto.subsets,OneAll,getSubsetDefinition,com.carrotsearch:hppc,null,null,7,7,1.0
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,test,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.vector,DifferenceCalculationBasedCreatorTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.calculations.indirect,VectorCreationTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,org.slf4j:slf4j-api,null,null,2,50,0.04
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,org.apache.lucene:lucene-core,null,null,23,50,0.46
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,com.carrotsearch:hppc,null,null,25,50,0.5
org.aksw.palmetto.data,SegmentationDefinition,hashCode,com.carrotsearch:hppc,null,null,3,3,1.0
org.aksw.palmetto.calculations.indirect,CentroidBasedCoherenceTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.data,SegmentationDefinition,getNeededCounts,com.carrotsearch:hppc,null,null,2,2,1.0
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWordsAsSet,com.carrotsearch:hppc,null,null,12,12,1.0
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,"",com.google.guava:guava,null,null,6,6,1.0
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,test,com.carrotsearch:hppc,null,null,13,19,0.68
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,test,junit:junit,null,null,5,19,0.26
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,test,org.apache.lucene:lucene-core,null,null,1,19,0.05
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,createBitSets,com.carrotsearch:hppc,null,null,35,35,1.0
org.aksw.palmetto.subsets,OneAnyTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.webapp.config,RootConfig,createCVCoherence,commons-configuration:commons-configuration,null,null,1,3,0.33
org.aksw.palmetto.webapp.config,RootConfig,createCVCoherence,org.slf4j:slf4j-api,null,null,2,3,0.67
org.aksw.palmetto.vector,LogRatioCalculationBasedCreatorTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.webapp.config,PalmettoConfiguration,getInstance,commons-configuration:commons-configuration,null,null,5,5,1.0
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,create,org.apache.lucene:lucene-core,null,null,21,21,1.0
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,data,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.vector,JaccardCalculationBasedCreatorTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWord,org.slf4j:slf4j-api,null,null,2,20,0.1
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWord,org.apache.lucene:lucene-core,null,null,15,20,0.75
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWord,com.carrotsearch:hppc,null,null,3,20,0.15
org.aksw.palmetto.webapp,DfClient,testUnderscore,junit:junit,null,null,17,17,1.0
org.aksw.palmetto.webapp.config,RootConfig,createNPMICoherence,org.slf4j:slf4j-api,null,null,2,3,0.67
org.aksw.palmetto.webapp.config,RootConfig,createNPMICoherence,commons-configuration:commons-configuration,null,null,1,3,0.33
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighterTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,"",junit:junit,null,null,2,2,1.0
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,"",junit:junit,null,null,2,2,1.0
