packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByGroups,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDateForHighNeighborhoodRange,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForAList,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDifferentVariance,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,org.mockito:mockito-all,null,null,1,7,0.14
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,junit:junit,null,null,6,7,0.86
com.intuit.fuzzymatcher.domain,Document,getUnmatchedChildCount,org.apache.commons:commons-collections4,null,null,2,2,1.0
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialWeightedScoring_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypesWithNonMatch,junit:junit,null,null,5,5,1.0
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldPreprocessAddress,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordTokenizerForName_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDate,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordSoundexEncodeTokenizerForAddress,junit:junit,null,null,11,11,1.0
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldNotMatch,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForSingleDoc,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,org.mockito:mockito-all,null,null,1,5,0.2
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,junit:junit,null,null,4,5,0.8
com.intuit.fuzzymatcher.function,TokenizerFunction,wordSoundexEncodeTokenizer,commons-codec:commons-codec,null,null,2,2,1.0
com.intuit.fuzzymatcher.component,MatchServicePerfTest,itShouldApplyMatchForBigDataForMemoryPerf,junit:junit,null,null,1,1,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithAge,junit:junit,null,null,9,9,1.0
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialScoring_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.domain,ElementTest,itShouldSetTokenizerFunction,junit:junit,null,null,7,7,1.0
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldApplyNumberPreprocessing_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldReturnNGramTokenForSmallStrings_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDoubleType,junit:junit,null,null,5,5,1.0
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldMatchElementsWithRepeatingTokens,junit:junit,null,null,11,11,1.0
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveWeightedAverageScore_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.domain,ElementTest,itShouldMatchUnequalWordsWithChainTokenizerFunction2,junit:junit,null,null,7,7,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForDuplicateTokensWithNoMatch,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,writeOutput,com.opencsv:opencsv,null,null,20,22,0.91
com.intuit.fuzzymatcher.component,MatchServiceTest,writeOutput,org.slf4j:slf4j-api,null,null,2,22,0.09
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForDateWithNearestNeighbor,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,Dictionary,getNameDictionary,org.slf4j:slf4j-api,null,null,2,2,1.0
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldNormalizeAddress_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNumberWithEquality,junit:junit,null,null,5,5,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldTestExtraSpaceAndSpecialCharacters_Success,junit:junit,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServicePerfTest,"",org.slf4j:slf4j-api,null,null,3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,"",org.slf4j:slf4j-api,null,null,3,3,1.0
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypes,junit:junit,null,null,5,5,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetNGramTokenizerLongString,junit:junit,null,null,5,5,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithInteger,junit:junit,null,null,7,7,1.0
