packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.dataprovider.jms,JMSStreamDataProvider,next,log4j:log4j,null,null,1,2,0.5
proj.zoie.dataprovider.jms,JMSStreamDataProvider,next,com.senseidb.zoie:zoie-core,null,null,1,2,0.5
proj.zoie.api,ZoieSegmentReader,getInnerReader,org.apache.lucene:lucene-core,null,null,2,2,1.0
proj.zoie.api.impl,ZoieMergePolicy,findBalancedMerges,org.apache.lucene:lucene-core,null,null,21,21,1.0
proj.zoie.impl.indexing,AsyncDataConsumer,flushBuffer,log4j:log4j,null,null,10,10,1.0
proj.zoie.api.indexing,ZoieIndexable,"",org.apache.lucene:lucene-core,null,null,14,14,1.0
proj.zoie.hourglass.impl,HourglassReaderManager,trim,org.apache.lucene:lucene-core,null,null,21,29,0.72
proj.zoie.hourglass.impl,HourglassReaderManager,trim,log4j:log4j,null,null,8,29,0.28
proj.zoie.api.impl.util,IntSetAccelerator,size,it.unimi.dsi:fastutil,null,null,1,1,1.0
proj.zoie.test,ZoieTest,testStreamDataProviderFlush,junit:junit,null,null,2,2,1.0
proj.zoie.test,ZoieTestCaseBase,createZoie,org.apache.lucene:lucene-core,null,null,11,11,1.0
proj.zoie.api,UIDDocIdSet,iterator,org.apache.lucene:lucene-core,null,null,4,4,1.0
proj.zoie.hourglass.impl,Hourglass,consume,log4j:log4j,null,null,2,2,1.0
proj.zoie.test,ZoieTestCaseBase,registerMBean,log4j:log4j,null,null,2,2,1.0
proj.zoie.impl.indexing,FileIndexableInterpreter,"",log4j:log4j,null,null,7,26,0.27
proj.zoie.impl.indexing,FileIndexableInterpreter,"",org.apache.lucene:lucene-core,null,null,19,26,0.73
proj.zoie.test,HourglassTest,testHourglassDirectoryManagerFactory,junit:junit,null,null,1,28,0.04
proj.zoie.test,HourglassTest,testHourglassDirectoryManagerFactory,log4j:log4j,null,null,27,28,0.96
proj.zoie.api,ZoieSegmentReader,commitDeletes,it.unimi.dsi:fastutil,null,null,2,2,1.0
proj.zoie.dataprovider.jms,JMSStreamDataProvider,reset,log4j:log4j,null,null,2,2,1.0
proj.zoie.impl.indexing.internal,IndexSignature,"",log4j:log4j,null,null,3,3,1.0
proj.zoie.hourglass.impl,HourglassReaderManager,swapArchives,log4j:log4j,null,null,6,7,0.86
proj.zoie.hourglass.impl,HourglassReaderManager,swapArchives,org.apache.lucene:lucene-core,null,null,1,7,0.14
proj.zoie.impl.indexing,MemoryStreamDataProvider,"",log4j:log4j,null,null,3,3,1.0
proj.zoie.impl.indexing.internal,BaseSearchIndex,updateIndex,org.apache.lucene:lucene-core,null,null,20,24,0.83
proj.zoie.impl.indexing.internal,BaseSearchIndex,updateIndex,it.unimi.dsi:fastutil,null,null,4,24,0.17
proj.zoie.impl.indexing,ZoieSystem,shutdown,log4j:log4j,null,null,10,10,1.0
proj.zoie.test,ZoieTestCaseBase,tearDown,junit:junit,null,null,2,2,1.0
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,next,log4j:log4j,null,null,4,4,1.0
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,convert,org.apache.lucene:lucene-core,null,null,14,14,1.0
proj.zoie.impl.indexing,ZoieConfig,getAnalyzer,org.apache.lucene:lucene-analyzers-common,null,null,1,6,0.17
proj.zoie.impl.indexing,ZoieConfig,getAnalyzer,org.apache.lucene:lucene-core,null,null,5,6,0.83
proj.zoie.api,ZoieMultiReader,decZoieRef,log4j:log4j,null,null,4,6,0.67
proj.zoie.api,ZoieMultiReader,decZoieRef,org.apache.lucene:lucene-core,null,null,2,6,0.33
proj.zoie.api,ZoieSegmentReader,"",org.apache.lucene:lucene-core,null,null,10,14,0.71
proj.zoie.api,ZoieSegmentReader,"",it.unimi.dsi:fastutil,null,null,4,14,0.29
proj.zoie.api.impl,ZoieMergePolicy,"",log4j:log4j,null,null,26,29,0.9
proj.zoie.api.impl,ZoieMergePolicy,"",org.apache.lucene:lucene-core,null,null,3,29,0.1
