packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.weiboad.ragnar.server.processor,BizLogProcessor,"",com.google.code.gson:gson,null,null,1,1,1.0
org.weiboad.ragnar.server.controller.web,RecentRequestPage,currentlog,org.apache.lucene:lucene-core,null,null,10,10,1.0
org.weiboad.ragnar.server.statistics.api,APIStatisticTimeSet,loadStaticDb,com.google.code.gson:gson,null,null,10,10,1.0
org.weiboad.ragnar.server.storage,DBSharder,del,org.rocksdb:rocksdbjni,null,null,2,2,1.0
org.weiboad.ragnar.util,Toolbox,fileGetContent,org.jetbrains:annotations,null,null,1,1,1.0
org.weiboad.ragnar.server.search,IndexSearchSharderManager,refreshAllIndex,org.apache.lucene:lucene-core,null,null,34,34,1.0
org.weiboad.ragnar.server.statistics.error,ErrorStatistic,getErrorData,com.google.code.gson:gson,null,null,38,38,1.0
org.weiboad.ragnar.http,CurlThread,pushMetaLogToServer,com.google.code.gson:gson,null,null,9,9,1.0
org.weiboad.ragnar.server.kafka,KafkaUtil,"",org.apache.kafka:kafka-clients,null,null,1,1,1.0
org.weiboad.ragnar.server.statistics.error,ErrorStatistic,addAlarmLogMap,com.google.code.gson:gson,null,null,22,22,1.0
org.weiboad.ragnar.server.kafka,KafkaUtil,cleanConsumer,org.apache.kafka:kafka-clients,null,null,1,1,1.0
org.weiboad.ragnar.server.kafka,Consumer,shutdown,org.apache.kafka:kafka-clients,null,null,2,2,1.0
org.weiboad.ragnar.server.search,IndexSearchSharderManager,searchByQuery,org.apache.lucene:lucene-core,null,null,17,17,1.0
org.weiboad.ragnar.server.processor,BizLogProcessor,insertDataQueue,com.google.code.gson:gson,null,null,4,4,1.0
org.weiboad.ragnar.server.controller.search,SearchField,SearchKeyword,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,22,0.05
org.weiboad.ragnar.server.controller.search,SearchField,SearchKeyword,org.apache.lucene:lucene-queryparser,null,null,4,22,0.18
org.weiboad.ragnar.server.controller.search,SearchField,SearchKeyword,org.apache.lucene:lucene-core,null,null,17,22,0.77
org.weiboad.ragnar.server.search,IndexSearchSharderManager,getIndexedDocCount,org.apache.lucene:lucene-core,null,null,3,3,1.0
org.weiboad.ragnar.server.storage,DBSharder,merge,org.rocksdb:rocksdbjni,null,null,2,2,1.0
org.weiboad.ragnar.server.kafka,Consumer,run,org.apache.kafka:kafka-clients,null,null,40,51,0.78
org.weiboad.ragnar.server.kafka,Consumer,run,com.google.code.gson:gson,null,null,11,51,0.22
org.weiboad.ragnar.server.controller.search,Recent,RecentRequest,org.apache.lucene:lucene-core,null,null,11,11,1.0
org.weiboad.ragnar.server.search,IndexSearchSharderManager,"",org.apache.lucene:lucene-core,null,null,5,5,1.0
org.weiboad.ragnar.server.controller.ragnarlog,PutBizLog,appendLog,com.google.code.gson:gson,null,null,7,7,1.0
org.weiboad.ragnar.server.controller.web,SearchPage,searchPage,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,15,0.07
org.weiboad.ragnar.server.controller.web,SearchPage,searchPage,org.apache.lucene:lucene-queryparser,null,null,4,15,0.27
org.weiboad.ragnar.server.controller.web,SearchPage,searchPage,org.apache.lucene:lucene-core,null,null,10,15,0.67
org.weiboad.ragnar.server.storage,DBManage,getDB,org.rocksdb:rocksdbjni,null,null,3,3,1.0
org.weiboad.ragnar.server.storage,DBSharder,close,org.rocksdb:rocksdbjni,null,null,3,3,1.0
org.weiboad.ragnar.server.search,IndexSearchSharderManager,getSearchIndexInfo,org.apache.lucene:lucene-core,null,null,7,7,1.0
org.weiboad.ragnar.server.storage,DBMergerOverrider,"",org.rocksdb:rocksdbjni,null,null,1,1,1.0
org.weiboad.ragnar.logpusher,Main,buildCommandLineOptions,commons-cli:commons-cli,null,null,16,16,1.0
org.weiboad.ragnar.server.storage,DBSharder,put,org.rocksdb:rocksdbjni,null,null,2,2,1.0
org.weiboad.ragnar.kafka,KafkaUtil,getProducer,org.apache.kafka:kafka-clients,null,null,5,5,1.0
org.weiboad.ragnar.server.storage,DBSharder,get,org.rocksdb:rocksdbjni,null,null,2,2,1.0
org.weiboad.ragnar.server.struct,MetaLog,gDoc,org.apache.lucene:lucene-core,null,null,128,128,1.0
org.weiboad.ragnar.server.search,IndexWriterShaderManager,getWriteIndexInfo,org.apache.lucene:lucene-core,null,null,11,11,1.0
org.weiboad.ragnar.util,Toolbox,parseCmdLine,commons-cli:commons-cli,null,null,22,22,1.0
org.weiboad.ragnar.server.search,IndexSearchSharderManager,openIndex,org.apache.lucene:lucene-core,null,null,18,19,0.95
org.weiboad.ragnar.server.search,IndexSearchSharderManager,openIndex,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,19,0.05
org.weiboad.ragnar.server.controller.ragnarlog,PutMetalog,appendindex,com.google.code.gson:gson,null,null,4,4,1.0
org.weiboad.ragnar.server.search,luceneTest,testLucene,org.apache.lucene:lucene-core,null,null,11,11,1.0
org.weiboad.ragnar.server.kafka,Consumer,"",org.apache.kafka:kafka-clients,null,null,1,1,1.0
org.weiboad.ragnar.server.controller.web,ShowTracePage,ShowTracePage,com.google.code.gson:gson,null,null,67,80,0.84
org.weiboad.ragnar.server.controller.web,ShowTracePage,ShowTracePage,org.apache.lucene:lucene-core,null,null,13,80,0.16
org.weiboad.ragnar.kafka,ProviderThread,run,org.apache.kafka:kafka-clients,null,null,11,11,1.0
org.weiboad.ragnar.server.storage,DBSharder,"",org.rocksdb:rocksdbjni,null,null,27,27,1.0
org.weiboad.ragnar.logpusher,Main,main,commons-cli:commons-cli,null,null,9,9,1.0
org.weiboad.ragnar.kafka,KafkaUtil,"",org.apache.kafka:kafka-clients,null,null,1,1,1.0
org.weiboad.ragnar.server.processor,BizLogProcessor,processData,com.google.code.gson:gson,null,null,115,115,1.0
org.weiboad.ragnar.util,Toolbox,formatTime,org.jetbrains:annotations,null,null,1,1,1.0
org.weiboad.ragnar.server.processor,BizLogProcessor,checkAvalible,com.google.code.gson:gson,null,null,1,1,1.0
org.weiboad.ragnar.server.struct,MetaLog,init,org.apache.lucene:lucene-core,null,null,29,29,1.0
org.weiboad.ragnar.kafka,ProviderThread,"",org.apache.kafka:kafka-clients,null,null,8,8,1.0
org.weiboad.ragnar.server.controller.web,ShowTracePage,renderByLog,commons-lang:commons-lang,null,null,4,67,0.06
org.weiboad.ragnar.server.controller.web,ShowTracePage,renderByLog,com.google.code.gson:gson,null,null,63,67,0.94
org.weiboad.ragnar.http,CurlThread,postHttp,com.squareup.okhttp3:okhttp,null,null,33,33,1.0
org.weiboad.ragnar.server.search,IndexSearchSharderManager,reloadSearch,org.apache.lucene:lucene-core,null,null,10,10,1.0
org.weiboad.ragnar.server.search,IndexWriterShaderManager,refreshIndex,org.apache.lucene:lucene-core,null,null,20,20,1.0
org.weiboad.ragnar.server.statistics.api,APIStatisticStruct,toJson,com.google.code.gson:gson,null,null,4,4,1.0
org.weiboad.ragnar.server.controller.web,ShowTracePage,renderTrace,com.google.code.gson:gson,null,null,101,105,0.96
org.weiboad.ragnar.server.controller.web,ShowTracePage,renderTrace,commons-lang:commons-lang,null,null,4,105,0.04
org.weiboad.ragnar.server.kafka,KafkaUtil,getConsumer,org.apache.kafka:kafka-clients,null,null,5,5,1.0
org.weiboad.ragnar.server.search,IndexService,searchByQuery,org.apache.lucene:lucene-core,null,null,4,4,1.0
org.weiboad.ragnar.server.processor,BizLogProcessor,getQueueLen,com.google.code.gson:gson,null,null,1,1,1.0
org.weiboad.ragnar.util.concurrent,ThreadFactoryImpl,newThread,org.jetbrains:annotations,null,null,1,1,1.0
org.weiboad.ragnar.server.search,IndexWriterShaderManager,commitChange,org.apache.lucene:lucene-core,null,null,2,2,1.0
org.weiboad.ragnar.server.search,IndexWriterShaderManager,CheckTheWriterIndex,org.apache.lucene:lucene-core,null,null,30,31,0.97
org.weiboad.ragnar.server.search,IndexWriterShaderManager,CheckTheWriterIndex,org.apache.lucene:lucene-analyzers-smartcn,null,null,1,31,0.03
org.weiboad.ragnar.server.search,IndexWriterShaderManager,addIndex,org.apache.lucene:lucene-core,null,null,4,4,1.0
org.weiboad.ragnar.server.statistics.sql,SQLStatistic,addSqlMap,com.alibaba:druid,null,null,6,6,1.0
org.weiboad.ragnar.server.search,IndexWriterShaderManager,"",org.apache.lucene:lucene-core,null,null,12,12,1.0
org.weiboad.ragnar.http,CurlThread,pushBizLogToServer,com.google.code.gson:gson,null,null,9,9,1.0
org.weiboad.ragnar.server.controller.web,APIStatisticDetailPage,currentlog,org.apache.lucene:lucene-core,null,null,27,27,1.0
