packageName,className,methodName,apis
org.dependencytrack.model,Project,setAccessTeams,[us.springett:alpine]
org.dependencytrack.model,Project,addAccessTeam,[us.springett:alpine]
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,deleteMappingShouldIndicateNotFoundWhenGroupDoesNotExist,[us.springett:alpine]
org.dependencytrack.resources.v1,SearchResource,projectSearch,[us.springett:alpine]
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getVulnerabilitiesByComponentUuidIncludeSuppressedTest,[us.springett:alpine]
org.dependencytrack.model,RepositoryTypeTest,testResolveHex,[com.github.package-url:packageurl-java]
org.dependencytrack.resources.v1,RepositoryResourceTest,getRepositoryMetaComponentInvalidPurlTest,[us.springett:alpine]
org.dependencytrack.integrations.defectdojo,DefectDojoClient,"",[us.springett:alpine]
org.dependencytrack.persistence,PolicyQueryManager,addPolicyViolationIfNotExist,[us.springett:alpine]
org.dependencytrack.persistence,QueryManager,getComponents,[us.springett:alpine]
org.dependencytrack.resources.v1,AccessControlResource,retrieveProjects,[us.springett:alpine]
org.dependencytrack.resources.v1,LicenseGroupResource,updateLicenseGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,TeamResourceTest,deleteApiKeyTest,[us.springett:alpine]
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,analyze,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,deleteGroupShouldDeleteGroupAndIndicateNoContent,[us.springett:alpine]
org.dependencytrack.resources.v1.vo,CloneProjectRequest,"",[us.springett:alpine]
org.dependencytrack.tasks.scanners,InternalAnalysisTask,analyze,[us.springett:alpine]
org.dependencytrack,ResourceTest,before,[us.springett:alpine]
org.dependencytrack.resources.v1,ServiceResource,createService,[us.springett:alpine]
org.dependencytrack.tasks.scanners,BaseComponentAnalyzerTask,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertyNumberTest,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,updateManagedUserInvalidEmailTest,[us.springett:alpine]
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,inform,[us.springett:alpine]
org.dependencytrack.parser.nvd,NvdParser,generateVulnerableSoftware,"[us.springett:alpine,us.springett:cpe-parser]"
org.dependencytrack.policy,CoordinatesPolicyEvaluator,versionMatches,[us.springett:alpine]
org.dependencytrack.search,VulnerableSoftwareIndexer,remove,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.integrations,FindingUploaderTest,testIsEnabled_False,[org.mockito:mockito-core]
org.dependencytrack.notification.publisher,SlackPublisher,"",[io.pebbletemplates:pebble]
org.dependencytrack.persistence,PackageURLStringConverterTest,testConvertToDatastoreUrl,[com.github.package-url:packageurl-java]
org.dependencytrack.persistence,QueryManager,getProjectMetrics,[us.springett:alpine]
org.dependencytrack.resources.v1,OidcResource,deleteMapping,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,removeTeamFromUserTest,[us.springett:alpine]
org.dependencytrack.model,Component,getPurlCoordinates,[com.github.package-url:packageurl-java]
org.dependencytrack.model,Cpe,"",[us.springett:alpine]
org.dependencytrack.parser.ossindex,OssIndexParser,"",[us.springett:alpine]
org.dependencytrack.persistence,NotificationQueryManager,removeProjectFromNotificationRules,[us.springett:alpine]
org.dependencytrack.persistence,ProjectQueryManager,createProject,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.persistence,QueryManager,getProjectQueryManager,[us.springett:alpine]
org.dependencytrack.resources.v1,ComponentResource,updateComponent,[us.springett:alpine]
org.dependencytrack.resources.v1,LicenseResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,OidcResource,isAvailable,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResource,createPolicy,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,addTeamToUserInvalidTeamTest,[us.springett:alpine]
org.dependencytrack.resources.v1.vo,BomSubmitRequest,"",[us.springett:alpine]
org.dependencytrack.tasks.repositories,HexMetaAnalyzerTest,testAnalyzer,[com.github.package-url:packageurl-java]
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,"",[us.springett:alpine]
org.dependencytrack.integrations.kenna,KennaSecurityUploader,"",[us.springett:alpine]
org.dependencytrack.model,RepositoryTypeTest,testResolveGem,[com.github.package-url:packageurl-java]
org.dependencytrack.persistence,QueryManager,commitSearchIndex,[us.springett:alpine]
org.dependencytrack.policy,PackageURLPolicyEvaluatorTest,wrongOperator,[com.github.package-url:packageurl-java]
org.dependencytrack.resources.v1,OidcResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,VulnerabilityResource,getVulnerabilitiesByComponent,[us.springett:alpine]
org.dependencytrack.search,IndexManagerFactory,getIndexManager,[us.springett:alpine]
org.dependencytrack.model,NotificationRule,setNotificationLevel,[us.springett:alpine]
org.dependencytrack.persistence,PolicyQueryManager,reconcilePolicyViolations,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,"",[us.springett:alpine]
org.dependencytrack.event,EventSubsystemInitializer,contextDestroyed,[us.springett:alpine]
org.dependencytrack.notification,NotificationRouterTest,testValidMatchingRule,[us.springett:alpine]
org.dependencytrack.parser.cyclonedx.util,ModelConverter,generateDependencies,"[org.cyclonedx:cyclonedx-core-java,org.json:json]"
org.dependencytrack.resources.v1,PermissionResourceTest,addPermissionToUserTest,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResourceTest,deletePolicyCascadingTest,[us.springett:alpine]
org.dependencytrack.persistence,CweImporter,"",[us.springett:alpine]
org.dependencytrack.persistence.defaults,DefaultLicenseGroupImporter,"",[us.springett:alpine]
org.dependencytrack.resources.v1,FindingResource,getFindingsByProject,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResource,getPolicies,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResource,updatePolicy,[us.springett:alpine]
org.dependencytrack.resources.v1,RepositoryResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.resources.v1,TeamResourceTest,regenerateApiKeyTest,[us.springett:alpine]
org.dependencytrack.search,IndexManager,delete,[us.springett:alpine]
org.dependencytrack.policy,VersionPolicyEvaluator,"",[us.springett:alpine]
org.dependencytrack.resources.v1,PermissionResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResourceTest,createPolicyTest,[us.springett:alpine]
org.dependencytrack.resources.v1,SearchResource,licenseSearch,[us.springett:alpine]
org.dependencytrack.model,OrganizationalEntity,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,deleteProject,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,getProject,[us.springett:alpine]
org.dependencytrack.tasks.scanners,VulnDbAnalysisTask,processResults,[us.springett:vulndb-data-mirror]
org.dependencytrack.upgrade,UpgradeInitializer,contextInitialized,[us.springett:alpine]
org.dependencytrack.model,Vulnerability,"",[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,RefreshComponentMetrics,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,getProjectMetricsXDays,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,addTeamToUserInvalidUserTest,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,createManagedUserInvalidUsernameTest,[us.springett:alpine]
org.dependencytrack.tasks.repositories,GoModulesMetaAnalyzerTest,testAnalyzer,[com.github.package-url:packageurl-java]
org.dependencytrack.integrations.kenna,KennaDataTransformer,generateKdiVulnDef,[org.json:json]
org.dependencytrack.persistence,DefaultObjectGeneratorTest,testLoadDefaultPersonas,[us.springett:alpine]
org.dependencytrack.resources.v1,BomResourceTest,uploadBomAutoCreateTest,[us.springett:alpine]
org.dependencytrack.resources.v1,LicenseGroupResource,createLicenseGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,getProjectCurrentMetrics,[us.springett:alpine]
org.dependencytrack.resources.v1,SearchResource,serviceSearch,[us.springett:alpine]
org.dependencytrack.tasks,DefectDojoUploadTask,"",[us.springett:alpine]
org.dependencytrack.tasks.repositories,NpmMetaAnalyzerTest,testAnalyzer,[com.github.package-url:packageurl-java]
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,submit,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,createGroupShouldIndicateBadRequestWhenRequestIsInvalid,[us.springett:alpine]
org.dependencytrack.resources.v1,ServiceResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ServiceResource,deleteService,[us.springett:alpine]
org.dependencytrack.notification,NotificationSubsystemInitializer,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertiesAggregateTest,[us.springett:alpine]
org.dependencytrack.search,ServiceComponentIndexer,"",[us.springett:alpine]
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,isCapable,[com.github.package-url:packageurl-java]
org.dependencytrack.util,InternalComponentIdentificationUtilTest,testIsInternal,"[org.mockito:mockito-core,us.springett:alpine]"
org.dependencytrack.resources.v1,AnalysisResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.resources.v1,BomResource,exportComponentAsCycloneDx,"[org.cyclonedx:cyclonedx-core-java,us.springett:alpine]"
org.dependencytrack.resources.v1,PermissionResourceTest,removePermissionFromTeamInvalidPermissionTest,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyViolationResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,TeamResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.search,ComponentIndexer,add,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,generateVulnerability,"[us.springett:alpine,us.springett:cvss-calculator]"
org.dependencytrack.integrations,FindingPackagingFormat,getDocument,[org.json:json]
