packageName,className,methodName,apis
com.novetta.clavin,AllTestsSuite,"",[junit:junit]
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,parameters,[junit:junit]
com.novetta.clavin.util,ListUtilsTest,testZeroChunk,[junit:junit]
com.novetta.clavin.util,TextUtilsTest,testFileToString,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testParseExceptions,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testUTFAndMissingColumns,[junit:junit]
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getTopLevelBuilder,[org.apache.lucene:lucene-core]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsTopLevelAdminDivision,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,setUp,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testGetGeoName,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsAncestryResolved_PartialResolution,[junit:junit]
com.novetta.clavin.index,BinarySimilarityTest,testTF,"[junit:junit,org.apache.lucene:lucene-core]"
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testHeuristicsMassachusetts,[junit:junit]
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,build,[org.apache.lucene:lucene-core]
com.novetta.clavin.index,IndexDirectoryBuilder,main,"[commons-cli:commons-cli,commons-io:commons-io,org.slf4j:slf4j-api]"
com.novetta.clavin.resolver,ClavinLocationResolverTest,testResolveLocations,[junit:junit]
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_ManualResolve_NullParent,"[junit:junit,org.mockito:mockito-core]"
com.novetta.clavin.resolver,ClavinLocationResolverTest,testBorderCases,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_RestrictedParents,[junit:junit]
com.novetta.clavin.index,WhitespaceLowerCaseAnalyzer,"",[org.apache.lucene:lucene-core]
