packageName,className,methodName,apis
com.stratio.cassandra.lucene.builder,BuilderTest,testPhraseConditionDefaults,[junit:junit]
com.stratio.cassandra.lucene.common,GeoTransformationBBoxTest,testBoundingBoxTransformationPoint,[junit:junit]
com.stratio.cassandra.lucene.schema.analysis,SnowballAnalyzerBuilderTest,testBuildFrench,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BigIntegerMapperTest,testJsonSerializationDefaults,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,FloatMapperTest,testValueString,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,UUIDMapperTest,testSort,"[junit:junit,org.apache.cassandra:cassandra-all]"
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testQueryContains,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.issues,Issue132IT,testUpdateMapRemovingUniqueComponentWide,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.issues,Issue69IT,testUDF,"[com.datastax.cassandra:cassandra-driver-core,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,RangeSearchIT,testRangeTimeUUIDField4,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,"",[junit:junit]
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,testRegexpListField3,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,BlobMapperValidTypesIndexCreationIT,test,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.udt,CheckNonFrozenUDTIT,testNotFrozenUDTSet,"[com.datastax.cassandra:cassandra-driver-core,junit:junit]"
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsBuilder,withPartitioner,[com.stratio.cassandra:cassandra-lucene-index-builder]
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsDelete,where,[com.datastax.cassandra:cassandra-driver-core]
com.stratio.cassandra.lucene.schema.mapping,BigIntegerMapperTest,testValueBigIntegerMinPositive,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BlobMapperTest,testJsonSerializationDefaults,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,testJsonSerialization,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,testValueNull,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,GeoPointMapperTest,testGetLongitudeWithTooBigShortColumnValue,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,LongMapperTest,testValueStringInvalid,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,TextMapperTest,testToString,[junit:junit]
com.stratio.cassandra.lucene.search,SearchBuildersTest,testPrefix,[junit:junit]
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testConstructorWithDefaults,[junit:junit]
com.stratio.cassandra.lucene.search.condition,RangeConditionTest,testFloatClose,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.search,FuzzySearchIT,testFuzzyListField2,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,testMatchDecimalField2,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchWithDocValuesIT,testMatchVarchar4,[junit:junit]
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,testRangeDoubleField5,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsSelect,search,[com.stratio.cassandra:cassandra-lucene-index-builder]
com.stratio.cassandra.lucene.builder,BuilderTest,testDateRangeConditionDefaults,[junit:junit]
com.stratio.cassandra.lucene.builder,BuilderTest,testIndexFull,[junit:junit]
com.stratio.cassandra.lucene.builder,BuilderTest,testPrefixConditionDefaults,[junit:junit]
com.stratio.cassandra.lucene.builder,BuilderTest,testRegexpConditionFull,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BigDecimalMapperTest,testValueIntegerNegativePositiveSort,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BigDecimalMapperTest,testValueNegativePositiveSort,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BlobMapperTest,testConstructorWithoutArgs,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,testJsonSerializationDefaults,[junit:junit]
com.stratio.cassandra.lucene.search.condition,GeoBBoxConditionTest,testBuildNullMinLongitude,[junit:junit]
com.stratio.cassandra.lucene.testsAT.geospatial,GeoBBoxSearchIT,testGeoBBoxSearchBasicSuccess,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.indexes,ComposedKeyIndexHandlingIT,testRecreateIndexAfterInsertions,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchWithDocValuesIT,testMatchDouble3,[junit:junit]
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,testRangeSetField3,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,AllowFilteringWith1000SimilarRowsIT,testAllowFiltering1000rows,[junit:junit]
com.stratio.cassandra.lucene.testsAT.varia,TokenRangeWithWideRowsMultiClusteringIT,after,[junit:junit]
com.stratio.cassandra.lucene.testsAT.varia,TokenRangeWithWideRowsMultiPartitionIT,testTokenClusteringSearch6,[junit:junit]
com.stratio.cassandra.lucene.builder,BuilderTest,testUUIDMapperFull,[junit:junit]
com.stratio.cassandra.lucene.schema.analysis,StandardAnalyzersTest,testGetCjkPreBuiltAnalyzer,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
