packageName,className,methodName,apis
null,PageRankTest,soEqual,"[junit:junit,net.sf.jung:jung-graph-impl]"
org.aksw.agdistis.util,TripleIndexContext,"","[com.google.guava:guava,commons-validator:commons-validator,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.algorithm,NEDAlgo_HITS,run,"[net.sf.jung:jung-graph-impl,org.slf4j:slf4j-api]"
org.aksw.agdistis.algorithm,CandidateUtil,setIndex,[org.slf4j:slf4j-api]
null,PageRankTest,soEqualByRandomWalker,"[junit:junit,net.sf.jung:jung-graph-impl]"
org.aksw.agdistis.util,TripleIndexCreator,main,[org.slf4j:slf4j-api]
null,TripleIndexCreatorTest,close,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,NIFParser,createTextWithMentions,[org.slf4j:slf4j-api]
org.aksw.agdistis.util,TripleIndex,close,[org.apache.lucene:lucene-core]
org.aksw.agdistis.util,TripleIndexContext,close,[org.apache.lucene:lucene-core]
org.aksw.agdistis.webapp,GetDisambiguation,NIFGerbil,[org.slf4j:slf4j-api]
null,TripleIndexTest,"",[org.slf4j:slf4j-api]
null,TripleIndexTest,testSurfaceForm,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndex,"","[com.google.guava:guava,commons-validator:commons-validator,org.apache.commons:commons-lang3,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
null,TripleIndexCreatorTest,init,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.webapp,GetDisambiguation,standardAG,"[com.googlecode.json-simple:json-simple,org.slf4j:slf4j-api]"
null,TripleIndexTest,testDisambiguation,"[junit:junit,org.slf4j:slf4j-api]"
null,TripleIndexTest,testSurfaceFormsDistance,"[junit:junit,org.apache.lucene:lucene-spellchecker,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexContext,getIreader,[org.apache.lucene:lucene-core]
org.aksw.agdistis.webapp,GetDisambiguation,candidateType,"[com.googlecode.json-simple:json-simple,org.slf4j:slf4j-api]"
null,PageRankTest,oneGetsMost,"[junit:junit,net.sf.jung:jung-graph-impl]"
org.aksw.agdistis.util,TripleIndexCreatorContext,close,[org.apache.lucene:lucene-core]
org.aksw.agdistis.webapp,GetDisambiguation,textToDocument,[org.slf4j:slf4j-api]
org.aksw.agdistis.util,TripleIndexContext,getFromIndex,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
null,TripleIndexCreatorTest,"",[org.slf4j:slf4j-api]
null,AGDISTISTest,testMinimalExample,[junit:junit]
null,TripleIndexTest,init,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,"[net.sf.jung:jung-graph-impl,org.apache.lucene:lucene-spellchecker,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,LiteralAnalyzer,"",[org.apache.lucene:lucene-core]
org.aksw.agdistis.util,TripleIndex,getIreader,[org.apache.lucene:lucene-core]
org.aksw.agdistis.util,TripleIndexContext,search,"[com.google.guava:guava,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,Stemming,stemming,"[com.github.haifengl:smile-nlp,edu.stanford.nlp:stanford-corenlp]"
org.aksw.agdistis.util,LiteralAnalyzer,createComponents,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
org.aksw.agdistis.webapp,GetDisambiguation,NIFType,[org.slf4j:slf4j-api]
org.aksw.agdistis.util,TripleIndexCreator,createIndex,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreator,"","[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreatorContext,indexTTLFile,"[org.openrdf.sesame:sesame-rio-turtle,org.slf4j:slf4j-api]"
null,TripleIndexCreatorTest,testMinimalOntologyExample,"[com.google.guava:guava,junit:junit]"
null,HitsTest,testSimpleHITS,"[junit:junit,net.sf.jung:jung-graph-impl]"
null,AGDISTISTest,testUmlaute,[junit:junit]
null,TripleIndexTest,testMultipleTermsPerField,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndex,setIndex,[org.apache.lucene:lucene-core]
org.aksw.agdistis.algorithm,CandidateUtil,insertCandidatesIntoText,"[net.sf.jung:jung-graph-impl,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreatorContext,"","[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreator,close,[org.apache.lucene:lucene-core]
org.aksw.agdistis.util,TripleIndexCreatorContext,search,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.algorithm,CandidateUtil,"","[org.apache.lucene:lucene-spellchecker,org.slf4j:slf4j-api]"
null,TripleIndexTest,testRedirects,"[junit:junit,org.slf4j:slf4j-api]"
null,TripleIndexTest,testType,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.algorithm,CandidateUtil,redirect,[org.slf4j:slf4j-api]
org.aksw.agdistis.webapp,GetDisambiguation,postText,[org.slf4j:slf4j-api]
org.aksw.agdistis.util,TripleIndexCreatorContext,getFromIndex,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreator,indexTTLFile,"[org.openrdf.sesame:sesame-rio-turtle,org.slf4j:slf4j-api]"
org.aksw.agdistis.algorithm,CandidateUtil,heuristicExpansion,[org.slf4j:slf4j-api]
