packageName,className,methodName,apis
org.aksw.palmetto,Palmetto,"",[org.slf4j:slf4j-api]
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWord,[com.carrotsearch:hppc]
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,requestWordPositionsInDocuments,[com.carrotsearch:hppc]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,data,[junit:junit]
org.aksw.palmetto.calculations.indirect,VectorCreationTest,test,[junit:junit]
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.calculations.direct,LogRatioCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.prob.decorator,SimpleFrequencyCachingDeterminerDecorator,"",[com.carrotsearch:hppc]
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,requestWordPositionsInDocuments,[com.carrotsearch:hppc]
org.aksw.palmetto.weight,ConditionalProbabilityBasedWeighterTest,"",[junit:junit]
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,"",[junit:junit]
org.aksw.palmetto.webapp,PalmettoApplication,cvService,[org.slf4j:slf4j-api]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
org.aksw.palmetto.subsets,AllAll,getSubsetDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,"",[junit:junit]
org.aksw.palmetto.prob,ListBasedBooleanDocumentFrequencyDeterminerTest,"",[junit:junit]
org.aksw.palmetto.vector,FitelsonCalculationBasedCreatorTest,"",[junit:junit]
org.aksw.palmetto.subsets,AllOne,getSubsetDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,"[com.carrotsearch:hppc,junit:junit,org.slf4j:slf4j-api]"
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,data,[junit:junit]
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,determineCounts,[com.google.guava:guava]
