packageName,className,methodName,apis
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByGroups,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDateForHighNeighborhoodRange,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForAList,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDifferentVariance,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,"[junit:junit,org.mockito:mockito-all]"
com.intuit.fuzzymatcher.domain,Document,getUnmatchedChildCount,[org.apache.commons:commons-collections4]
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialWeightedScoring_Success,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServicePerfTest,"",[org.slf4j:slf4j-api]
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypesWithNonMatch,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldPreprocessAddress,[junit:junit]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordTokenizerForName_Success,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDate,[junit:junit]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordSoundexEncodeTokenizerForAddress,[junit:junit]
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldNotMatch,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForSingleDoc,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,"[junit:junit,org.mockito:mockito-all]"
com.intuit.fuzzymatcher.function,TokenizerFunction,wordSoundexEncodeTokenizer,[commons-codec:commons-codec]
com.intuit.fuzzymatcher.component,MatchServicePerfTest,itShouldApplyMatchForBigDataForMemoryPerf,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithAge,[junit:junit]
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialScoring_Success,[junit:junit]
com.intuit.fuzzymatcher.domain,ElementTest,itShouldSetTokenizerFunction,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldApplyNumberPreprocessing_Success,[junit:junit]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldReturnNGramTokenForSmallStrings_Success,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDoubleType,[junit:junit]
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldMatchElementsWithRepeatingTokens,[junit:junit]
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveWeightedAverageScore_Success,[junit:junit]
com.intuit.fuzzymatcher.domain,ElementTest,itShouldMatchUnequalWordsWithChainTokenizerFunction2,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForDuplicateTokensWithNoMatch,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,writeOutput,"[com.opencsv:opencsv,org.slf4j:slf4j-api]"
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForDateWithNearestNeighbor,[junit:junit]
com.intuit.fuzzymatcher.component,Dictionary,getNameDictionary,[org.slf4j:slf4j-api]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldNormalizeAddress_Success,[junit:junit]
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNumberWithEquality,[junit:junit]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldTestExtraSpaceAndSpecialCharacters_Success,[junit:junit]
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypes,[junit:junit]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetNGramTokenizerLongString,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithInteger,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldRemoveSpecialCharPhone_Success,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldOverridePreProcessingDictionary,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldGetNullString_Success,[junit:junit]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetValueTokenizerForNumber_Success,[junit:junit]
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveAverageScoreWithEmptyFields_Success,[junit:junit]
com.intuit.fuzzymatcher.domain,ElementTest,itShouldNotMatchPhoneticWordsWithChainTokenizerFunction,[junit:junit]
com.intuit.fuzzymatcher.util,Utils,getNGrams,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldRemoveTrailingNumbersFromName_Success,[junit:junit]
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldMatchUnorderedTokens,[junit:junit]
com.intuit.fuzzymatcher.function,ScoringFunctionTest,getMockToken,[org.mockito:mockito-all]
com.intuit.fuzzymatcher.domain,ElementTest,itShouldMatchUnequalWordsWithChainTokenizerFunction,[junit:junit]
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNumberWithNearestNeighbor,[junit:junit]
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForUnbalancedDoc,[junit:junit]
com.intuit.fuzzymatcher.component,Dictionary,"",[org.slf4j:slf4j-api]
com.intuit.fuzzymatcher.component,MatchService,applyMatchByGroups,[org.apache.commons:commons-collections4]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForUnBalancedEmptyElements,"[junit:junit,org.mockito:mockito-all]"
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNameWithEquality,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldApplyNumberPreprocessing_Failure,[junit:junit]
com.intuit.fuzzymatcher.function,TokenizerFunction,"",[commons-codec:commons-codec]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetValueTokenizer_Success,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServicePerfTest,itShouldApplyMatchForBigData,[junit:junit]
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNotSupportedWithNearestNeighbor,[junit:junit]
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldGiveAverageScoreWithBalancedElements,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithVariance,"[junit:junit,org.mockito:mockito-all]"
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveAverageScore_Success,[junit:junit]
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldNotScoreMoreThanOneForName,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServicePerfTest,getAddress,[org.apache.commons:commons-lang3]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocId,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatch,"[junit:junit,org.mockito:mockito-all]"
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForUnbalancedDocWithEmpty,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldCustomPreprocessAddress,[junit:junit]
com.intuit.fuzzymatcher.function,PreProcessFunction,toLowerCase,[org.apache.commons:commons-lang3]
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordSoundexEncodeTokenizerForName,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForBalancedEmptyElements,"[junit:junit,org.mockito:mockito-all]"
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForEmptyInput,[junit:junit]
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultiplePhoneNumber,"[junit:junit,org.mockito:mockito-all]"
