packageName,className,methodName,apis
io.dashbase.clue.commands,MergeCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue,LuceneContext,shutdown,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,DeleteCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.client,ClueCommandClient,getCommands,[com.squareup.retrofit2:retrofit]
io.dashbase.clue.util,CustomBufferedIndexInput,slice,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,PayloadTokenizer,incrementToken,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,BuildSampleIndex,buildDoc,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,CustomBufferedIndexInput,readVInt,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,InfoCommand,toString,[org.apache.lucene:lucene-core]
io.dashbase.clue.client,CmdlineHelper,readCommand,[jline:jline]
io.dashbase.clue.commands,TermsCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,MatcherDocIdSetIterator,"",[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,DumpDocCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,AnalyzerFactory,forQuery,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,CountCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DirectoryBuilder,build,[org.apache.lucene:lucene-core]
io.dashbase.clue,LuceneContext,"",[org.apache.lucene:lucene-core]
io.dashbase.clue.util,CustomBufferedIndexInput,refill,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,GetUserCommitDataCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,NormsCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,IndexReaderFactory,initialize,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,MatchSomeDocsQuery,hashCode,[org.apache.lucene:lucene-core]
io.dashbase.clue.client,ClueCommandClient,run,[jline:jline]
io.dashbase.clue,LuceneContext,getDirectory,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,CustomBufferedIndexInput,"",[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,DocValCommand,showDocId,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,StoredFieldCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue,LuceneContext,getIndexReader,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DefaultDirectoryBuilder,build,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,InfoCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,IndexReaderFactory,getIndexReader,[org.apache.lucene:lucene-core]
