packageName,className,methodName,apis
proj.zoie.dataprovider.jms,JMSStreamDataProvider,next,"[com.senseidb.zoie:zoie-core,log4j:log4j]"
proj.zoie.api,ZoieSegmentReader,getInnerReader,[org.apache.lucene:lucene-core]
proj.zoie.api.impl,ZoieMergePolicy,findBalancedMerges,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,AsyncDataConsumer,flushBuffer,[log4j:log4j]
proj.zoie.perf.client,ZoiePerf,"",[com.senseidb.zoie:zoie-core]
proj.zoie.hourglass.impl,HourglassReaderManager,trim,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,IntSetAccelerator,size,[it.unimi.dsi:fastutil]
proj.zoie.test,ZoieTest,testStreamDataProviderFlush,[junit:junit]
proj.zoie.test,ZoieTestCaseBase,createZoie,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,LongSetAccelerator,"",[it.unimi.dsi:fastutil]
proj.zoie.api,UIDDocIdSet,iterator,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,Hourglass,consume,[log4j:log4j]
proj.zoie.test,ZoieTest,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieTestCaseBase,registerMBean,[log4j:log4j]
proj.zoie.test,HourglassTest,testHourglassDirectoryManagerFactory,"[junit:junit,log4j:log4j]"
proj.zoie.api,ZoieSegmentReader,commitDeletes,[it.unimi.dsi:fastutil]
proj.zoie.dataprovider.jms,JMSStreamDataProvider,reset,[log4j:log4j]
proj.zoie.hourglass.impl,HourglassReaderManager,swapArchives,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BaseSearchIndex,updateIndex,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,ZoieSystem,shutdown,[log4j:log4j]
proj.zoie.test,ZoieTestCaseBase,tearDown,[junit:junit]
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,"",[log4j:log4j]
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,next,[log4j:log4j]
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,convert,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,ZoieConfig,getAnalyzer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.api,ZoieMultiReader,decZoieRef,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,search,"[com.senseidb.zoie:zoie-core,log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
proj.zoie.hourglass.impl,Hourglass,shutdown,[log4j:log4j]
proj.zoie.test,HourglassTest,oneTest,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,ArrayDocIdSet,"",[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,AbstractReaderCache,"",[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,RAMSearchIndex,getSegmentCount,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,ArrayDocIdSet,iterator,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,DiskSearchIndex,refresh,"[it.unimi.dsi:fastutil,log4j:log4j]"
proj.zoie.perf.indexing,LinedFileDataProvider,"","[com.senseidb.zoie:zoie-core,log4j:log4j]"
proj.zoie.test,ZoieStoreTestCase,testSanity,"[junit:junit,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,stop,[log4j:log4j]
proj.zoie.api,ZoieMultiReader,extractDecoratedReaders,[org.apache.lucene:lucene-core]
proj.zoie.test,ZoieTestCaseBase,unregisterMBean,[log4j:log4j]
proj.zoie.api,ZoieMultiReader,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,ZoieSegmentReader,numDocs,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,SmartReaderCache,refreshCache,[log4j:log4j]
proj.zoie.pair.impl,Pair,returnIndexReaders,[org.apache.lucene:lucene-core]
proj.zoie.api,IndexReaderFactory,"",[org.apache.lucene:lucene-core]
proj.zoie.api,ZoieSegmentReader,getLiveDocs,[org.apache.lucene:lucene-core]
proj.zoie.api,ZoieMultiReader,getInnerRefCount,[org.apache.lucene:lucene-core]
proj.zoie.api,ZoieSegmentReader,init,[org.apache.lucene:lucene-core]
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,reset,[log4j:log4j]
proj.zoie.dataprovider.jms,JMSStreamDataProvider,stop,"[com.senseidb.zoie:zoie-core,log4j:log4j]"
proj.zoie.impl.indexing,IndexingThread,"",[log4j:log4j]
proj.zoie.store,LuceneStore,close,[org.apache.lucene:lucene-core]
proj.zoie.api,Zoie,"",[org.apache.lucene:lucene-core]
proj.zoie.perf.client,SearchQueryHandler,handleQuery,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,ZoieConfig,setAnalyzer,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,ReaderCacheFactory,newInstance,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,processBatch,[log4j:log4j]
proj.zoie.test,ZoieTest,testSegmentTermDocs,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
proj.zoie.impl.indexing.internal,DefaultRAMIndexFactory,newInstance,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,ZoieSystem,refreshDiskReader,[log4j:log4j]
proj.zoie.impl.indexing,ZoieSystem,setPurgeFilter,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,RealtimeIndexDataLoader,"","[log4j:log4j,org.apache.lucene:lucene-core]"
