packageName,className,methodName,apis
org.apdplat.word.corpus,Bigram,bigram,[org.slf4j:slf4j-api]
org.apdplat.word.lucene,ChineseWordTokenizer,"","[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.apdplat.word.recognition,RecognitionTool,isNumber,[org.slf4j:slf4j-api]
org.apdplat.word.corpus,Trigram,reload,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DictionaryTrieTest,testPrefix,[junit:junit]
org.apdplat.word.dictionary.impl,DictionaryTrie,remove,[org.slf4j:slf4j-api]
org.apdplat.word.util,WordConfTools,"",[org.slf4j:slf4j-api]
org.apdplat.word,WordSegmenter,demo,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,HotWordTest,testGet,[junit:junit]
org.apdplat.word,WordFrequencyStatistics,"",[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DictionaryTrie,contains,[org.slf4j:slf4j-api]
org.apdplat.word.recognition,Quantifier,reload,[org.slf4j:slf4j-api]
org.apdplat.word.vector,Distance,setLimit,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DictionaryTrie,showConflict,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrieTest,testRemoveAll,[junit:junit]
org.apdplat.word.corpus,ExtractText,analyzeCorpus,[org.slf4j:slf4j-api]
org.apdplat.word.recognition,PersonName,reload,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation,WordRefiner,"",[org.slf4j:slf4j-api]
org.apdplat.word.elasticsearch,ChineseWordNoOpTokenFilterFactory,create,[org.apache.lucene:lucene-core]
org.apdplat.word.segmentation.impl,FullSegmentation,disambiguity,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,MaxNgramScore,segImpl,[org.slf4j:slf4j-api]
org.apdplat.word.corpus,ExtractText,extractFromCorpus,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,PureEnglish,"",[org.slf4j:slf4j-api]
org.apdplat.word,WordFrequencyStatistics,merge,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,SimHashPlusHammingDistanceTextSimilarity,"",[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DictionaryTrie,main,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrie,addAll,[org.slf4j:slf4j-api]
org.apdplat.word.util,DoubleArrayGenericTrie,init,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,TextSimilarityTest,testEuclideanDistance,[junit:junit]
org.apdplat.word.recognition,RecognitionToolTest,testIsEnglish,[junit:junit]
org.apdplat.word.segmentation,SegmentationFactory,getSegmentation,[org.slf4j:slf4j-api]
org.apdplat.word.corpus,ExtractText,extractText,[org.slf4j:slf4j-api]
org.apdplat.word.util,GenericTrieTest,testGet,[junit:junit]
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrie,toTree,[org.slf4j:slf4j-api]
org.apdplat.word.util,DoubleArrayGenericTrie,get,[org.slf4j:slf4j-api]
org.apdplat.word.recognition,RecognitionTool,"",[org.slf4j:slf4j-api]
org.apdplat.word.elasticsearch,ChineseWordPlugin,getAnalyzers,"[org.apache.lucene:lucene-core,org.elasticsearch:elasticsearch]"
org.apdplat.word.util,WordConfTools,loadConf,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,HotWord,get,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,SimpleTextSimilarity,scoreImpl,[org.slf4j:slf4j-api]
org.apdplat.word.analysis,JaroDistanceTextSimilarity,scoreImpl,[org.slf4j:slf4j-api]
org.apdplat.word.tagging,PartOfSpeechTagging,process,[org.slf4j:slf4j-api]
org.apdplat.word.util,AutoDetector,watchFile,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation.impl,ReverseMaximumMatchingTest,testSeg,[junit:junit]
org.apdplat.word.util,DoubleArrayGenericTrieTest,testClear,[junit:junit]
org.apdplat.word.analysis,TextSimilarityTest,testCosine,[junit:junit]
org.apdplat.word.corpus,CorpusTools,processPhrase,[org.slf4j:slf4j-api]
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrieTest,testWhole2,[junit:junit]
org.apdplat.word.recognition,PersonName,"",[org.slf4j:slf4j-api]
org.apdplat.word.util,Utils,seg,[org.slf4j:slf4j-api]
org.apdplat.word.lucene,ChineseWordAnalyzerTest,test3,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
org.apdplat.word.recognition,PersonName,main,[org.slf4j:slf4j-api]
org.apdplat.word.segmentation,PartOfSpeech,"",[org.slf4j:slf4j-api]
org.apdplat.word.analysis,TextSimilarityTest,testSørensenDiceCoefficient,[junit:junit]
org.apdplat.word.dictionary.impl,DictionaryTrieTest,setUp,[junit:junit]
org.apdplat.word.vector,Distance,"",[org.slf4j:slf4j-api]
org.apdplat.word.corpus,CorpusTools,mergeWordsWithOldDic,[org.slf4j:slf4j-api]
org.apdplat.word.lucene,ChineseWordAnalyzer,"","[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.apdplat.word.recognition,RecognitionToolTest,testIsQuantifier,[junit:junit]
org.apdplat.word.solr,ChineseWordTokenizerFactory,"","[org.apache.lucene:lucene-analyzers-common,org.slf4j:slf4j-api]"
org.apdplat.word.util,GenericTrie,showConflict,[org.slf4j:slf4j-api]
