packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.dependencytrack.integrations.defectdojo,com.konghq:unirest-java,null,null,30,73,0.41
org.dependencytrack.integrations.defectdojo,org.mock-server:mockserver-netty,null,null,4,73,0.05
org.dependencytrack.integrations.defectdojo,org.json:json,null,null,3,73,0.04
org.dependencytrack.integrations.defectdojo,us.springett:alpine,null,null,36,73,0.49
org.dependencytrack.resources.v1.serializers,com.github.package-url:packageurl-java,null,null,5,5,1.0
org.dependencytrack.policy,org.json:json,null,null,8,115,0.07
org.dependencytrack.policy,com.github.package-url:packageurl-java,null,null,9,115,0.08
org.dependencytrack.policy,us.springett:alpine,null,null,98,115,0.85
org.dependencytrack.util,org.mockito:mockito-core,null,null,7,149,0.05
org.dependencytrack.util,org.apache.commons:commons-compress,null,null,11,149,0.07
org.dependencytrack.util,us.springett:alpine,null,null,60,149,0.4
org.dependencytrack.util,com.github.package-url:packageurl-java,null,null,52,149,0.35
org.dependencytrack.util,org.cyclonedx:cyclonedx-core-java,null,null,19,149,0.13
org.dependencytrack.parser.npm,com.konghq:unirest-java,null,null,96,106,0.91
org.dependencytrack.parser.npm,us.springett:alpine,null,null,10,106,0.09
org.dependencytrack.parser.github.graphql,com.konghq:unirest-java,null,null,133,133,1.0
org.dependencytrack.resources.v1,org.cyclonedx:cyclonedx-core-java,null,null,76,2511,0.03
org.dependencytrack.resources.v1,us.springett:alpine,null,null,2382,2511,0.95
org.dependencytrack.resources.v1,com.github.package-url:packageurl-java,null,null,14,2511,0.01
org.dependencytrack.resources.v1,us.springett:cvss-calculator,null,null,38,2511,0.02
org.dependencytrack.resources.v1,org.json:json,null,null,1,2511,0.0
org.dependencytrack.notification.publisher,com.konghq:unirest-java,null,null,21,313,0.07
org.dependencytrack.notification.publisher,us.springett:alpine,null,null,235,313,0.75
org.dependencytrack.notification.publisher,io.pebbletemplates:pebble,null,null,45,313,0.14
org.dependencytrack.notification.publisher,org.mock-server:mockserver-netty,null,null,12,313,0.04
org.dependencytrack.upgrade.v410,us.springett:alpine,null,null,12,12,1.0
org.dependencytrack.integration,com.konghq:unirest-java,null,null,50,50,1.0
org.dependencytrack.notification,us.springett:alpine,null,null,171,171,1.0
org.dependencytrack.event,us.springett:alpine,null,null,117,117,1.0
org.dependencytrack.integrations,org.mockito:mockito-core,null,null,25,140,0.18
org.dependencytrack.integrations,org.json:json,null,null,61,140,0.44
org.dependencytrack.integrations,us.springett:alpine,null,null,54,140,0.39
org.dependencytrack.parser.nvd,us.springett:cvss-calculator,null,null,8,69,0.12
org.dependencytrack.parser.nvd,us.springett:alpine,null,null,19,69,0.28
org.dependencytrack.parser.nvd,us.springett:cpe-parser,null,null,42,69,0.61
org.dependencytrack,us.springett:alpine,null,null,42,42,1.0
org.dependencytrack.upgrade.v400,us.springett:alpine,null,null,7,7,1.0
org.dependencytrack.upgrade,us.springett:alpine,null,null,39,39,1.0
org.dependencytrack.parser.cyclonedx.util,org.cyclonedx:cyclonedx-core-java,null,null,507,541,0.94
org.dependencytrack.parser.cyclonedx.util,com.github.package-url:packageurl-java,null,null,7,541,0.01
org.dependencytrack.parser.cyclonedx.util,us.springett:alpine,null,null,11,541,0.02
org.dependencytrack.parser.cyclonedx.util,org.json:json,null,null,16,541,0.03
org.dependencytrack.persistence.defaults,org.json:json,null,null,18,29,0.62
org.dependencytrack.persistence.defaults,us.springett:alpine,null,null,11,29,0.38
org.dependencytrack.persistence,us.springett:alpine,null,null,580,640,0.91
org.dependencytrack.persistence,com.github.package-url:packageurl-java,null,null,60,640,0.09
org.dependencytrack.model,org.json:json,null,null,22,404,0.05
org.dependencytrack.model,us.springett:alpine,null,null,260,404,0.64
org.dependencytrack.model,us.springett:cpe-parser,null,null,5,404,0.01
org.dependencytrack.model,com.github.package-url:packageurl-java,null,null,88,404,0.22
org.dependencytrack.model,org.cyclonedx:cyclonedx-core-java,null,null,29,404,0.07
org.dependencytrack.integrations.fortifyssc,org.json:json,null,null,3,122,0.02
org.dependencytrack.integrations.fortifyssc,org.mock-server:mockserver-netty,null,null,4,122,0.03
org.dependencytrack.integrations.fortifyssc,com.konghq:unirest-java,null,null,65,122,0.53
org.dependencytrack.integrations.fortifyssc,us.springett:alpine,null,null,50,122,0.41
org.dependencytrack.upgrade.v420,us.springett:alpine,null,null,11,11,1.0
org.dependencytrack.parser.ossindex,us.springett:alpine,null,null,5,53,0.09
org.dependencytrack.parser.ossindex,com.konghq:unirest-java,null,null,48,53,0.91
org.dependencytrack.resources.v1.misc,us.springett:alpine,null,null,3,22,0.14
org.dependencytrack.resources.v1.misc,io.pebbletemplates:pebble,null,null,19,22,0.86
org.dependencytrack.search,us.springett:alpine,null,null,362,656,0.55
org.dependencytrack.search,org.apache.lucene:lucene-core,null,null,282,656,0.43
org.dependencytrack.search,org.apache.lucene:lucene-queryparser,null,null,12,656,0.02
org.dependencytrack.integrations.kenna,com.konghq:unirest-java,null,null,41,168,0.24
org.dependencytrack.integrations.kenna,us.springett:alpine,null,null,45,168,0.27
org.dependencytrack.integrations.kenna,org.json:json,null,null,82,168,0.49
org.dependencytrack.tasks,us.springett:alpine,null,null,539,639,0.84
org.dependencytrack.tasks,org.cyclonedx:cyclonedx-core-java,null,null,20,639,0.03
org.dependencytrack.tasks,us.springett:cpe-parser,null,null,15,639,0.02
org.dependencytrack.tasks,com.konghq:unirest-java,null,null,22,639,0.03
org.dependencytrack.tasks,us.springett:vulndb-data-mirror,null,null,43,639,0.07
org.dependencytrack.tasks.repositories,org.apache.maven:maven-artifact,null,null,9,561,0.02
org.dependencytrack.tasks.repositories,com.konghq:unirest-java,null,null,341,561,0.61
org.dependencytrack.tasks.repositories,org.mock-server:mockserver-netty,null,null,9,561,0.02
org.dependencytrack.tasks.repositories,com.github.package-url:packageurl-java,null,null,89,561,0.16
org.dependencytrack.tasks.repositories,us.springett:alpine,null,null,113,561,0.2
org.dependencytrack.servlets,us.springett:alpine,null,null,4,4,1.0
org.dependencytrack.parser.vulndb,us.springett:vulndb-data-mirror,null,null,62,93,0.67
org.dependencytrack.parser.vulndb,us.springett:alpine,null,null,5,93,0.05
org.dependencytrack.parser.vulndb,us.springett:cvss-calculator,null,null,26,93,0.28
org.dependencytrack.common,com.konghq:unirest-java,null,null,17,90,0.19
org.dependencytrack.common,us.springett:alpine,null,null,73,90,0.81
org.dependencytrack.resources.v1.vo,us.springett:alpine,null,null,17,17,1.0
org.dependencytrack.tasks.scanners,com.github.package-url:packageurl-java,null,null,48,389,0.12
org.dependencytrack.tasks.scanners,us.springett:alpine,null,null,162,389,0.42
org.dependencytrack.tasks.scanners,com.konghq:unirest-java,null,null,90,389,0.23
org.dependencytrack.tasks.scanners,us.springett:cpe-parser,null,null,39,389,0.1
org.dependencytrack.tasks.scanners,us.springett:vulndb-data-mirror,null,null,23,389,0.06
org.dependencytrack.tasks.scanners,us.springett:cvss-calculator,null,null,27,389,0.07
