packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.apache.cassandra.service,org.apache.cassandra:cassandra-all,null,null,188,188,1.0
com.stratio.cassandra.lucene.testsAT.partitioning,junit:junit,null,null,11,23,0.48
com.stratio.cassandra.lucene.testsAT.partitioning,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,12,23,0.52
com.stratio.cassandra.lucene.testsAT.indexes,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,22,56,0.39
com.stratio.cassandra.lucene.testsAT.indexes,junit:junit,null,null,34,56,0.61
com.stratio.cassandra.lucene.search,org.apache.lucene:lucene-core,null,null,35,133,0.26
com.stratio.cassandra.lucene.search,junit:junit,null,null,98,133,0.74
com.stratio.cassandra.lucene.schema.analysis,org.apache.lucene:lucene-analyzers-common,null,null,144,542,0.27
com.stratio.cassandra.lucene.schema.analysis,org.apache.lucene:lucene-core,null,null,233,542,0.43
com.stratio.cassandra.lucene.schema.analysis,com.github.rholder:snowball-stemmer,null,null,7,542,0.01
com.stratio.cassandra.lucene.schema.analysis,junit:junit,null,null,158,542,0.29
com.stratio.cassandra.lucene.index,junit:junit,null,null,1,1,1.0
com.stratio.cassandra.lucene.testsAT.util,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,138,328,0.42
com.stratio.cassandra.lucene.testsAT.util,com.datastax.cassandra:cassandra-driver-core,null,null,182,328,0.55
com.stratio.cassandra.lucene.testsAT.util,junit:junit,null,null,8,328,0.02
com.stratio.cassandra.lucene.common,org.apache.lucene:lucene-spatial,null,null,4,172,0.02
com.stratio.cassandra.lucene.common,com.fasterxml.jackson.core:jackson-databind,null,null,23,172,0.13
com.stratio.cassandra.lucene.common,com.vividsolutions:jts-core,null,null,53,172,0.31
com.stratio.cassandra.lucene.common,junit:junit,null,null,82,172,0.48
com.stratio.cassandra.lucene.common,com.fasterxml.jackson.core:jackson-core,null,null,6,172,0.03
com.stratio.cassandra.lucene.common,org.apache.cassandra:cassandra-all,null,null,4,172,0.02
com.stratio.cassandra.lucene.search.sort.builder,junit:junit,null,null,40,40,1.0
com.stratio.cassandra.lucene.testsAT.type_validation,junit:junit,null,null,18,108,0.17
com.stratio.cassandra.lucene.testsAT.type_validation,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,88,108,0.81
com.stratio.cassandra.lucene.testsAT.type_validation,com.datastax.cassandra:cassandra-driver-core,null,null,2,108,0.02
com.stratio.cassandra.lucene.testsAT.deletion,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,18,214,0.08
com.stratio.cassandra.lucene.testsAT.deletion,com.datastax.cassandra:cassandra-driver-core,null,null,130,214,0.61
com.stratio.cassandra.lucene.testsAT.deletion,junit:junit,null,null,66,214,0.31
com.stratio.cassandra.lucene.testsAT,junit:junit,null,null,3,3,1.0
com.stratio.cassandra.lucene.testsAT.geospatial,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,589,711,0.83
com.stratio.cassandra.lucene.testsAT.geospatial,junit:junit,null,null,122,711,0.17
com.stratio.cassandra.lucene.builder,com.fasterxml.jackson.core:jackson-databind,null,null,22,234,0.09
com.stratio.cassandra.lucene.builder,junit:junit,null,null,206,234,0.88
com.stratio.cassandra.lucene.builder,com.fasterxml.jackson.core:jackson-core,null,null,6,234,0.03
com.stratio.cassandra.lucene.testsAT.ttl,junit:junit,null,null,20,36,0.56
com.stratio.cassandra.lucene.testsAT.ttl,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,16,36,0.44
com.stratio.cassandra.lucene.schema.mapping,org.apache.lucene:lucene-spatial,null,null,54,1705,0.03
com.stratio.cassandra.lucene.schema.mapping,org.apache.cassandra:cassandra-all,null,null,63,1705,0.04
com.stratio.cassandra.lucene.schema.mapping,org.apache.lucene:lucene-core,null,null,416,1705,0.24
com.stratio.cassandra.lucene.schema.mapping,junit:junit,null,null,1172,1705,0.69
com.stratio.cassandra.lucene.search.condition,org.apache.lucene:lucene-core,null,null,938,1741,0.54
