packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.agdistis.algorithm,org.apache.lucene:lucene-spellchecker,null,null,11,105,0.1
org.aksw.agdistis.algorithm,org.slf4j:slf4j-api,null,null,68,105,0.65
org.aksw.agdistis.algorithm,net.sf.jung:jung-graph-impl,null,null,26,105,0.25
org.aksw.agdistis.graph,net.sf.jung:jung-graph-impl,null,null,6,6,1.0
org.aksw.agdistis.util,org.openrdf.sesame:sesame-rio-turtle,null,null,2,649,0.0
org.aksw.agdistis.util,org.apache.commons:commons-lang3,null,null,4,649,0.01
org.aksw.agdistis.util,org.apache.lucene:lucene-core,null,null,453,649,0.7
org.aksw.agdistis.util,org.apache.lucene:lucene-queryparser,null,null,22,649,0.03
org.aksw.agdistis.util,commons-validator:commons-validator,null,null,6,649,0.01
org.aksw.agdistis.util,com.googlecode.json-simple:json-simple,null,null,2,649,0.0
org.aksw.agdistis.util,org.apache.lucene:lucene-analyzers-common,null,null,10,649,0.02
org.aksw.agdistis.util,org.slf4j:slf4j-api,null,null,108,649,0.17
org.aksw.agdistis.util,com.github.haifengl:smile-nlp,null,null,3,649,0.0
org.aksw.agdistis.util,edu.stanford.nlp:stanford-corenlp,null,null,21,649,0.03
org.aksw.agdistis.util,com.google.guava:guava,null,null,18,649,0.03
org.aksw.agdistis.webapp,org.slf4j:slf4j-api,null,null,32,58,0.55
org.aksw.agdistis.webapp,com.googlecode.json-simple:json-simple,null,null,26,58,0.45
null,org.slf4j:slf4j-api,null,null,32,86,0.37
null,com.google.guava:guava,null,null,2,86,0.02
null,net.sf.jung:jung-graph-impl,null,null,4,86,0.05
null,junit:junit,null,null,42,86,0.49
null,org.apache.lucene:lucene-spellchecker,null,null,6,86,0.07
